sym,side,live_gain_pct,live_bh_pct,live_delta,live_gain_per_mo,live_dd,live_trades,live_window_days,live_source,vec_gain_pct,vec_bh_pct,vec_delta_per_mo,vec_gain_per_mo,vec_dd,vec_tim,vec_trades,vec_window_days,vec_bars,entry_overrides,exit_overrides,reentry_overrides
MCD,SHORT,PENDING_12h,,,,,,,,-23.843,5.1251,-3.4762,-2.8612,37.38,50.74,3941,250.0,72000,LIVE_ENTRY_ENGINE_REENTRY_SIZE_MULT=1.5;MI_ENTRY_STRUCT_BONUS_TRADIER=10;MTF_ENTRY_REQUIRE_GR_FILTER=False,,LIVE_ENTRY_ENGINE_REENTRY_SIZE_MULT=1.5
META,SHORT,PENDING_12h,,,,,,,,-81.9524,-18.0464,-5.0556,-6.4833,92.28,46.68,6470,379.2,109215,,,
MNTS,LONG,10076.16778435,-78.21115507,10154.37893941,5225.064570965623,1.2392814,101,58.70138889,autonomous_direct_v8,0.0,-78.3785,87.9354,0.0,0.0,0.0,0,26.7,7701,MOM3_ENTRY_ENABLED=False,,
MOS,SHORT,PENDING_12h,,,,,,,,-1.1779,26.2206,-3.4638,-0.1489,5.49,0.62,66,237.3,68342,,BB_RECOVERY_EXIT_TOLERANCE_ATR_MULT_TRADIER=0.5,
MPC,LONG,8126.01472989,74.12345459,8051.8912753,677.0947786724703,0.05348697,85,365.31944444,autonomous_direct_v8,8.8304,57.0276,-7.3763,1.3514,1.71,1.05,76,196.0,56454,MOM5_ENTRY_ENABLED=True,,
MP,SHORT,PENDING_12h,,,,,,,,407.6585,-199.1323,56.0888,37.6819,8.92,40.0,6232,324.6,93471,LIVE_ENTRY_ENGINE_DC_ENABLED=False,,
MRK,LONG,PENDING_12h,,,,,,,,,,,,,,,,,,,
MRVL,LONG,4667.12284547,158.69369568,4508.42914979,388.5119519120568,0.1663753,52,365.67013889,autonomous_direct_v8,16.6695,187.4362,-13.8544,1.3524,5.34,0.87,197,369.8,106495,TRC_ENTRY_MIN_ALIGNMENT=4,,
MSTR,SHORT,PENDING_12h,,,,,,,,9.1951,37.343,-2.4891,0.8131,2.35,0.37,81,339.2,97704,,EXIT_ALGO_SCORE_ENABLED=True,
MU,LONG,6042.625517,637.55200195,5405.07351505,503.0148791909193,0.15389452,65,365.67013889,autonomous_direct_v8,19.7052,643.6891,-46.9279,1.482,4.55,0.96,136,398.9,114883,,EXIT_SCORER_K_EXTREME=63.75,
NEM,LONG,PENDING_12h,,,,,,,,297.4864,173.332,10.9557,26.2509,8.97,50.78,5355,340.0,97912,HA_3M_ENTRY_WEIGHT=-0.25;MTF_ARMED_ENTRY_ENABLED=False,MTF_WT_CROSS_EXIT_ENABLED=False,
NEM,SHORT,PENDING_12h,,,,,,,,194.3667,-173.332,32.4467,17.1514,7.51,51.09,5322,340.0,97912,LR_BAND_ENTRY_R2_MIN=0.35,EXIT_GAIN_EROSION_ENABLED=True,
NKE,SHORT,-4385.77672435,45.5303299,-4431.30705425,-365.091456180878,4372.32086933,48,365.67013889,autonomous_direct_v8_path_probe,-2.0545,55.7735,-4.8456,-0.1722,5.3,0.82,107,358.0,103111,MTF_ARROW_ENTRY_ENABLED=False,,
NLR,SHORT,PENDING_12h,,,,,,,,-5.0599,14.3003,-19.1892,-5.0152,6.81,0.48,13,30.3,8717,WT_DC_ENTRY_K5M_MIN_SHORT=1.0,EXIT_SCORER_MIN_CONDITIONS=3,
NOC,SHORT,PENDING_12h,,,,,,,,-2.1998,-14.4403,1.9389,-0.3484,3.69,0.56,47,189.4,54546,REENTRY_TIER2_MAX_MINUTES_TRADIER=120.0,,REENTRY_TIER2_MAX_MINUTES_TRADIER=120.0
NVDA,LONG,3768.49826328,22.6098056,3745.88845768,313.70646638650175,0.18078415,38,365.67013889,autonomous_direct_v8_path_probe,352.051,105.2416,18.3983,26.2434,4.65,52.36,6135,402.4,115904,LIVE_ENTRY_ENGINE_STDEV_MACRO_ENABLED=False,,
NXE,SHORT,PENDING_12h,,,,,,,,5.575,-21.3245,3.1662,0.6562,2.49,0.51,73,254.9,73403,VWAP_BOUNCE_ENTRY_ENABLED=False;TRADIER_DC_POSITION_ENTRY_THRESHOLD=0.15,,
OKE,LONG,-11.02955699,14.31466232,-25.34421931,-0.9185241555643068,17.47124478,97,365.52083333,autonomous_direct_v8,-0.1141,19.443,-2.8662,-0.0167,5.77,1.16,84,204.7,58954,REENTRY_60MIN_UNCONDITIONAL_ENABLED=False,,REENTRY_60MIN_UNCONDITIONAL_ENABLED=False
OLED,LONG,8137.81730987,-47.44566238,8185.26297226,678.155568121193,0.04938431,82,365.27777778,autonomous_direct_v8,6.5333,-52.418,10.1515,1.125,1.48,0.97,61,174.2,50174,DELTA_REENTRY_MIN_TF=1,STDEV_REJECT_EXIT_ENABLED=False;HTF_W_REVERSAL_EXIT_TRADIER_ENABLED=True,DELTA_REENTRY_MIN_TF=1
OLED,SHORT,PENDING_12h,,,,,,,,5.0128,52.418,-8.1632,0.8632,4.68,0.92,69,174.2,50174,,MTF_BB_REJECT_EXIT_ENABLED=True,
ORCL,SHORT,PENDING_12h,,,,,,,,7.8813,8.9335,-0.0917,0.6868,3.68,0.47,100,344.2,99141,,,
PAAS,SHORT,PENDING_12h,,,,,,,,9.7805,-213.8635,22.1075,0.9668,2.98,0.43,64,303.5,87404,,WT_EXIT_VETO_ENABLED_TRADIER=True,
PATH,LONG,PENDING_12h,,,,,,,,,,,,,,,,,,,
PBF,LONG,PENDING_12h,,,,,,,,-6.5747,11.3661,-2.7413,-1.0046,9.02,0.54,76,196.3,56545,,MTF_DC_REJECT_EXIT_ENABLED=False,
PEP,SHORT,PENDING_12h,,,,,,,,,,,,,,,,,,,
