sym,side,live_gain_pct,live_bh_pct,live_delta,live_gain_per_mo,live_dd,live_trades,live_window_days,live_source,vec_gain_pct,vec_bh_pct,vec_delta_per_mo,vec_gain_per_mo,vec_dd,vec_tim,vec_trades,vec_window_days,vec_bars,entry_overrides,exit_overrides,reentry_overrides
TTD,SHORT,PENDING_12h,,,,,,,,8.7894,80.4432,-6.5915,0.8085,3.96,0.72,98,326.1,93922,,EXIT_IBS_EXHAUSTION_ENABLED=False;DC_RECOVERY_EXIT_TOLERANCE_ATR_MULT=1.0,
TXN,LONG,4173.34001536,49.34830032,4123.99171503,347.41058359088527,0.11124481,51,365.66666667,autonomous_direct_v8,7.6922,62.9896,-6.6557,0.9258,1.93,0.69,87,249.2,71784,,MTF_EXIT_USE_COMPOUND=True,
T,SHORT,PENDING_12h,,,,,,,,,,,,,,,,,,,
UEC,SHORT,PENDING_12h,,,,,,,,322.1611,-40.5286,31.6095,28.0773,12.1,39.2,6698,344.2,99136,STRUCTURE_FLIP_REENTRY_ENABLED=False;TRADIER_ENTRY_SCORE_THRESHOLD=30,FORMATION_EXIT_MIN_GAIN_PCT=0.5,STRUCTURE_FLIP_REENTRY_ENABLED=False
UNH,LONG,PENDING_12h,,,,,,,,,,,,,,,,,,,
USAR,LONG,6266.46639716,10.84199524,6255.62440192,521.64838427491,0.64095682,63,365.67013889,autonomous_direct_v8,6.9278,26.2222,-2.5955,0.9319,2.52,0.39,55,223.0,64227,BB_SQUEEZE_ENTRY_ENABLED=False,DELTA_EXIT_WT_CROSS=True,
USAR,SHORT,PENDING_12h,,,,,,,,207.8349,-26.2222,31.486,27.9585,38.42,34.74,4658,223.0,64227,,,
UUUU,SHORT,PENDING_12h,,,,,,,,436.9665,-88.1243,47.1638,39.2485,7.32,38.56,6568,334.0,96192,,TRADIER_MI_EXIT_ENABLED_TRADIER=False,
VALE,LONG,5392.43011853,41.81239671,5350.61772182,448.9877953122991,0.00129412,54,365.59027778,autonomous_direct_v8,6.3005,22.52,-1.56,0.606,2.99,0.97,86,311.9,89833,,,
VALE,SHORT,PENDING_12h,,,,,,,,5.8212,-22.52,2.7258,0.5599,3.03,0.95,85,311.9,89833,,,
VICR,SHORT,PENDING_12h,,,,,,,,,,,,,,,,,,,
VLO,LONG,3168.8296206,103.55073074,3065.27888985,263.98040605246763,0.63769196,40,365.40277778,autonomous_direct_v8,7.0303,80.1489,-10.4547,1.0052,5.35,0.96,81,209.8,60427,,,
VT,LONG,4061.97578507,22.50390244,4039.47188264,338.2685268093356,0.17245895,56,365.52777778,autonomous_direct_v8,-0.1662,33.1945,-6.845,-0.0341,2.06,0.93,54,146.2,42109,TF_FOCUS_ENTRY_HARD_GATE=True;LIVE_ENTRY_ENGINE_HTF_ENABLED=True,,
