symbol,side,entry_price,exit_price,entry_bar,exit_bar,entry_time,exit_time,pnl_pct,pnl_pct_raw,pnl_usd,hold_bars,exit_reason,commission_usd,size_mult
ETHUSDT,SHORT,3103.22,3041.89,7008,7027,2025-12-07 17:15:00+00:00,2025-12-07 22:00:00+00:00,1.8263342592532894,1.9763342592532893,36.52668518506579,19,15m_oversold,3.0,1.0
ETHUSDT,LONG,3098.16,3144.89,7099,7122,2025-12-08 16:00:00+00:00,2025-12-08 21:45:00+00:00,1.3583146125442205,1.5083146125442204,27.16629225088441,23,15m_overbought,3.0,1.0
ETHUSDT,SHORT,3129.88,3107.77,7180,7481,2025-12-09 12:15:00+00:00,2025-12-12 15:30:00+00:00,0.5564168594323146,0.7064168594323146,11.128337188646292,301,max_hold,3.0,1.0
ETHUSDT,LONG,3097.04,3117.8,7568,7614,2025-12-13 13:15:00+00:00,2025-12-14 00:45:00+00:00,0.5203174644176446,0.6703174644176446,10.406349288352892,46,15m_overbought,3.0,1.0
ETHUSDT,LONG,3097.21,3105.52,7651,7713,2025-12-14 10:00:00+00:00,2025-12-15 01:30:00+00:00,0.11830599152139978,0.2683059915213998,2.3661198304279956,62,15m_overbought,3.0,1.0
ETHUSDT,SHORT,3107.41,3046.75,7714,7766,2025-12-15 01:45:00+00:00,2025-12-15 14:45:00+00:00,1.8021080256548012,1.9521080256548011,36.04216051309603,52,15m_oversold,3.0,1.0
ETHUSDT,LONG,3094.15,3114.78,9559,9604,2026-01-03 07:00:00+00:00,2026-01-03 18:15:00+00:00,0.5167420777919658,0.6667420777919658,10.334841555839315,45,15m_overbought,3.0,1.0
ETHUSDT,LONG,3148.0,3191.5,9746,9785,2026-01-05 05:45:00+00:00,2026-01-05 15:30:00+00:00,1.2318297331639136,1.3818297331639136,24.636594663278274,39,15m_overbought,3.0,1.0
ETHUSDT,LONG,3194.48,3281.55,9890,9904,2026-01-06 17:45:00+00:00,2026-01-06 21:15:00+00:00,2.575639227667732,2.725639227667732,51.51278455335464,14,15m_overbought,3.0,1.0
ETHUSDT,LONG,3233.46,3320.4,9951,10579,2026-01-07 09:00:00+00:00,2026-01-13 22:00:00+00:00,2.5387606464901395,2.6887606464901395,50.77521292980279,628,max_hold,3.0,1.0
ETHUSDT,SHORT,3314.4,3297.8,10580,10631,2026-01-13 22:15:00+00:00,2026-01-14 11:00:00+00:00,0.3508447984552229,0.5008447984552229,7.016895969104457,51,15m_oversold,3.0,1.0
ETHUSDT,SHORT,3347.52,3325.15,10646,10688,2026-01-14 14:45:00+00:00,2026-01-15 01:15:00+00:00,0.5182559028773507,0.6682559028773507,10.365118057547013,42,15m_oversold,3.0,1.0
ETHUSDT,LONG,3315.17,3334.89,10695,10718,2026-01-15 03:00:00+00:00,2026-01-15 08:45:00+00:00,0.44484129019024055,0.5948412901902406,8.896825803804811,23,15m_overbought,3.0,1.0
ETHUSDT,SHORT,3343.89,3315.12,10720,10747,2026-01-15 09:15:00+00:00,2026-01-15 16:00:00+00:00,0.7103751917676712,0.8603751917676712,14.207503835353423,27,15m_oversold,3.0,1.0
ETHUSDT,LONG,3299.56,3323.72,10754,10781,2026-01-15 17:45:00+00:00,2026-01-16 00:30:00+00:00,0.5822188413000476,0.7322188413000477,11.644376826000952,27,15m_overbought,3.0,1.0
ETHUSDT,LONG,3268.17,3295.2,10841,10910,2026-01-16 15:30:00+00:00,2026-01-17 08:45:00+00:00,0.6770683593570636,0.8270683593570636,13.54136718714127,69,15m_overbought,3.0,1.0
ETHUSDT,SHORT,3306.68,3301.13,10931,10965,2026-01-17 14:00:00+00:00,2026-01-17 22:30:00+00:00,0.01784206515295486,0.16784206515295486,0.3568413030590972,34,15m_oversold,3.0,1.0
ETHUSDT,LONG,3300.36,3314.63,10966,10985,2026-01-17 22:45:00+00:00,2026-01-18 03:30:00+00:00,0.2823770740161674,0.4323770740161674,5.647541480323348,19,15m_overbought,3.0,1.0
ETHUSDT,SHORT,3320.9,3309.11,11008,11064,2026-01-18 09:15:00+00:00,2026-01-18 23:15:00+00:00,0.2050242404167534,0.3550242404167534,4.100484808335068,56,15m_oversold,3.0,1.0
