path,gain_pct,bh_pct,delta,tim,dd,trades,status
B04,923,673.5,250,65,28,320, >700% >900% 
B04+aug,615,673.5,-58,78,28,320,
B11,498,673.5,-176,78,28,320,
B12,412,673.5,-262,78,28,320,
B02,205,673.5,-468,78,28,320,
