sym,side,gain_pct,bh_gain_pct,delta_bh_per_mo,gain_per_mo_pct,max_dd_pct,tim_pct,trades,closes_per_month,sharpe_per_trade,window_days,window_months,bars,capital_usd
AAPL,LONG,1.5629,94.9956,-6.9967,0.117,1.82,1.22,110,8.24,0.0437,400.6,13.35,115377,10000
GOOGL,LONG,9.9832,112.4709,-7.7498,0.7549,1.22,1.14,116,8.77,0.247,396.7,13.22,114260,10000
NVDA,LONG,2.6567,105.2416,-7.6471,0.198,3.78,1.35,140,10.44,0.0437,402.4,13.41,115904,10000
NKE,SHORT,-2.0545,55.7735,-4.8456,-0.1722,5.3,0.82,107,8.97,-0.0462,358.0,11.93,103111,10000
GOOGL,SHORT,NO_VEC_DATA,,,,,,,,,,,,
IBIT,SHORT,14.4432,10.5644,0.2873,1.0697,1.78,0.68,107,7.92,0.2653,405.0,13.5,116654,10000
SNDK,SHORT,NO_VEC_DATA,,,,,,,,,,,,
IBIT,LONG,NO_VEC_DATA,,,,,,,,,,,,
