position_key,symbol,side,is_hedge,open_dt,close_dt,hold_minutes,open_price,close_price,actual_gain_pct,aug_count,reduce_count,first_flip_dt,flip_minutes_after_open,cf_price,cf_gain_pct,delta_cf_minus_actual_pct,close_reason
inf:CRVUSDC_LONG,CRVUSDC,LONG,True,2026-04-26T03:11:43.163628+00:00,2026-04-26T04:02:45.491686+00:00,51.04,0.2251,0.2243,-0.3554,1,10,2026-04-26T03:45:50.472619+00:00,34.12,0.2252,0.0444,0.3998,HEDGE_CLOSE_WT3M1H_PRE_GATE_3m=-27.9/-17.1_1h=37.3/39.5_gain=-0.40%
inf:CRVUSDC_LONG,CRVUSDC,LONG,True,2026-04-26T04:50:01.957889+00:00,2026-04-26T06:24:27.289010+00:00,94.42,0.22522836,0.2258,0.2538,3,5,2026-04-26T04:54:37.089754+00:00,4.59,0.22536437,0.0604,-0.1934,QUICK_HEDGE_KILL_REVERSING_-0.23%<prev-0.02%_REDUCE
inf:CRVUSDC_LONG,CRVUSDC,LONG,True,2026-04-26T11:56:18.239398+00:00,2026-04-26T11:57:52.973376+00:00,1.58,0.22833602,0.22846574,0.0568,0,0,,,,,,HEDGE_CLOSE_WT3M1H_PRE_GATE_3m=-24.0/-19.7_1h=65.2/67.5_gain=0.00%
inf:CRVUSDC_LONG,CRVUSDC,LONG,True,2026-04-26T14:27:52.940578+00:00,2026-04-26T14:50:35.855517+00:00,22.72,0.227,0.22773525,0.3239,0,0,,,,,,HEDGE_CLOSE_WT3M1H_PRE_GATE_3m=38.1/49.7_1h=-3.3/22.5_gain=-0.02%
inf:CRVUSDC_LONG,CRVUSDC,LONG,True,2026-04-26T15:09:27.375660+00:00,2026-04-26T15:23:03.283012+00:00,13.6,0.2273213,0.2272,-0.0534,0,1,,,,,,QUICK_HEDGE_CLOSE_SCALP_D_1m_bear_vs_LONG_age=2.4m_h=-0.03%_REDUCE
inf:CRVUSDC_LONG,CRVUSDC,LONG,True,2026-04-26T19:26:51.135097+00:00,2026-04-26T20:13:14.915449+00:00,46.4,0.2294,0.2311,0.7411,0,7,2026-04-26T19:34:50.191736+00:00,7.98,0.22938642,-0.0059,-0.747,QUICK_HEDGE_CLOSE_SCALP_D_1m_bear_vs_LONG_age=1.5m_h=0.47%_REDUCE
inf:CRVUSDC_LONG,CRVUSDC,LONG,True,2026-04-26T22:16:34.483529+00:00,2026-04-26T22:28:36.621107+00:00,12.04,0.23083353,0.2305,-0.1445,1,0,,,,,,HEDGE_CLOSE_WT3M1H_PRE_GATE_3m=7.5/25.0_1h=38.2/49.9_gain=0.00%
inf:C98USDT_LONG,C98USDT,LONG,True,2026-04-26T02:33:55.507360+00:00,2026-04-26T02:36:18.771679+00:00,2.39,0.02136533,0.02110731,-1.2077,0,2,,,,,,QUICK_HEDGE_MAX_AGE_KILL_1264.0h_g0.00_REDUCE
inf:C98USDT_LONG,C98USDT,LONG,True,2026-04-26T02:43:56.560989+00:00,2026-04-26T03:14:41.395021+00:00,30.75,0.02132,0.021275,-0.2111,1,0,,,,,,QUICK_HEDGE_KILL_REVERSING_-0.02%<prev1.13%_REDUCE
inf:C98USDT_LONG,C98USDT,LONG,True,2026-04-26T03:51:21.918674+00:00,2026-04-26T03:59:56.630300+00:00,8.58,0.02128,0.02128,0.0,0,1,2026-04-26T03:51:21.918674+00:00,0.0,0.02128,0.0,0.0,QUICK_HEDGE_CLOSE_SCALP_D_1m_bear_vs_LONG_age=5.6m_h=0.00%_REDUCE
inf:C98USDT_LONG,C98USDT,LONG,True,2026-04-26T04:26:36.458462+00:00,2026-04-26T04:34:11.645280+00:00,7.59,0.02131982,0.02126,-0.2806,0,0,,,,,,QUICK_HEDGE_KILL_REVERSING_-0.05%<prev-0.01%_REDUCE
inf:C98USDT_LONG,C98USDT,LONG,True,2026-04-26T04:36:16.719591+00:00,2026-04-26T05:34:14.536173+00:00,57.96,0.02131686,0.02152372,0.9704,2,0,2026-04-26T04:48:28.608826+00:00,12.2,0.02144735,0.6121,-0.3583,QUICK_HEDGE_KILL_REVERSING_-0.09%<prev-0.01%_REDUCE
inf:C98USDT_LONG,C98USDT,LONG,True,2026-04-26T05:57:52.747319+00:00,2026-04-26T09:06:17.832726+00:00,188.42,0.02144,0.021345,-0.4431,1,1,2026-04-26T05:57:52.747319+00:00,0.0,0.02144,0.0,0.4431,QUICK_DC_LOW4_3M_GAIN_EROSION_STOP_p0.021346<dc40.021360_g0.11%
inf:C98USDT_LONG,C98USDT,LONG,True,2026-04-26T12:15:16.341130+00:00,2026-04-26T12:20:09.542213+00:00,4.89,0.02157594,0.02155,-0.1202,0,1,2026-04-26T12:19:18.931731+00:00,4.04,0.02154,-0.1666,-0.0463,QUICK_REDUCE_STRONG_REDUCE_k_1m:15/d_1m:9/k_3m:11/d_3m:13_HLR_TOP_EXIT_4h|D_g=0.00%_REENTER_2.5x_REDUCE
inf:MELANIAUSDT_LONG,MELANIAUSDT,LONG,True,2026-04-26T04:06:41.106110+00:00,2026-04-26T04:32:32.280456+00:00,25.85,0.11059138,0.11105212,0.4166,0,0,,,,,,QUICK_HEDGE_MAX_AGE_KILL_294.2h_g0.18_REDUCE
inf:MELANIAUSDT_LONG,MELANIAUSDT,LONG,True,2026-04-26T04:39:48.792594+00:00,2026-04-26T05:34:04.858696+00:00,54.27,0.1111885,0.112136,0.8522,3,0,2026-04-26T04:39:48.792594+00:00,0.0,0.1111885,0.0,-0.8522,QUICK_HEDGE_CLOSE_SCALP_D_1m_bear_vs_LONG_age=0.3m_h=0.00%_REDUCE
inf:MELANIAUSDT_LONG,MELANIAUSDT,LONG,True,2026-04-26T06:02:44.194092+00:00,2026-04-26T07:38:24.485539+00:00,95.67,0.11225,0.1116,-0.5791,2,0,2026-04-26T06:02:44.194092+00:00,0.0,0.11225,0.0,0.5791,HEDGE_CLOSE_WT3M1H_PRE_GATE_3m=-12.1/-5.6_1h=74.2/83.4_gain=-0.24%
inf:MELANIAUSDT_LONG,MELANIAUSDT,LONG,True,2026-04-26T09:49:58.537891+00:00,2026-04-26T10:08:39.509199+00:00,18.68,0.1116,0.1113,-0.2688,0,2,,,,,,HEDGE_CLOSE_WT3M1H_PRE_GATE_3m=-20.9/7.9_1h=49.5/64.7_gain=-0.09%
inf:MELANIAUSDT_LONG,MELANIAUSDT,LONG,True,2026-04-26T11:50:42.637927+00:00,2026-04-26T11:52:35.293713+00:00,1.88,0.1119,0.11201058,0.0988,0,0,,,,,,QUICK_HEDGE_WT_KILL_LOSER_RECOVER_MELANIAUSDT_wt3m=-14.7/-7.5_cf1h=39.9/42.9_g0.0_REDUCE
inf:MELANIAUSDT_LONG,MELANIAUSDT,LONG,True,2026-04-26T12:29:05.299800+00:00,2026-04-26T13:22:19.105170+00:00,53.23,0.1118,0.11045,-1.2075,1,1,2026-04-26T12:29:05.299800+00:00,0.0,0.1118,0.0,1.2075,HEDGE_CLOSE_WT3M1H_PRE_GATE_3m=-26.0/-23.1_1h=-3.2/21.9_gain=-0.16%
inf:TONUSDT_SHORT,TONUSDT,SHORT,False,2026-04-26T04:35:12.220796+00:00,2026-04-26T04:48:31.817175+00:00,13.33,1.3082,1.3097,-0.1147,0,0,,,,,,HEDGE_CLOSE_WT3M1H_PRE_GATE_3m=-23.9/-44.1_1h=21.7/1.9_gain=0.00%
inf:RENDERUSDT_LONG,RENDERUSDT,LONG,True,2026-04-26T10:14:16.096455+00:00,2026-04-26T10:23:48.491913+00:00,9.54,1.83507031,1.844,0.4866,0,1,2026-04-26T10:14:16.096455+00:00,0.0,1.83507031,0.0,-0.4866,HEDGE_CLOSE_WT3M1H_PRE_GATE_3m=68.0/78.7_1h=53.1/66.4_gain=0.21%
inf:RENDERUSDT_LONG,RENDERUSDT,LONG,True,2026-04-26T15:17:11.324694+00:00,2026-04-26T15:19:19.523034+00:00,2.14,1.8151,1.815,-0.0055,0,0,,,,,,QUICK_HEDGE_ORPHAN_KILL_no_original
inf:MASKUSDT_LONG,MASKUSDT,LONG,True,2026-04-26T14:38:55.020774+00:00,2026-04-26T14:39:35.734160+00:00,0.68,0.6050019,0.59795549,-1.1647,0,0,2026-04-26T14:39:35.734160+00:00,0.68,0.59795549,-1.1647,0.0,HEDGE_CLOSE_WT3M1H_PRE_GATE_3m=-61.8/-39.5_1h=68.0/98.6_gain=0.00%
inf:ACHUSDT_LONG,ACHUSDT,LONG,True,2026-04-26T14:51:42.948559+00:00,2026-04-26T14:52:46.973445+00:00,1.07,0.00634365,0.00635456,0.172,0,0,,,,,,HEDGE_CLEANUP_R6_main_recovered_gain=0.01_main=0.05_wt3m=22.6/13.7_wt15m=0.0/0.0
inf:ACHUSDT_LONG,ACHUSDT,LONG,True,2026-04-26T15:21:15.410622+00:00,2026-04-26T18:51:46.539039+00:00,210.52,0.00635051,0.006445,1.4879,1,0,,,,,,QUICK_REDUCE_STRONG_REDUCE_k_1m:25/d_1m:26/k_3m:72/d_3m:73_HLR_TOP_EXIT_4h|D_g=0.00%_REENTER_2.5x_REDUCE
inf:ACHUSDT_LONG,ACHUSDT,LONG,True,2026-04-26T19:05:20.990886+00:00,2026-04-26T19:24:03.599803+00:00,18.71,0.006466,0.006467,0.0155,1,1,,,,,,QUICK_REDUCE_STRONG_REDUCE_k_1m:28/d_1m:25/k_3m:18/d_3m:18_HLR_TOP_EXIT_4h|D_g=0.00%_REENTER_2.5x_REDUCE
inf:IOSTUSDT_LONG,IOSTUSDT,LONG,True,2026-04-26T17:50:45.989111+00:00,2026-04-26T17:51:34.254692+00:00,0.8,0.0010995,0.001099,-0.0455,0,0,,,,,,HEDGE_CLOSE_WT3M1H_PRE_GATE_3m=9.3/15.0_1h=-49.7/-40.2_gain=0.00%
