Date,Time(UTC),Account,Side,Action,Price,Gain%,Category,Reason(truncated)
2026-05-01,18:24:54,ang,SHORT,REDUCE,389.79,,QUICK_DC4_HIGH_3M_GAIN_EROSION_STOP_p389.790000>dc4389.15000,QUICK_DC4_HIGH_3M_GAIN_EROSION_STOP_p389.790000>dc4389.150000_g-2.30%
2026-05-01,18:35:52,ang,SHORT,REDUCE,390.70,,QUICK_DC4_HIGH_3M_GAIN_EROSION_STOP_p391.520000>dc4389.15000,QUICK_DC4_HIGH_3M_GAIN_EROSION_STOP_p391.520000>dc4389.150000_g-2.49%
2026-05-01,19:07:52,ang,SHORT,CLOSE,383.50,,BE_EROSION_STOP,QUICK_BREAKEVEN_GAIN_EROSION_STOP_age48139m_gain0.22%
2026-05-01,19:09:46,ang,SHORT,CLOSE,383.50,,BE_EROSION_STOP,QUICK_BREAKEVEN_GAIN_EROSION_STOP_age48141m_gain0.00%
2026-05-01,19:10:29,ang,SHORT,REDUCE,383.50,,BE_EROSION_STOP,QUICK_BREAKEVEN_GAIN_EROSION_STOP_age48142m_gain0.06%
2026-05-01,19:13:10,ang,SHORT,REDUCE,383.50,,BE_EROSION_STOP,QUICK_BREAKEVEN_GAIN_EROSION_STOP_age48144m_gain0.17%
2026-05-01,19:14:47,ang,SHORT,REDUCE,383.50,,BE_EROSION_STOP,QUICK_BREAKEVEN_GAIN_EROSION_STOP_age48146m_gain0.17%
2026-05-02,23:21:08,ang,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_P1_BOTTOM_BOUNCE_1m_3m_BULL_prev-31.3_htf2_k3m1_exit357.0600_
2026-05-03,16:57:49,ang,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_CROSSED_u60_kbias_SAFE_k3m6_exit357.0600_px359.0215_mult1.00_
2026-05-03,17:30:05,ang,SHORT,QUICK_OPEN,359.02,,QUICK_HEDGE_PROTECT_LONG_LOSS,QUICK_HEDGE_PROTECT_LONG_LOSS
2026-05-03,18:02:29,ang,SHORT,QUICK_OPEN,359.02,,QUICK_HEDGE_PROTECT_LONG_LOSS,QUICK_HEDGE_PROTECT_LONG_LOSS
2026-05-03,18:51:16,ang,LONG,STRONG_REDUCE,359.02,,HLR_TOP_EXIT ← FIXED (needs 1.5% now),QUICK_REDUCE_STRONG_REDUCE_k_1m:96/d_1m:95/k_3m:96/d_3m:96_HLR_TOP_EXIT_1h|4h_g=
2026-05-03,22:06:39,ang,LONG,OPEN,408.40,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_SPIKE_htf3_move2.01%_k3m16_exit397.6361_px405.61
2026-05-03,22:59:26,ang,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_SPIKE_htf3_move3.70%_k3m33_exit397.6361_px412.36
2026-05-04,22:10:52,ang,LONG,OPEN,429.05,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_AGGR_0_30m_STx3_k3m5_exit357.0600_px359.0215_mult1.00_elapsed
2026-05-05,01:39:22,ang,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_SPIKE_htf2_move19.09%_k3m34_exit357.0600_px425.2
2026-05-05,09:15:36,ang,SHORT,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_NOCROSS_FULLSTACK_htf2_o60_SAFE_k3m49_exit347.6400_px359.0215
2026-05-01,23:00:01,fin,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_CROSSED_o60_FULLSTACK_htf2_SAFE_k3m47_exit357.0600_px359.0215
2026-05-02,01:41:15,fin,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_P1_BOTTOM_BOUNCE_1m_3m_BULL_prev-16.1_htf2_k3m60_exit357.0600
2026-05-02,20:57:51,fin,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_SPIKE_htf2_move7.43%_K15M_OVERHEAT_0.50x(k15=99)
2026-05-02,23:33:09,fin,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_P1_BOTTOM_BOUNCE_1m_3m_BULL_prev-31.3_htf2_k3m1_exit357.0600_
2026-05-03,02:17:18,fin,SHORT,QUICK_OPEN,359.02,,QUICK_HEDGE_PROTECT_LONG_LOSS,QUICK_HEDGE_PROTECT_LONG_LOSS
2026-05-03,02:59:13,fin,SHORT,QUICK_OPEN,359.02,,QUICK_HEDGE_PROTECT_LONG_LOSS,QUICK_HEDGE_PROTECT_LONG_LOSS
2026-05-03,04:00:15,fin,SHORT,QUICK_OPEN,359.02,,QUICK_HEDGE_PROTECT_LONG_LOSS,QUICK_HEDGE_PROTECT_LONG_LOSS
2026-05-03,04:42:36,fin,LONG,REDUCE,359.02,,BE_EROSION_STOP,QUICK_BREAKEVEN_GAIN_EROSION_STOP_age66388m_gain0.19%
2026-05-03,04:54:55,fin,LONG,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_LONG_exit357.060000_cur383.550000_partial0.5
2026-05-03,05:00:23,fin,LONG,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_LONG_exit357.060000_cur383.550000_partial0.5
2026-05-03,06:23:18,fin,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_SPIKE_htf2_move6.84%_k3m21_exit359.0215_px383.58
2026-05-03,11:50:22,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,12:51:02,fin,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_P1_BOTTOM_BOUNCE_1m_3m_BULL_prev-33.0_htf3_k3m64_exit357.0600
2026-05-03,12:57:16,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-03,13:06:14,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
