sym,side,window_days,window_months,window_is_1yr,gain_pct,bh_gain_pct,delta_vs_bh_pct,gain_per_mo_pct,bh_per_mo_pct,max_dd_pct,tim_pct,win_rate_pct,trades,closes_per_month,sharpe_per_trade,bars,capital_usd,venue,mode,run_id,source,finished_at
NVDA,SHORT,365.67013889,12.01,,0.0,22.6098056,-22.6098056,0.0,1.8821402386127994,0.0,0,,0,,0,365.67013889,10000,stocks,12,autonomous_v8_1786597792_c015f16d4cc227d2,autonomous_direct_v8,2026-08-13T05:14:45.115740Z
NXE,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
OKE,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
OLED,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
OLED,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
ORCL,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
PAAS,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
PBF,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
PR,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
PSX,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
PWR,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
QRVO,LONG,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
RBLX,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
RDDT,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
RGLD,SHORT,NO_LIVE_DATA,,,,,,,,,,,,,,,,,,NO_LIVE_DATA,NO_LIVE_DATA,
