rsi_period,stoch_k_period,exit_mode,fixed_tp_pct,adx_filter_enabled,adx_min_threshold,wt_filter_enabled,long_rsi_15m_max,htf_rvol_1h_min,_trades,_wr,_pnl,_sharpe,_pf,_avg_hold_h,cycle_tp_pct
14,9,fixed_tp,2.0,True,20,True,40,0.8,26,100.0,1008.7639300966304,11.61992246264816,inf,27.057692307692307,
14,9,fixed_tp,2.0,False,20,False,40,0.8,26,100.0,1008.7639300966304,11.61992246264816,inf,27.057692307692307,
14,9,fixed_tp,2.0,False,20,True,40,0.8,26,100.0,1008.7639300966304,11.61992246264816,inf,27.057692307692307,
14,9,fixed_tp,2.0,True,20,False,40,0.8,26,100.0,1008.7639300966304,11.61992246264816,inf,27.057692307692307,
10,14,fixed_tp,1.5,True,25,False,45,0.8,29,100.0,860.5506618437494,11.605699102569236,inf,30.870689655172413,
10,14,fixed_tp,1.5,True,25,True,45,0.8,29,100.0,860.5506618437494,11.605699102569236,inf,30.870689655172413,
14,9,fixed_tp,2.0,True,25,False,40,0.8,26,100.0,1012.7273650616447,11.575231632064083,inf,26.625,
14,9,fixed_tp,2.0,True,25,True,40,0.8,26,100.0,1012.7273650616447,11.575231632064083,inf,26.625,
10,9,fixed_tp,1.5,True,25,False,35,0.8,25,100.0,831.1012031995272,11.365271180757656,inf,31.08,
10,9,fixed_tp,1.5,True,25,True,35,0.8,25,100.0,831.1012031995272,11.365271180757656,inf,31.08,
14,14,fixed_tp,1.5,True,20,False,40,0.8,27,100.0,852.2194353503188,11.281596860882706,inf,31.98148148148148,
14,14,fixed_tp,1.5,False,20,True,40,0.8,27,100.0,852.2194353503188,11.281596860882706,inf,31.98148148148148,
14,14,fixed_tp,1.5,True,20,True,40,0.8,27,100.0,852.2194353503188,11.281596860882706,inf,31.98148148148148,
14,14,fixed_tp,1.5,False,20,False,40,0.8,27,100.0,852.2194353503188,11.281596860882706,inf,31.98148148148148,
10,9,fixed_tp,2.0,False,20,True,40,1.2,23,100.0,968.9296627244904,11.217132872228639,inf,34.869565217391305,
10,9,fixed_tp,2.0,True,20,True,40,1.2,23,100.0,968.9296627244904,11.217132872228639,inf,34.869565217391305,
10,9,fixed_tp,2.0,True,20,False,40,1.2,23,100.0,968.9296627244904,11.217132872228639,inf,34.869565217391305,
10,9,fixed_tp,2.0,False,20,False,40,1.2,23,100.0,968.9296627244904,11.217132872228639,inf,34.869565217391305,
14,9,fixed_tp,2.0,False,20,True,40,1.2,23,100.0,900.2077405575633,10.750270428366807,inf,29.22826086956522,
10,9,fixed_tp,2.0,True,20,True,35,1.2,23,100.0,900.2077405575633,10.750270428366807,inf,29.22826086956522,
14,9,fixed_tp,2.0,True,20,True,40,1.2,23,100.0,900.2077405575633,10.750270428366807,inf,29.22826086956522,
10,9,fixed_tp,2.0,True,20,False,35,1.2,23,100.0,900.2077405575633,10.750270428366807,inf,29.22826086956522,
14,9,fixed_tp,2.0,False,20,False,40,1.2,23,100.0,900.2077405575633,10.750270428366807,inf,29.22826086956522,
10,9,fixed_tp,2.0,False,20,False,35,1.2,23,100.0,900.2077405575633,10.750270428366807,inf,29.22826086956522,
10,9,fixed_tp,2.0,False,20,True,35,1.2,23,100.0,900.2077405575633,10.750270428366807,inf,29.22826086956522,
14,9,fixed_tp,2.0,True,20,False,40,1.2,23,100.0,900.2077405575633,10.750270428366807,inf,29.22826086956522,
10,9,fixed_tp,2.0,True,25,True,35,1.2,22,100.0,895.9238932233864,10.637625584370975,inf,30.488636363636363,
