combination,side,asset_class,symbol,trades,pool_sharpe,win_rate,max_dd_pct,acc_gain_pct,avg_gain_trade,n_years,bh_pct
15m,LONG,crypto,WLDUSDC,623,0.1707,59.07,4.73,71.04,0.1140,0.10,25.87
15m,LONG,crypto,XLMUSDT,43222,0.1673,59.80,16.63,5419.41,0.1254,6.31,129.87
15m,LONG,crypto,XMRUSDT,41998,0.1865,59.81,15.33,4686.31,0.1116,6.19,478.40
15m,LONG,crypto,XRPUSDC,16730,0.1644,58.03,8.62,1579.86,0.0944,2.39,132.15
15m,LONG,crypto,XTZUSDT,32593,0.1857,61.33,25.18,5333.81,0.1636,5.62,-84.86
15m,LONG,crypto,YFIUSDT,38698,0.1803,61.15,14.08,5791.82,0.1497,5.65,-91.49
15m,LONG,crypto,ZECUSDC,4093,0.1931,65.75,15.93,1181.57,0.2887,0.58,1033.16
15m,LONG,crypto,ZENUSDT,36731,0.1932,63.53,25.11,6644.43,0.1809,5.29,-80.06
15m,LONG,crypto,ZILUSDT,299,0.1295,49.83,8.39,35.60,0.1191,0.10,-0.51
15m,LONG,crypto,ZROUSDT,676,0.1548,56.36,4.97,55.32,0.0818,0.10,-21.09
15m,LONG,stocks,AA,3767,0.0664,57.18,18.19,216.21,0.0574,3.60,84.55
15m,LONG,stocks,AAPL,1660,0.1013,40.06,15.97,120.64,0.0727,1.04,55.34
15m,LONG,stocks,ABBV,1668,0.1357,38.25,11.93,156.20,0.0936,1.04,28.40
15m,LONG,stocks,ABNB,3578,0.0762,53.88,11.23,169.66,0.0474,3.28,-15.30
15m,LONG,stocks,ABT,1651,0.1415,39.92,8.19,139.49,0.0845,1.04,-4.01
15m,LONG,stocks,ACN,1711,0.0984,38.87,10.86,115.50,0.0675,1.04,-29.34
15m,LONG,stocks,ADBE,1678,0.1056,40.23,14.93,160.41,0.0956,1.04,-35.13
15m,LONG,stocks,ADM,2887,0.0617,53.72,11.02,104.63,0.0362,2.72,24.57
15m,LONG,stocks,ADP,1759,0.0550,36.90,12.58,48.88,0.0278,1.02,-5.35
15m,LONG,stocks,AEM,3459,0.0943,56.58,14.01,219.50,0.0635,3.26,241.14
15m,LONG,stocks,AG,4254,0.0914,57.26,24.86,422.52,0.0993,4.60,313.94
15m,LONG,stocks,AGCO,2388,0.0768,51.97,16.29,129.43,0.0542,2.26,-0.76
15m,LONG,stocks,AGI,3292,0.1119,58.11,16.62,307.30,0.0933,3.12,218.04
15m,LONG,stocks,ALB,3700,0.1006,59.62,15.19,354.82,0.0959,3.48,70.96
15m,LONG,stocks,AM,2270,0.0689,51.37,14.60,88.29,0.0389,2.28,70.79
15m,LONG,stocks,AMD,1676,0.1261,40.10,24.99,300.04,0.1790,1.04,150.86
15m,LONG,stocks,AMZN,1670,0.1059,39.46,24.68,166.52,0.0997,1.04,100.54
15m,LONG,stocks,APA,1655,0.1579,41.21,19.15,293.94,0.1776,1.04,14.65
15m,LONG,stocks,APO,2082,0.0502,38.04,52.30,99.62,0.0478,1.03,89.27
15m,LONG,stocks,AR,3057,0.0978,58.03,21.04,232.88,0.0762,2.86,30.93
15m,LONG,stocks,ARM,281,-0.0547,32.74,27.05,-19.46,-0.0692,0.11,44.98
15m,LONG,stocks,ASC,2291,0.0996,55.61,16.65,178.52,0.0779,2.26,-6.24
