symbol,side,open_ts,close_ts,held_min,avg_entry,exit_px,actual_pnl,pnl_+2h,pnl_+6h,pnl_+24h,reason_prefix,full_reason
AIUSDT,SHORT,2026-04-04T15:17:27+00:00,2026-04-04T15:52:18+00:00,34.9,0.01888922,0.01888922,0.0,0.2606,0.0488,3.9664,HEDGE_CLEANUP_R6,HEDGE_CLEANUP_R6_all_tf_wt_against_hedge_gain=0.01_main=-0.08_wt3m=23.9/18.8_wt15m=14.4/-1.6
ALGOUSDT,SHORT,2026-03-17T09:52:37+00:00,2026-03-17T10:05:38+00:00,13.0,0.09544169,0.09535,0.0961,0.2742,0.7352,1.1543,QUICK_BASIS_CONDITION,QUICK_BASIS_CONDITION_VIOLATION
ALTUSDT,LONG,2026-04-08T13:29:46+00:00,2026-04-08T13:31:28+00:00,1.7,0.006768709006622517,0.006757,-0.173,-1.7095,-2.3447,-0.2764,QUICK_HEDGE_WT,QUICK_HEDGE_WT_KILL_wt1=2.6_wt2=9.8
ALTUSDT,SHORT,2026-03-17T04:51:24+00:00,2026-03-17T05:24:44+00:00,33.3,0.00792,0.00792,0.0,19.596,19.596,19.596,QUICK_BASIS_CONDITION,QUICK_BASIS_CONDITION_VIOLATION
ALTUSDT,SHORT,2026-03-17T05:31:18+00:00,2026-03-17T05:45:24+00:00,14.1,0.00787502,0.00787502,0.0,19.1367,19.1367,19.1367,QUICK_BASIS_CONDITION,QUICK_BASIS_CONDITION_VIOLATION
ANKRUSDT,SHORT,2026-03-18T11:09:32+00:00,2026-03-18T12:57:13+00:00,107.7,0.005393094543170294,0.00525415,2.5763,5.9872,4.6225,11.6092,Manual/System Detection,Manual/System Detection
ANKRUSDT,SHORT,2026-03-18T15:16:41+00:00,2026-03-18T16:58:32+00:00,101.8,0.00502134,0.00502134,0.0,-2.4388,-1.2558,4.6111,Manual/System Detection,Manual/System Detection
APEUSDT,SHORT,2026-03-18T14:36:03+00:00,2026-03-18T17:55:28+00:00,199.4,0.09654321297577853,0.09654327,-0.0001,11.5422,11.5422,11.5422,Manual/System Detection,Manual/System Detection
ARBUSDC,LONG,2026-04-04T16:04:52+00:00,2026-04-04T16:38:57+00:00,34.1,0.0927,0.0928,0.1079,0.1079,0.0,-2.3732,QUICK_HEDGE_SAME,QUICK_HEDGE_SAME_SYM_LAST_RESORT
ARBUSDC,LONG,2026-04-04T21:17:56+00:00,2026-04-04T23:01:32+00:00,103.6,0.09279657189177852,0.09279657,-0.0,-0.6429,-1.3972,0.9736,HEDGE_CLEANUP_R6,HEDGE_CLEANUP_R6_all_tf_wt_against_hedge_gain=0.00_main=-0.20_wt3m=-12.8/-7.7_wt15m=-13.7/-13.2
ARBUSDC,LONG,2026-04-14T17:11:00+00:00,2026-04-14T17:17:07+00:00,6.1,0.11155473,0.11170448,0.1342,-1.573,-1.2144,3.6263,QUICK_HEDGE_WT,QUICK_HEDGE_WT_KILL_DELTA_DECEL_wt3m=62.6/41.5_wt15m=13.9/2.2_g0.3
ARKMUSDT,SHORT,2026-03-18T11:33:15+00:00,2026-03-18T17:14:46+00:00,341.5,0.11410388896086131,0.1135876,0.4525,13.9381,13.9381,13.9381,Manual/System Detection,Manual/System Detection
ARPAUSDT,LONG,2026-04-04T21:05:39+00:00,2026-04-04T21:09:06+00:00,3.5,0.00922,0.009233,0.141,-0.2169,-0.7592,-1.5184,HEDGE_CLEANUP_R6,HEDGE_CLEANUP_R6_main_recovered_gain=0.25_main=gone_wt3m=3.4/-1.0_wt15m=-2.6/-6.2
ARUSDT,SHORT,2026-03-18T11:33:30+00:00,2026-03-18T12:24:27+00:00,51.0,1.83856812,1.83856812,0.0,6.0138,6.0138,6.0138,Manual/System Detection,Manual/System Detection
ASTERUSDT,LONG,2026-03-29T03:25:01+00:00,2026-03-29T04:40:53+00:00,75.9,0.659829445,0.65982944,-0.0,-0.1712,-0.0045,1.0716,QUICK_HEDGE_CLEANUP,QUICK_HEDGE_CLEANUP_ORPHAN_REDUCE
AVAUSDT,SHORT,2026-03-22T06:59:09+00:00,2026-03-22T12:30:26+00:00,331.3,0.20893041983606558,0.20593991,1.4313,1.6898,4.035,-0.1769,Manual/System Detection,Manual/System Detection
AVAXUSDC,SHORT,2026-03-18T11:31:41+00:00,2026-03-18T17:19:36+00:00,347.9,9.599402534138054,9.54296098,0.588,8.0151,8.0151,8.0151,QUICK_SENTIMENT_CUT,QUICK_SENTIMENT_CUT_GAIN-0.0_REDUCE
AXLUSDT,SHORT,2026-03-17T10:22:01+00:00,2026-03-17T11:01:46+00:00,39.8,0.05801538,0.05801538,0.0,16.9013,16.9013,16.9013,QUICK_BASIS_CONDITION,QUICK_BASIS_CONDITION_VIOLATION
AXLUSDT,SHORT,2026-03-18T17:50:11+00:00,2026-03-19T03:08:36+00:00,558.4,0.05338793645125029,0.0535872,-0.3732,9.6987,9.6987,9.6987,Manual/System Detection,Manual/System Detection
AXSUSDT,LONG,2026-03-28T02:26:34+00:00,2026-03-28T02:32:50+00:00,6.3,1.105,1.107,0.181,2.4434,5.2489,,QUICK_HEDGE_KILL,QUICK_HEDGE_KILL_STRICT_LOSS_-0.00%_REDUCE
AXSUSDT,SHORT,2026-03-17T07:28:46+00:00,2026-03-17T08:21:44+00:00,53.0,1.232502145,1.234,-0.1215,-0.2676,0.2679,-1.371,Manual/System Detection,Manual/System Detection
AXSUSDT,SHORT,2026-03-17T10:22:17+00:00,2026-03-17T10:54:50+00:00,32.5,1.23890502,1.235,0.3152,0.6381,-0.3305,-4.3664,QUICK_BASIS_CONDITION,QUICK_BASIS_CONDITION_VIOLATION
AXSUSDT,SHORT,2026-03-19T21:51:09+00:00,2026-03-19T22:40:05+00:00,48.9,1.1995214300000003,1.19952143,0.0,-0.8736,-3.5413,-1.5405,QUICK_HEDGE_KILL,QUICK_HEDGE_KILL_STRICT_LOSS_-0.14%_REDUCE
AXSUSDT,SHORT,2026-03-22T05:29:35+00:00,2026-03-22T08:13:06+00:00,163.5,1.140971715,1.1175,2.0572,1.803,2.4165,6.0625,QUICK_CYCLE_TP,QUICK_CYCLE_TP_STOCH_AGAINST_1.93%_k15:86_k3:50
AXSUSDT,SHORT,2026-03-25T06:55:21+00:00,2026-03-25T07:09:29+00:00,14.1,1.114,1.114,0.0,-0.7181,-1.0772,2.0646,QUICK_CYCLE_TP,QUICK_CYCLE_TP_STOCH_AGAINST_0.50%_k15:62_k3:50
BANANAS31USDT,LONG,2026-03-28T02:45:21+00:00,2026-03-28T03:02:04+00:00,16.7,0.012953,0.013003,0.386,1.1349,-2.0845,3.4046,QUICK_HEDGE_ELECTED,QUICK_HEDGE_ELECTED_BANANAS31USDT_LONG
BBUSDT,SHORT,2026-03-18T07:36:37+00:00,2026-03-18T15:43:24+00:00,486.8,0.0270936413274887,0.02695805,0.5005,13.6698,13.6698,13.6698,Manual/System Detection,Manual/System Detection
BCHUSDC,LONG,2026-03-20T03:51:30+00:00,2026-03-20T13:15:56+00:00,564.4,465.2155638733082,466.24773171,0.2219,-2.241,-2.241,-2.241,QUICK_SENTIMENT_CUT,QUICK_SENTIMENT_CUT_GAIN0.5_REDUCE
BCHUSDC,LONG,2026-03-20T15:16:44+00:00,2026-03-20T16:03:09+00:00,46.4,469.71,468.49,-0.2597,-3.1764,-3.1764,-3.1764,QUICK_CYCLE_TP,QUICK_CYCLE_TP_STOCH_AGAINST_0.71%_k15:67_k3:50
BEATUSDT,LONG,2026-04-08T00:08:32+00:00,2026-04-08T00:15:48+00:00,7.3,0.3219,0.3258,1.2116,-3.6968,-6.4616,5.0637,QUICK_HEDGE_KILL,QUICK_HEDGE_KILL_REVERSING_-0.04%<prev-0.03%
BEATUSDT,LONG,2026-04-08T01:37:55+00:00,2026-04-08T01:49:57+00:00,12.0,0.3241631300000001,0.32609094,0.5947,-3.5979,-8.1944,2.4484,QUICK_HEDGE_SAME,QUICK_HEDGE_SAME_SYM_LAST_RESORT
BEATUSDT,LONG,2026-04-08T02:21:18+00:00,2026-04-08T06:25:31+00:00,244.2,0.31739799,0.29974371,-5.5622,-7.0883,-11.4676,-7.3718,QUICK_HEDGE_KILL,QUICK_HEDGE_KILL_REVERSING_-5.13%<prev-4.98%
BEATUSDT,LONG,2026-04-08T14:42:01+00:00,2026-04-08T15:09:09+00:00,27.1,0.30015305365145223,0.3140586,4.6328,5.8127,11.743,-5.4816,HAIKU_WINNER_AUG,HAIKU_WINNER_AUG_6.4pct
