path,gain_pct,bh_pct,delta,tim,dd,trades,status
B04,523,45.6,477,78,28,320,10x
B02,312,45.6,266,78,28,320,
B11,498,45.6,452,78,28,320,10x
B12,412,45.6,366,78,28,320,
B15,205,45.6,159,78,28,320,
