system,param,current_value,vectorizable,why_logic
crypto,FG_SIZING_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,FOOTHOLD_PILEON_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,FORCE_OPEN_REQUIRE_MTF_GR,True,MAYBE_STATE,IF-GATE
crypto,FROZEN_ABSOLUTE_FLOOR_PCT_CRYPTO,-10,YES,kw
crypto,FROZEN_ACTIVATION_STOP_ENABLED,True,MAYBE_STATE,kw
crypto,FUNDING_HEDGE_GATE_ENABLED,True,YES,kw
crypto,FUNDING_INJECT_LONG_OVERCROWDED_ABOVE,0.0008,YES,kw
crypto,FUNDING_INJECT_SHORT_OVERCROWDED_BELOW,-0.0008,YES,kw
crypto,FUNDING_LIVE_REFRESH_HOURS,1,YES,kw
crypto,FUNDING_OI_INJECT_ENABLED,True,YES,IF-GATE
crypto,FUNDING_OI_INJECT_MAX_EACH,10,YES,kw
crypto,FUNDING_OI_INJECT_OI_MIN_PCT,1,YES,kw
crypto,FUNDING_OI_INJECT_PRICE_MIN_PCT,0.5,YES,kw
crypto,GR_HTF_DIRECT_ENTRY_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,GUARANTEED_REENTRY_AUGMENT_ENABLED,True,MAYBE_STATE,kw
crypto,GUARANTEED_REENTRY_DELTA_GATE_ENABLED,False,MAYBE_STATE,kw
crypto,GUARANTEED_REENTRY_K_FAVORABLE_HIGH,70,MAYBE_STATE,kw
crypto,GUARANTEED_REENTRY_K_FAVORABLE_LOW,30,MAYBE_STATE,kw
crypto,GUARANTEED_REENTRY_K_HIGH_BLOCK,80,MAYBE_STATE,kw
crypto,GUARANTEED_REENTRY_K_LOW_BLOCK,20,MAYBE_STATE,kw
crypto,GUARANTEED_REENTRY_STRICT_CONFIRMATION,True,MAYBE_STATE,kw
crypto,GUARANTEED_REENTRY_TIGHT_STOP_ENABLED,True,MAYBE_STATE,kw
crypto,GUARANTEED_REENTRY_TIGHT_STOP_MAX_AGE_S,1800,YES,kw
crypto,GUARANTEED_REENTRY_TIGHT_STOP_MIN_AGE_S,60,YES,kw
crypto,GUARANTEED_REENTRY_TIGHT_STOP_PCT,0.5,YES,kw
crypto,HA_WICK_QUALITY_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,HA_WICK_QUALITY_SCORE,15,YES,kw
crypto,HEDGE_ALL_POSITIONS,False,MAYBE_STATE,kw
crypto,HEDGE_ALREADY_COVERED_THRESHOLD,0.9,YES,kw
crypto,HEDGE_BANDAID_OFF_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,HEDGE_CLOSE_REMOVE_FROM_TRADEABLE,False,MAYBE_STATE,kw
crypto,HEDGE_CLOSE_SCALP_MODE,True,MAYBE_STATE,IF-GATE
crypto,HEDGE_DC_LONG_REJECT_DCP,0.85,YES,kw
crypto,HEDGE_DC_RESISTANCE_GATE_ENABLED,False,YES,kw
crypto,HEDGE_DC_SHORT_REJECT_DCP,0.15,YES,kw
crypto,HEDGE_DECAY_NUKE_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,HEDGE_DETERIORATING_GAIN_DELTA_PP,0.1,YES,kw
crypto,HEDGE_DETERIORATING_GAIN_ENABLED,False,YES,IF-GATE
crypto,HEDGE_EXIT_BYPASS_NOLOSS,False,YES,kw
crypto,HEDGE_EXIT_DELTA_CHECK_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,HEDGE_HTF_VETO_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,HEDGE_MAX_ABSOLUTE_USD,100000,YES,kw
crypto,HEDGE_MAX_AGE_HOURS,6,YES,kw
crypto,HEDGE_MAX_AGE_KILL_REQUIRE_PROFIT,True,YES,kw
crypto,HEDGE_NEWBORN_DC_BREACH_ALLOWED,True,YES,kw
crypto,HEDGE_NEWBORN_GRACE_MINUTES,0,MAYBE_STATE,kw
crypto,HEDGE_OPEN_OB_CHECK_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,HEDGE_OPEN_OB_IMB_BOUND,0.65,MAYBE_STATE,kw
crypto,HEDGE_OVERSIZE_RATIO,2,YES,kw
