symbol_side,winning_tag,vectorized_sharpe,vectorized_trades,vectorized_gain_pct,sample_tag,cycle_id,ppl_enabled,ppl_gain_pct,ppl_arm_gain_pct,ppl_be_buffer_pct,ppl_frac,wt_3m_force_open,long_enabled,short_enabled,dc_long_enabled,dc_short_enabled,settings_stamp,raw_returns_count
MANAUSDT_LONG,crypto_all_MANAUSDT_2026-05-03,0.19526828954873834,151.0,,CRYPTO_ALL,,False,,,,,False,True,,,,,0
MANAUSDT_SHORT,fotest_baseline_MANAUSDT_SHORT_2026-07-07,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,False,,,,0
MASKUSDT_SHORT,fotest_baseline_MASKUSDT_SHORT_2026-07-08,0.06386460261148026,296.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
MA_LONG,NOLOSS_WT5of5_LONG,,,,,,False,,,,,False,True,False,True,False,,18
MELANIAUSDT_SHORT,fotest_baseline_MELANIAUSDT_SHORT_2026-07-08,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
MEMEUSDT_SHORT,N/A,,0.0,,NO_TRADES,,False,,,,,False,,True,,,,0
MINAUSDT_LONG,fotest_baseline_MINAUSDT_LONG_2026-07-08,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,True,,,,,0
MNTS_LONG,N/A,,,,NO_TRADES,,False,,,,,False,True,,,,,0
MORPHOUSDT_LONG,fotest_baseline_MORPHOUSDT_LONG_2026-07-08,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,True,,,,,0
MOS_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
MOVEUSDT_SHORT,fotest_baseline_MOVEUSDT_SHORT_2026-07-08,-0.2727763934285297,226.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
MOVRUSDT_SHORT,N/A,,0.0,,NO_TRADES,,False,,,,,False,,True,,,,0
MPC_LONG,BEST_PPL_v2_tight,,,,BELOW_THRESHOLD,20260522_024059,True,0.3,0.5,0.02,0.625,False,,,,,,0
MPC_SHORT,BEST_PPL_v2_tight,,,,DISCARD,20260522_023833,True,0.3,0.5,0.02,0.625,False,,False,,,,0
MP_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
MRVLUSDT_SHORT,N/A,,0.0,,NO_TRADES,,False,,,,,False,,True,,,,0
MRVL_LONG,RULE_A_on_LONG,,,,,,False,,,,,False,True,False,True,False,,7
MRVL_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
MSFTUSDT_LONG,N/A,,0.0,,NO_TRADES,,False,,,,,False,True,,,,,0
MSFT_LONG,NOLOSS_WT5of5_LONG,0.015,18.0,0.3415,,,False,,,,,False,True,False,True,False,,18
MSFT_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
MSTR_LONG,baseline,,,,BELOW_THRESHOLD,20260522_024059,False,,,,,False,,,,,,0
MSTR_SHORT,baseline,,,,BELOW_THRESHOLD,20260522_024059,False,,,,,False,,,,,,0
MUUSDT_LONG,N/A,,0.0,,NO_TRADES,,False,,,,,False,True,,,,,0
MU_LONG,fotest_baseline_MU_LONG_2026-07-07,,,,FOTEST_PERSYM_BASELINE_DIAGNOSTIC,,False,,,,,False,False,False,True,False,,6
MU_SHORT,BEST_PPL_v2_tight,,,,BELOW_THRESHOLD,20260522_023833,True,0.3,0.5,0.02,0.625,False,,,,,,0
