entry,rule,exit,gain,delta,dots
B_SRS_ENTRY,DC_TOP_15m,WT_5m_0.9995_x2.5,5.0,-668.53,51
B_SRS_ENTRY,DC_TOP_15m,WT_5m_0.9995_x10,5.0,-668.53,51
B_SRS_ENTRY,DC_TOP_15m,DC_5m_0.9995_x2.5,5.0,-668.53,51
B_SRS_ENTRY,DC_TOP_15m,DC_5m_0.9995_x10,5.0,-668.53,51
B_SRS_ENTRY,DC_TOP_15m,WT_DC_5m_0.9995_x2.5,5.0,-668.53,51
