Switch,Scope,Scope_Reason,Verdict,Reason,Groups,Source_Sheets,Declared_Quick,Read_Quick,Read_Wide,Read_Scalar,Read_Live_Crypto,Read_Live_Stock,Values_Defined,TFs_Tested,Empirical_Rows,Unique_Behaviors,Unique_Deltas
MTS_BOTTOM_MIN_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 15m,ENGINE_AUTO_WIRED|GLOBAL|OTHER|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,False,True,"[5.0,2.5,3.75,6.25,7.5]",5m|15m|1h|4h|D,25,8,8
MTS_ENTRY_QUALITY_MIN_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 5m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,False,True,"[0.0,1.0,2.0]",5m|15m|1h|4h|D,15,5,5
MTS_GATE_ENABLED_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 15m,ENGINE_AUTO_WIRED|FILTER|OTHER|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,False,True,"[false,true]",5m|15m|1h|4h|D,10,6,6
