switch,host,groups,values,observations,sym_sides,source_files,first_seen_utc,last_seen_utc
ABLATION_DISABLE_AGGRESSIVE_HEDGE,s1,FILTER,"[""True"",""false"",""null"",""true""]",8,MU_LONG,data/reports/DELTA_MATRIX_FULL.xlsx|data/reports/PARAM_BASELINE_STOCKS.xlsx|data/reports/delta_matrix.xlsx|data/reports/gui_lab/DIRECT_V8_RESULTS.xlsx,2026-08-24T18:44:16.203660+00:00,2026-08-25T18:30:18.688502+00:00
ABLATION_DISABLE_AUGMENTATION,s1,AUGMENT,"[""True"",""null"",""true""]",151,1000BONKUSDC_SHORT|1000SHIBUSDC_SHORT|AAPL_LONG|AAPL_SHORT|ABT_LONG|ADP_LONG|ALGOUSDT_SHORT|AMDUSDT_LONG|AMZN_LONG|ANKRUSDT_SHORT|APA_LONG|ASTSUSDT_LONG|ASTS_LONG|AXON_SHORT|BANDUSDT_SHORT|BATUSDT_SHORT|BK_LONG|BMNR_LONG|BTCDOMUSDT_LONG|BTCDOMUSDT_SHORT|BTCL_LONG|CATUSDT_LONG|CF_LONG|CLF_SHORT|CLX_LONG|CMC_LONG|COHR_SHORT|COMPUSDT_SHORT|COTIUSDT_SHORT|CRMUSDT_LONG|CRM_SHORT|DAR_LONG|DE_LONG|DOGEUSDC_SHORT|ENAUSDC_SHORT|ENJUSDT_SHORT|ETCUSDT_SHORT|GDX_LONG|GE_LONG|GLD_LONG|GLD_SHORT|GMEUSDT_SHORT|GME_SHORT|GM_LONG|GOOGLUSDT_LONG|GOOGL_LONG|HAO_LONG|HL_LONG|HOODUSDT_LONG|HOOD_LONG|HOTUSDT_SHORT|IBMUSDT_LONG|IBMUSDT_SHORT|IBM_LONG|IBM_SHORT|INTC_LONG|JPM_LONG|KAVAUSDT_SHORT|KO_LONG|LAC_LONG|LAC_SHORT|LLYUSDT_LONG|LRCX_LONG|METAUSDT_LONG|MPC_LONG|MP_LONG|MRVLUSDT_LONG|MRVL_LONG|MU_LONG|NEM_LONG|NVDAUSDT_LONG|NVDA_LONG|NXE_LONG|PENDLEUSDT_LONG|PSX_LONG|PYPLUSDT_SHORT|QQQUSDT_LONG|QTUMUSDT_SHORT|SAP_SHORT|SCHW_LONG|SLV_LONG|SMCI_LONG|SNDKUSDT_LONG|SNDK_LONG|SNOW_LONG|SOLUSDC_LONG|SPOT_LONG|SPYUSDT_LONG|SPY_LONG|STORJUSDT_SHORT|SXPUSDT_SHORT|TGT_LONG|THETAUSDT_SHORT|TSLAUSDT_LONG|TSLA_LONG|TSMUSDT_LONG|TSM_LONG|TXN_LONG|TXN_SHORT|T_SHORT|UUUU_LONG|VALE_LONG|VETUSDT_SHORT|VT_LONG|WMT_SHORT|XLEUSDT_LONG|XLE_LONG|XMRUSDT_LONG|XRPUSDC_SHORT|ZECUSDC_LONG|ZENUSDT_SHORT|ZETA_LONG,data/reports/DELTA_MATRIX_FULL.xlsx|data/reports/PARAM_BASELINE_STOCKS.xlsx|data/reports/delta_matrix.xlsx|data/reports/gui_lab/opt/bh_winners.json|data/reports/gui_lab/opt/intelligent/AAPL_LONG.json|data/reports/gui_lab/opt/intelligent/ABT_LONG.json|data/reports/gui_lab/opt/intelligent/ADP_LONG.json|data/reports/gui_lab/opt/intelligent/ALGOUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/AMDUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/AMZN_LONG.json|data/reports/gui_lab/opt/intelligent/ANKRUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/ASTSUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/ASTS_LONG.json|data/reports/gui_lab/opt/intelligent/AXON_SHORT.json|data/reports/gui_lab/opt/intelligent/BANDUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/BATUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/BK_LONG.json|data/reports/gui_lab/opt/intelligent/BMNR_LONG.json|data/reports/gui_lab/opt/intelligent/BTCDOMUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/BTCDOMUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/BTCL_LONG.json|data/reports/gui_lab/opt/intelligent/CATUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/CF_LONG.json|data/reports/gui_lab/opt/intelligent/CLF_SHORT.json|data/reports/gui_lab/opt/intelligent/CLX_LONG.json|data/reports/gui_lab/opt/intelligent/CMC_LONG.json|data/reports/gui_lab/opt/intelligent/COMPUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/COTIUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/CRMUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/CRM_SHORT.json|data/reports/gui_lab/opt/intelligent/DAR_LONG.json|data/reports/gui_lab/opt/intelligent/DE_LONG.json|data/reports/gui_lab/opt/intelligent/DOGEUSDC_SHORT.json|data/reports/gui_lab/opt/intelligent/ENJUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/ETCUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/GDX_LONG.json|data/reports/gui_lab/opt/intelligent/GE_LONG.json|data/reports/gui_lab/opt/intelligent/GLD_SHORT.json|data/reports/gui_lab/opt/intelligent/GMEUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/GME_SHORT.json|data/reports/gui_lab/opt/intelligent/GM_LONG.json|data/reports/gui_lab/opt/intelligent/GOOGLUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/GOOGL_LONG.json|data/reports/gui_lab/opt/intelligent/HAO_LONG.json|data/reports/gui_lab/opt/intelligent/HOODUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/HOOD_LONG.json|data/reports/gui_lab/opt/intelligent/HOTUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/IBMUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/IBMUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/IBM_LONG.json|data/reports/gui_lab/opt/intelligent/IBM_SHORT.json|data/reports/gui_lab/opt/intelligent/INTC_LONG.json|data/reports/gui_lab/opt/intelligent/KAVAUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/LAC_LONG.json|data/reports/gui_lab/opt/intelligent/LAC_SHORT.json|data/reports/gui_lab/opt/intelligent/LLYUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/LRCX_LONG.json|data/reports/gui_lab/opt/intelligent/MPC_LONG.json|data/reports/gui_lab/opt/intelligent/MP_LONG.json|data/reports/gui_lab/opt/intelligent/MRVLUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/MU_LONG.json|data/reports/gui_lab/opt/intelligent/NVDAUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/NXE_LONG.json|data/reports/gui_lab/opt/intelligent/PYPLUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/QQQUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/QTUMUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/SAP_SHORT.json|data/reports/gui_lab/opt/intelligent/SCHW_LONG.json|data/reports/gui_lab/opt/intelligent/SLV_LONG.json|data/reports/gui_lab/opt/intelligent/SNDKUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/SNDK_LONG.json|data/reports/gui_lab/opt/intelligent/SNOW_LONG.json|data/reports/gui_lab/opt/intelligent/SOLUSDC_LONG.json|data/reports/gui_lab/opt/intelligent/SPOT_LONG.json|data/reports/gui_lab/opt/intelligent/SPYUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/SPY_LONG.json|data/reports/gui_lab/opt/intelligent/STORJUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/SXPUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/TGT_LONG.json|data/reports/gui_lab/opt/intelligent/THETAUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/TSLAUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/TSLA_LONG.json|data/reports/gui_lab/opt/intelligent/TSMUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/TSM_LONG.json|data/reports/gui_lab/opt/intelligent/TXN_LONG.json|data/reports/gui_lab/opt/intelligent/TXN_SHORT.json|data/reports/gui_lab/opt/intelligent/T_SHORT.json|data/reports/gui_lab/opt/intelligent/UUUU_LONG.json|data/reports/gui_lab/opt/intelligent/VETUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/WMT_SHORT.json|data/reports/gui_lab/opt/intelligent/XLEUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/XMRUSDT_LONG.json|data/reports/gui_lab/opt/intelligent/XRPUSDC_SHORT.json|data/reports/gui_lab/opt/intelligent/ZECUSDC_LONG.json|data/reports/gui_lab/opt/intelligent/ZENUSDT_SHORT.json|data/reports/gui_lab/opt/intelligent/ZETA_LONG.json|data/reports/gui_lab/opt/intelligent_VOID_badmetric_badticks_1787367152/1000SHIBUSDC_SHORT.json|data/reports/gui_lab/opt/intelligent_VOID_badmetric_badticks_1787367152/AAPL_SHORT.json|data/reports/gui_lab/opt/intelligent_VOID_badmetric_badticks_1787367152/APA_LONG.json|data/reports/gui_lab/opt/intelligent_VOID_badmetric_badticks_1787367152/COHR_SHORT.json|data/reports/gui_lab/opt/intelligent_VOID_badmetric_badticks_1787367152/ENAUSDC_SHORT.json|data/reports/gui_lab/opt/intelligent_VOID_badmetric_badticks_1787367152/HL_LONG.json|data/reports/gui_lab/opt/intelligent_VOID_badmetric_badticks_1787367152/KO_LONG.json|data/reports/gui_lab/opt/intelligent_VOID_badmetric_badticks_1787367152/METAUSDT_LONG.json|data/reports/gui_lab/opt/intelligent_VOID_badmetric_badticks_1787367152/MRVL_LONG.json|data/reports/gui_lab/opt/intelligent_VOID_badmetric_badticks_1787367152/SMCI_LONG.json|data/reports/gui_lab/opt/intelligent_VOID_badmetric_badticks_1787367152/VALE_LONG.json|data/reports/gui_lab/opt/intelligent_VOID_badmetric_badticks_1787367152/VT_LONG.json|data/reports/gui_lab/opt/intelligent_VOID_badmetric_badticks_1787367152/XLEUSDT_LONG.json|data/reports/gui_lab/opt/intelligent_oldgroups_1787337919/GLD_LONG.json|data/reports/gui_lab/opt/intelligent_oldgroups_1787337919/PSX_LONG.json|data/reports/gui_lab/opt/intelligent_oldgroups_1787337919/VT_LONG.json|data/reports/gui_lab/opt/intelligent_oldgroups_1787337919/XLE_LONG.json|data/reports/gui_lab/opt/intelligent_pre_full_1787346301/CLX_LONG.json|data/reports/gui_lab/opt/intelligent_pre_full_1787346301/GLD_LONG.json|data/reports/gui_lab/opt/intelligent_pre_full_1787346301/JPM_LONG.json|data/reports/gui_lab/opt/intelligent_pre_full_1787346301/NVDA_LONG.json|data/reports/gui_lab/opt/intelligent_pre_full_1787346301/PENDLEUSDT_LONG.json|data/reports/gui_lab/opt/intelligent_pre_full_1787346301/UUUU_LONG.json|data/reports/gui_lab/opt/intelligent_pre_modefix_1787339079/1000BONKUSDC_SHORT.json|data/reports/gui_lab/opt/intelligent_pre_modefix_1787339079/MU_LONG.json|data/reports/gui_lab/opt/intelligent_pre_modefix_1787339079/NEM_LONG.json,2026-08-21T18:18:41.213234+00:00,2026-08-25T18:09:40.167456+00:00
ABLATION_DISABLE_CHECK_NOLOSS,s1,,"[""false"",""null"",""true""]",6,,data/reports/PARAM_BASELINE_STOCKS.xlsx|data/reports/gui_lab/DIRECT_V8_RESULTS.xlsx,2026-08-25T18:09:40.167456+00:00,2026-08-25T18:30:18.688502+00:00
