Switch,Scope,Scope_Reason,Verdict,Reason,Groups,Source_Sheets,Declared_Quick,Read_Quick,Read_Wide,Read_Scalar,Read_Live_Crypto,Read_Live_Stock,Values_Defined,TFs_Tested,Empirical_Rows,Unique_Behaviors,Unique_Deltas
MTF_DC_REJECT_EXIT_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|EXIT|EXIT_AT_TOP_LONGS|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|ENTRY_SWITCHES_ALL|EXITS_ALL|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,True,True,False,False,"[false,true]",3m|15m|1h|4h|D,10,4,4
MTF_DC_REJECT_EXIT_LOOKBACK,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,False,True,False,False,"[5,7]",3m|15m|1h|4h|D,10,4,4
MTF_DC_REJECT_EXIT_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,TF_ALIAS,two or more timeframes have identical executed ledgers,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,False,True,False,False,"[""1h"",""3m"",""15m"",""4h"",""D""]",3m|15m|1h|4h|D,5,1,1
MTF_EXIT_USE_COMPOUND,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,True,True,False,False,"[false,true]",3m|15m|1h|4h|D,10,4,4
WT_ACCEL_EXIT_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,EXIT|QUICK_CONFIG,DISCONNECTED_LIVE_PATHS|QUICK_CONFIG,True,True,True,True,True,False,"[false,true]",3m|15m|1h|4h|D,10,4,4
WT_ACCEL_EXIT_LONG_THR,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[-0.5,0.0]",3m|15m|1h|4h|D,10,4,4
WT_ACCEL_EXIT_MIN_TFS,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[2,0]",3m|15m|1h|4h|D,10,4,4
WT_ACCEL_EXIT_SHORT_THR,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[0.5,0.0]",3m|15m|1h|4h|D,10,4,4
WT_ACCEL_EXIT_TFS,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,"[[""15m"",""1h"",""4h""],[""3m""],[""15m""],[""1h""],[""4h""],[""D""]]",3m|15m|1h|4h|D,30,4,4
WT_DIV_EXIT_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,EXIT|QUICK_CONFIG,DISCONNECTED_LIVE_PATHS|QUICK_CONFIG,True,True,True,True,True,False,"[false,true]",3m|15m|1h|4h|D,10,4,4
