sym,switch,candidate,window,F_vec_delta,G_live_delta,F_filling,G_filling,vec_trades,live_trades,parity_pp
BNBUSDC_LONG,DC_BREAKOUT_TF,1h,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,DC_BREAKOUT_TF,1h,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,DC_BREAKOUT_TF,15m,365,0.0,0,False,False,33,0,0.0
BNBUSDC_LONG,DC_BREAKOUT_TF,15m,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,DC_BREAKOUT_SCORE,10,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,DC_BREAKOUT_SCORE,10,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,DC_BREAKOUT_SCORE,15,365,-0.0003,0,True,False,35,0,0.0003
BNBUSDC_LONG,DC_BREAKOUT_SCORE,15,30,0.1718,0,True,False,12,0,0.1718
BNBUSDC_LONG,DC_BREAKOUT_SCORE,20,365,-0.0003,0,True,False,35,0,0.0003
BNBUSDC_LONG,DC_BREAKOUT_SCORE,20,30,0.1718,0,True,False,12,0,0.1718
BNBUSDC_LONG,DC_BREAKOUT_SCORE,25,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,DC_BREAKOUT_SCORE,25,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,DC_BREAKOUT_SCORE,30,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,DC_BREAKOUT_SCORE,30,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,BB_BREAKOUT_SCORE,10,365,-0.0078,0,True,False,34,0,0.0078
BNBUSDC_LONG,BB_BREAKOUT_SCORE,10,30,0.3001,0,True,False,12,0,0.3001
BNBUSDC_LONG,BB_BREAKOUT_SCORE,15,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,BB_BREAKOUT_SCORE,15,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,BB_BREAKOUT_SCORE,20,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,BB_BREAKOUT_SCORE,20,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,BB_BREAKOUT_SCORE,25,365,0.0,0,False,False,33,0,0.0
BNBUSDC_LONG,BB_BREAKOUT_SCORE,25,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,BB_BREAKOUT_SCORE,30,365,0.0,0,True,False,33,0,0.0
BNBUSDC_LONG,BB_BREAKOUT_SCORE,30,30,-0.0753,0,True,False,12,0,0.0753
BNBUSDC_LONG,STDEV_BREAKOUT_ENABLED,False,365,0.0,0,False,False,33,0,0.0
BNBUSDC_LONG,STDEV_BREAKOUT_ENABLED,False,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,STDEV_BREAKOUT_ENABLED,True,365,0.0,0,False,False,33,0,0.0
BNBUSDC_LONG,STDEV_BREAKOUT_ENABLED,True,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,BTC_BREAKOUT_ENTRY_ENABLED,False,365,0.0,0,False,False,33,0,0.0
BNBUSDC_LONG,BTC_BREAKOUT_ENTRY_ENABLED,False,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,BTC_BREAKOUT_ENTRY_ENABLED,True,365,0.0001,0,True,False,33,0,0.0001
BNBUSDC_LONG,BTC_BREAKOUT_ENTRY_ENABLED,True,30,-0.2608,0,True,False,14,0,0.2608
BNBUSDC_LONG,RZ_BREAKOUT_ENTRY_ENABLED,False,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,RZ_BREAKOUT_ENTRY_ENABLED,False,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,RZ_BREAKOUT_ENTRY_ENABLED,True,365,0.0,0,False,False,33,0,0.0
BNBUSDC_LONG,RZ_BREAKOUT_ENTRY_ENABLED,True,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,ATR_ADAPTIVE_SIZING_TARGET_PCT,1.0,365,-0.0075,0,True,False,34,0,0.0075
BNBUSDC_LONG,ATR_ADAPTIVE_SIZING_TARGET_PCT,1.0,30,0.1782,0,True,False,12,0,0.1782
BNBUSDC_LONG,ATR_ADAPTIVE_SIZING_TARGET_PCT,1.5,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,ATR_ADAPTIVE_SIZING_TARGET_PCT,1.5,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,ATR_ADAPTIVE_SIZING_TARGET_PCT,2.0,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,ATR_ADAPTIVE_SIZING_TARGET_PCT,2.0,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,ATR_ADAPTIVE_SIZING_TARGET_PCT,2.5,365,-0.0004,0,True,False,35,0,0.0004
BNBUSDC_LONG,ATR_ADAPTIVE_SIZING_TARGET_PCT,2.5,30,0.1586,0,True,False,12,0,0.1586
BNBUSDC_LONG,ATR_ADAPTIVE_SIZING_TARGET_PCT,3.0,365,0.0001,0,True,False,33,0,0.0001
BNBUSDC_LONG,ATR_ADAPTIVE_SIZING_TARGET_PCT,3.0,30,-0.2608,0,True,False,14,0,0.2608
BNBUSDC_LONG,ATR_ADAPTIVE_STOP_MULT,1.0,365,-0.0078,0,True,False,34,0,0.0078
BNBUSDC_LONG,ATR_ADAPTIVE_STOP_MULT,1.0,30,0.3001,0,True,False,12,0,0.3001
BNBUSDC_LONG,ATR_ADAPTIVE_STOP_MULT,1.5,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,ATR_ADAPTIVE_STOP_MULT,1.5,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,ATR_ADAPTIVE_STOP_MULT,2.0,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,ATR_ADAPTIVE_STOP_MULT,2.0,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,ATR_ADAPTIVE_STOP_MULT,2.5,365,-0.0075,0,True,False,34,0,0.0075
BNBUSDC_LONG,ATR_ADAPTIVE_STOP_MULT,2.5,30,0.1782,0,True,False,12,0,0.1782
BNBUSDC_LONG,ATR_ADAPTIVE_STOP_MULT,3.0,365,0.0,0,False,False,33,0,0.0
BNBUSDC_LONG,ATR_ADAPTIVE_STOP_MULT,3.0,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,ATR_LONG_WINDOW,50,365,0.0155,0,True,False,33,0,0.0155
BNBUSDC_LONG,ATR_LONG_WINDOW,50,30,0.0987,0,True,False,12,0,0.0987
BNBUSDC_LONG,ATR_LONG_WINDOW,75,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,ATR_LONG_WINDOW,75,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,ATR_LONG_WINDOW,100,365,0.0099,0,True,False,31,0,0.0099
BNBUSDC_LONG,ATR_LONG_WINDOW,100,30,-0.08,0,True,False,12,0,0.08
BNBUSDC_LONG,ATR_LONG_WINDOW,125,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,ATR_LONG_WINDOW,125,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,ATR_LONG_WINDOW,150,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,ATR_LONG_WINDOW,150,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,BTC_RZ_WT_DC_MULTIFACTOR,0,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,BTC_RZ_WT_DC_MULTIFACTOR,0,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,BTC_RZ_WT_DC_MULTIFACTOR,0.5,365,0.0155,0,True,False,33,0,0.0155
BNBUSDC_LONG,BTC_RZ_WT_DC_MULTIFACTOR,0.5,30,0.0987,0,True,False,12,0,0.0987
BNBUSDC_LONG,BTC_RZ_WT_DC_MULTIFACTOR,1.0,365,0.0012,0,True,False,31,0,0.0012
BNBUSDC_LONG,BTC_RZ_WT_DC_MULTIFACTOR,1.0,30,-0.072,0,True,False,12,0,0.072
BNBUSDC_LONG,BTC_RZ_WT_DC_MULTIFACTOR,2.0,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,BTC_RZ_WT_DC_MULTIFACTOR,2.0,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,BTC_TECH_EXIT_WT_MIN_TFS,0,365,0.0155,0,True,False,33,0,0.0155
BNBUSDC_LONG,BTC_TECH_EXIT_WT_MIN_TFS,0,30,0.0987,0,True,False,12,0,0.0987
BNBUSDC_LONG,BTC_TECH_EXIT_WT_MIN_TFS,0.5,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,BTC_TECH_EXIT_WT_MIN_TFS,0.5,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,BTC_TECH_EXIT_WT_MIN_TFS,1.0,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,BTC_TECH_EXIT_WT_MIN_TFS,1.0,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,BTC_TECH_EXIT_WT_MIN_TFS,2.0,365,-0.0075,0,True,False,34,0,0.0075
BNBUSDC_LONG,BTC_TECH_EXIT_WT_MIN_TFS,2.0,30,0.1782,0,True,False,12,0,0.1782
BNBUSDC_LONG,ENTRY_PRIMARY_TF,OFF,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,ENTRY_PRIMARY_TF,OFF,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,ENTRY_PRIMARY_TF,D,365,0.0115,0,True,False,31,0,0.0115
BNBUSDC_LONG,ENTRY_PRIMARY_TF,D,30,-0.0774,0,True,False,12,0,0.0774
BNBUSDC_LONG,ENTRY_PRIMARY_TF,4h,365,0.0,0,False,False,33,0,0.0
BNBUSDC_LONG,ENTRY_PRIMARY_TF,4h,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,ENTRY_PRIMARY_TF,1h,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,ENTRY_PRIMARY_TF,1h,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,ENTRY_PRIMARY_TF,15m,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,ENTRY_PRIMARY_TF,15m,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,ENTRY_SCORE_THRESHOLD,9.0,365,-0.0004,0,True,False,35,0,0.0004
BNBUSDC_LONG,ENTRY_SCORE_THRESHOLD,9.0,30,0.1586,0,True,False,12,0,0.1586
BNBUSDC_LONG,ENTRY_SCORE_THRESHOLD,13.5,365,-0.0078,0,True,False,34,0,0.0078
BNBUSDC_LONG,ENTRY_SCORE_THRESHOLD,13.5,30,0.3001,0,True,False,12,0,0.3001
BNBUSDC_LONG,ENTRY_SCORE_THRESHOLD,18.0,365,-0.0004,0,True,False,35,0,0.0004
BNBUSDC_LONG,ENTRY_SCORE_THRESHOLD,18.0,30,0.1586,0,True,False,12,0,0.1586
BNBUSDC_LONG,ENTRY_SCORE_THRESHOLD,22.5,365,-0.0078,0,True,False,34,0,0.0078
BNBUSDC_LONG,ENTRY_SCORE_THRESHOLD,22.5,30,0.3001,0,True,False,12,0,0.3001
BNBUSDC_LONG,ENTRY_SCORE_THRESHOLD,27.0,365,-0.0004,0,True,False,35,0,0.0004
