sheet,family,Switch,default,status,vector_causal,live_read,declared_in_quick,badly_wired,is_low_tf
ENTRY_PULLBACK_BOUNCE,ENTRY,EMA_9_21_FILTER_FILTER_TF,OFF,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,EMA_9_21_FILTER_MIN_TFS,0,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,EMA_BLANKET_FILTER_ENABLED,False,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,EMA_BLANKET_FILTER_FILTER_TF,OFF,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,EMA_BLANKET_FILTER_MIN_TFS,0,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,EMERGENCY_BRAKE_FILTER_TF,OFF,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,EXECUTE_NOW_SINGLE_GATE_ENFORCE,0.0,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,EXIT_R1_R2_FILTER_TF,OFF,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,EXIT_TIGHT_BREAKOUT_SCORER_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,EXIT_TOP_FADE_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,EXIT_TO_REDUCE_ADAPTER_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,EZ_MANAGE_THROTTLER_RATE,0.0,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,FAST_RISER_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,FG_FEAR_THRESHOLD,25,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,FG_GREED_THRESHOLD,75,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,FH_MOMENTUM_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,FIRST_OPEN_THROTTLE_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,FROZEN_STOP_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,FUNDING_GATE_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,FUNDING_GATE_LONG_MAX,0.0,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,FUNDING_GATE_MTF_REQUIRED,0.0,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,FUNDING_GATE_SHORT_MIN,0.0,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,GOLDEN_RULE_BASE_USD,0.0,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,GOLDEN_RULE_ENFORCE_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
