host,path,mtime_utc,size_bytes,records,status
s1,/home/niels/binance-sandbox/data/reports/BTCUSDC_LONG_SWITCH_TF_UNIQUENESS.status.json,2026-08-25T18:29:54.577274+00:00,341,1,ok
s1,/home/niels/binance-sandbox/data/reports/COMBINED_WINNERS.xlsx,2026-08-24T21:11:46.018419+00:00,5415,5,ok
s1,/home/niels/binance-sandbox/data/reports/CRYSTALLIZED_COMBINATIONS.xlsx,2026-08-25T14:26:43.378586+00:00,6051,10,ok
s1,/home/niels/binance-sandbox/data/reports/DELTA_MATRIX_FULL.xlsx,2026-08-24T18:44:16.203660+00:00,112203,1309,ok
s1,/home/niels/binance-sandbox/data/reports/MATRIX_DEADLINE_DIGEST_CURRENT.json,2026-08-21T04:25:15.450013+00:00,2370,1,ok
s1,/home/niels/binance-sandbox/data/reports/MU_LONG_delta_matrix.csv,2026-08-24T18:05:14.954971+00:00,5705,17,ok
s1,/home/niels/binance-sandbox/data/reports/PARAM_BASELINE_STOCKS.xlsx,2026-08-25T18:09:40.167456+00:00,1497938,8223,ok
s1,/home/niels/binance-sandbox/data/reports/RANKING_20SYM_1MO.xlsx,2026-08-24T19:31:46.780033+00:00,12886,78,ok
s1,/home/niels/binance-sandbox/data/reports/RANKING_20SYM_1MO_ALL_TF_recovered_15sym.xlsx,2026-08-25T13:35:27.126492+00:00,569348,9996,ok
s1,/home/niels/binance-sandbox/data/reports/RANKING_20SYM_1MO_ALL_TF_recovered_summary.xlsx,2026-08-25T13:35:27.151492+00:00,7011,50,ok
s1,/home/niels/binance-sandbox/data/reports/RANKING_20SYM_1MO_S1.xlsx,2026-08-24T19:31:46.782033+00:00,12886,78,ok
s1,/home/niels/binance-sandbox/data/reports/RANKING_DETAILED_DEMO.xlsx,2026-08-24T21:05:29.069539+00:00,14117,61,ok
s1,/home/niels/binance-sandbox/data/reports/S1_30MIN_TRUTH_DIGEST_CURRENT.json,2026-08-21T04:25:15.570014+00:00,1233,1,ok
s1,/home/niels/binance-sandbox/data/reports/S1_30MIN_TRUTH_DIGEST_STATE.json,2026-08-21T04:25:15.562014+00:00,81451,1,ok
s1,/home/niels/binance-sandbox/data/reports/S1_DISK_SPACE_WATCHDOG_STATUS.json,2026-08-23T03:17:01.691125+00:00,509,1,ok
s1,/home/niels/binance-sandbox/data/reports/delta_matrix.xlsx,2026-08-24T18:44:23.184724+00:00,112203,1309,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/DIRECT_V8_RESULTS.xlsx,2026-08-25T18:30:18.688502+00:00,1953459,16214,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/OPT_MATRIX_STOCK.summary.csv,2026-08-21T05:34:29.613736+00:00,4485,20,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/OPT_MATRIX_STOCK.xlsx,2026-08-21T05:34:29.612736+00:00,1243662,9916,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/best_combos.json,2026-08-25T18:30:08.858409+00:00,189370,1,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/charts_next_gen_AAPL_LONG/AAPL_LONG_trades.json,2026-08-23T19:27:58.030686+00:00,131572,626,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/charts_next_gen_AAPL_SHORT/AAPL_SHORT_trades.json,2026-08-23T19:28:13.518842+00:00,174544,833,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/charts_next_gen_ABBV_LONG/ABBV_LONG_trades.json,2026-08-23T19:28:23.530942+00:00,117898,562,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/charts_next_gen_ABT_LONG/ABT_LONG_trades.json,2026-08-23T19:28:32.129029+00:00,95391,451,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/charts_next_gen_ABT_SHORT/ABT_SHORT_trades.json,2026-08-23T19:28:42.247130+00:00,133500,637,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/charts_next_gen_ACEUSDT_LONG/ACEUSDT_LONG_trades.json,2026-08-23T19:28:44.868156+00:00,2,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/charts_next_gen_ACN_LONG/ACN_LONG_trades.json,2026-08-23T19:28:54.868256+00:00,112339,533,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/charts_next_gen_ACN_SHORT/ACN_SHORT_trades.json,2026-08-23T19:29:07.548383+00:00,167552,801,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/charts_next_gen_ADBE_SHORT/ADBE_SHORT_trades.json,2026-08-23T19:29:22.707534+00:00,178347,848,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/charts_next_gen_ADP_LONG/ADP_LONG_trades.json,2026-08-23T19:29:30.630612+00:00,89087,423,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/charts_next_gen_ADP_SHORT/ADP_SHORT_trades.json,2026-08-23T19:29:40.973715+00:00,142288,683,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/charts_next_gen_AEM_LONG/AEM_LONG_trades.json,2026-08-23T19:29:53.431838+00:00,154993,743,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/charts_next_gen_AEM_SHORT/AEM_SHORT_trades.json,2026-08-23T19:30:07.911982+00:00,186553,894,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/charts_next_gen_BTCUSDC_LONG/BTCUSDC_LONG_trades.json,2026-08-23T19:27:44.620550+00:00,7338,35,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_AAPL_LONG.jsonl,2026-08-20T21:45:38.363909+00:00,73210,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_AAPL_SHORT.jsonl,2026-08-20T21:45:44.596967+00:00,72644,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ABBV_LONG.jsonl,2026-08-20T21:45:49.874016+00:00,72667,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ABT_LONG.jsonl,2026-08-20T21:45:55.467068+00:00,73050,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ABT_SHORT.jsonl,2026-08-20T21:46:00.918118+00:00,72706,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ACN_LONG.jsonl,2026-08-20T21:46:06.482170+00:00,72644,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ACN_SHORT.jsonl,2026-08-20T21:46:12.040221+00:00,72736,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ADBE_SHORT.jsonl,2026-08-20T21:46:17.807275+00:00,73170,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ADP_LONG.jsonl,2026-08-20T21:46:23.074324+00:00,72630,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ADP_SHORT.jsonl,2026-08-20T21:46:28.307372+00:00,72680,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_AEM_LONG.jsonl,2026-08-20T21:46:33.878424+00:00,72630,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_AEM_SHORT.jsonl,2026-08-20T21:46:39.447475+00:00,72704,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_AGI_LONG.jsonl,2026-08-20T21:46:45.178529+00:00,72660,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_AGI_SHORT.jsonl,2026-08-20T21:46:50.603579+00:00,72676,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ALB_SHORT.jsonl,2026-08-20T21:46:56.175630+00:00,73146,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ALMU_LONG.jsonl,2026-08-20T21:46:59.982666+00:00,72700,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ALMU_SHORT.jsonl,2026-08-20T21:47:03.992703+00:00,73138,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_AMAT_SHORT.jsonl,2026-08-20T21:47:09.541754+00:00,72734,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_AMD_LONG.jsonl,2026-08-20T21:47:15.641810+00:00,72710,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_AMD_SHORT.jsonl,2026-08-20T21:47:21.777867+00:00,72690,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_AMZN_LONG.jsonl,2026-08-20T21:47:28.030925+00:00,73150,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_APA_LONG.jsonl,2026-08-20T21:47:33.495976+00:00,72660,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_APO_SHORT.jsonl,2026-08-20T21:47:38.813025+00:00,72690,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ARM_LONG.jsonl,2026-08-20T21:47:45.107083+00:00,72704,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ARM_SHORT.jsonl,2026-08-20T21:47:51.204139+00:00,72690,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_AR_LONG.jsonl,2026-08-20T21:47:56.622190+00:00,72644,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ASML_LONG.jsonl,2026-08-20T21:48:02.464244+00:00,73194,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ASTS_LONG.jsonl,2026-08-20T21:48:09.024304+00:00,72726,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ASTS_SHORT.jsonl,2026-08-20T21:48:15.774367+00:00,73170,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_AU_LONG.jsonl,2026-08-20T21:48:21.508420+00:00,72584,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_AXTI_LONG.jsonl,2026-08-20T21:48:25.707459+00:00,70267,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_AXTI_SHORT.jsonl,2026-08-20T21:48:30.138500+00:00,72720,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_A_LONG.jsonl,2026-08-20T21:48:34.477540+00:00,72988,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_A_SHORT.jsonl,2026-08-20T21:48:38.624578+00:00,72600,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_BG_LONG.jsonl,2026-08-20T21:48:44.532633+00:00,72570,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_BHP_LONG.jsonl,2026-08-20T21:48:51.007693+00:00,72680,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_BK_LONG.jsonl,2026-08-20T19:57:49.840765+00:00,55870,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_BNO_LONG.jsonl,2026-08-20T21:48:55.560735+00:00,72660,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_BWXT_LONG.jsonl,2026-08-20T21:49:02.526799+00:00,72630,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CAT_LONG.jsonl,2026-08-20T21:49:30.915061+00:00,72720,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CDW_LONG.jsonl,2026-08-20T21:49:34.874098+00:00,72630,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CF_LONG.jsonl,2026-08-20T21:49:40.099146+00:00,72630,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CF_SHORT.jsonl,2026-08-20T21:49:45.327195+00:00,72704,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CIBR_LONG.jsonl,2026-08-20T21:49:49.550234+00:00,72646,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CIEN_SHORT.jsonl,2026-08-20T21:49:53.617271+00:00,73170,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CLF_LONG.jsonl,2026-08-20T21:49:59.298324+00:00,72660,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CLF_SHORT.jsonl,2026-08-20T21:50:06.017386+00:00,72720,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CLX_LONG.jsonl,2026-08-20T21:50:11.032432+00:00,72630,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CMC_LONG.jsonl,2026-08-20T21:50:15.959478+00:00,72630,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CME_LONG.jsonl,2026-08-20T21:50:21.236526+00:00,72658,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_COE_SHORT.jsonl,2026-08-20T21:50:25.462566+00:00,72674,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_COHR_LONG.jsonl,2026-08-20T21:50:29.838606+00:00,72690,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_COPX_LONG.jsonl,2026-08-20T21:50:35.857661+00:00,73140,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_COP_SHORT.jsonl,2026-08-20T21:50:41.385713+00:00,72720,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CRK_LONG.jsonl,2026-08-20T21:50:46.698762+00:00,72630,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CRM_LONG.jsonl,2026-08-20T21:50:52.989820+00:00,72630,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CRM_SHORT.jsonl,2026-08-20T21:50:59.069876+00:00,72734,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CRWD_LONG.jsonl,2026-08-20T21:51:05.646937+00:00,72696,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CTRA_LONG.jsonl,2026-08-20T19:59:41.246794+00:00,55769,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_CVX_LONG.jsonl,2026-08-20T21:51:11.384990+00:00,72660,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_DAR_LONG.jsonl,2026-08-20T21:51:16.408036+00:00,72676,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_DELL_LONG.jsonl,2026-08-20T21:51:20.664075+00:00,72718,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_DELL_SHORT.jsonl,2026-08-20T21:51:24.925115+00:00,72690,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_DE_LONG.jsonl,2026-08-20T21:51:30.089162+00:00,72540,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_DINO_LONG.jsonl,2026-08-20T21:51:35.207210+00:00,72674,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_DIS_SHORT.jsonl,2026-08-20T21:51:40.929262+00:00,72704,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_EOG_LONG.jsonl,2026-08-20T21:51:46.294312+00:00,70252,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_EPD_LONG.jsonl,2026-08-20T21:51:51.570361+00:00,72630,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_EQT_LONG.jsonl,2026-08-20T21:51:56.935410+00:00,72644,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_EQT_SHORT.jsonl,2026-08-20T21:52:02.272460+00:00,72704,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_ETH_SHORT.jsonl,2026-08-20T20:00:42.564362+00:00,55749,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_EXEL_LONG.jsonl,2026-08-20T21:52:06.084495+00:00,73084,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_FANG_LONG.jsonl,2026-08-20T21:52:10.943539+00:00,72660,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_GDX_LONG.jsonl,2026-08-20T21:52:16.876594+00:00,72630,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_GDX_SHORT.jsonl,2026-08-20T21:52:22.785649+00:00,72736,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_GLD_LONG.jsonl,2026-08-20T21:52:28.660703+00:00,73080,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_GLD_SHORT.jsonl,2026-08-20T21:52:34.530757+00:00,72690,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_GME_SHORT.jsonl,2026-08-20T18:56:14.970031+00:00,2453,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_GM_LONG.jsonl,2026-08-20T21:52:40.011808+00:00,72646,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_GOOGL_LONG.jsonl,2026-08-20T21:52:46.947872+00:00,73168,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_GOOGL_SHORT.jsonl,2026-08-20T21:52:53.423931+00:00,72736,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_HAO_LONG.jsonl,2026-08-20T21:52:58.473978+00:00,72660,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_HAO_SHORT.jsonl,2026-08-20T21:53:03.170021+00:00,73110,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_HII_SHORT.jsonl,2026-08-20T21:53:08.658072+00:00,72690,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_HL_LONG.jsonl,2026-08-20T21:53:14.738128+00:00,72620,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_IBIT_LONG.jsonl,2026-08-20T20:01:57.777061+00:00,55953,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_IBIT_SHORT.jsonl,2026-08-20T20:02:04.287122+00:00,55962,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_IBM_LONG.jsonl,2026-08-20T21:53:20.948185+00:00,72660,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_INTC_LONG.jsonl,2026-08-20T21:53:27.566247+00:00,73154,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_LAC_LONG.jsonl,2026-08-20T21:53:34.001306+00:00,72660,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_LAC_SHORT.jsonl,2026-08-20T21:53:40.175363+00:00,73124,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_LDOS_SHORT.jsonl,2026-08-20T21:53:45.334410+00:00,73154,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_LLY_LONG.jsonl,2026-08-20T21:53:51.251465+00:00,72676,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_LLY_SHORT.jsonl,2026-08-20T21:53:56.914517+00:00,72734,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_LNG_LONG.jsonl,2026-08-20T21:54:02.860572+00:00,72660,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_LRCX_LONG.jsonl,2026-08-20T21:54:09.671635+00:00,70303,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_MA_LONG.jsonl,2026-08-20T21:54:15.234686+00:00,72600,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_MOS_SHORT.jsonl,2026-08-20T21:54:21.095740+00:00,72720,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_MPC_LONG.jsonl,2026-08-20T21:54:28.396807+00:00,72672,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_MRVL_LONG.jsonl,2026-08-20T21:54:35.322871+00:00,73144,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_MRVL_SHORT.jsonl,2026-08-20T21:38:33.505953+00:00,70296,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_MSFT_LONG.jsonl,2026-08-20T21:38:39.434009+00:00,70673,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_MSFT_SHORT.jsonl,2026-08-20T21:38:45.527066+00:00,70304,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_MSTR_LONG.jsonl,2026-08-20T20:03:50.051109+00:00,55955,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_MSTR_SHORT.jsonl,2026-08-20T20:03:55.718162+00:00,55969,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_MU_LONG.jsonl,2026-08-20T21:38:52.052127+00:00,70641,0,ok
s1,/home/niels/binance-sandbox/data/reports/gui_lab/forward_fix_MU_SHORT.jsonl,2026-08-20T21:38:58.362186+00:00,70657,0,ok
