host,path,mtime_utc,size_bytes,records,status
mac,/Users/niels/Documents/binance/data/reports/MU_LONG_delta_matrix.csv,2026-08-24T18:05:09.874961+00:00,5705,17,ok
mac,/Users/niels/Documents/binance/data/reports/PARAM_BASELINE_STOCKS.xlsx,2026-08-20T23:11:08+00:00,1670378,8331,ok
mac,/Users/niels/Documents/binance/data/reports/RANKING_20SYM_1MO.xlsx,2026-08-24T23:29:20.842741+00:00,12886,78,ok
mac,/Users/niels/Documents/binance/data/reports/RANKING_20SYM_1MO_ALL_TF_recovered_15sym.xlsx,2026-08-25T13:36:15.313720+00:00,569348,9996,ok
mac,/Users/niels/Documents/binance/data/reports/RANKING_20SYM_1MO_ALL_TF_recovered_summary.xlsx,2026-08-25T13:36:15.324130+00:00,7011,50,ok
mac,/Users/niels/Documents/binance/data/reports/RANKING_20SYM_1MO_DETAILED.xlsx,2026-08-24T21:05:29.103212+00:00,14117,61,ok
mac,/Users/niels/Documents/binance/data/reports/RANKING_DETAILED_DEMO_MOCK.xlsx,2026-08-24T21:05:29.069539+00:00,14117,61,ok
mac,/Users/niels/Documents/binance/data/reports/RECENT_BACKTEST_FILES_5D.csv,2026-08-25T18:32:37.603481+00:00,1230060,7817,ok
mac,/Users/niels/Documents/binance/data/reports/RECENT_BACKTEST_SWITCH_INVENTORY_5D.csv,2026-08-25T18:32:37.579921+00:00,4380713,3842,ok
mac,/Users/niels/Documents/binance/data/reports/S1_30MIN_TRUTH_DIGEST_CURRENT.json,2026-08-21T04:25:15+00:00,1233,1,ok
mac,/Users/niels/Documents/binance/data/reports/TRB_60_RESEARCH_READINESS_CURRENT.json,2026-08-21T04:25:15+00:00,367549,1,ok
mac,/Users/niels/Documents/binance/data/reports/TRB_LIVE_SYMBOL_SIDE_FLOOR.json,2026-08-25T18:34:19.929517+00:00,385,1,ok
mac,/Users/niels/Documents/binance/data/reports/capital_report.json,2026-08-25T18:16:31.571594+00:00,1118,1,ok
mac,/Users/niels/Documents/binance/data/reports/delta_matrix.xlsx,2026-08-24T18:43:57.501990+00:00,112203,1309,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/1000FLOKIUSDT_LONG.json,2026-08-20T23:18:23.596797+00:00,234,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/1000LUNCUSDT_LONG.json,2026-08-20T23:18:23.402424+00:00,235,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/1000LUNCUSDT_SHORT.json,2026-08-20T23:18:23.626899+00:00,244,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/1000PEPEUSDC_LONG.json,2026-08-20T23:18:23.583245+00:00,235,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/1000PEPEUSDC_SHORT.json,2026-08-20T23:18:23.745331+00:00,244,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/1INCHUSDT_SHORT.json,2026-08-20T23:18:23.242086+00:00,205,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/1INCH_LONG.json,2026-08-20T23:18:23.743044+00:00,228,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/AAVEUSDC_SHORT.json,2026-08-20T23:18:23.664285+00:00,236,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ABBV_SHORT.json,2026-08-20T23:18:23.631488+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ADM_LONG.json,2026-08-20T23:18:10.629714+00:00,225,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/AGLDUSDT_LONG.json,2026-08-20T23:18:23.453189+00:00,232,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ALGOUSDT_LONG.json,2026-08-20T23:18:23.680651+00:00,232,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/AMZN_LONG.json,2026-08-20T23:18:10.618936+00:00,226,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/AMZN_SHORT.json,2026-08-20T23:18:23.584206+00:00,228,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/AM_SHORT.json,2026-08-20T23:18:23.588542+00:00,225,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ANKRUSDT_SHORT.json,2026-08-20T23:18:10.648396+00:00,205,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/APA_SHORT.json,2026-08-20T23:18:23.242812+00:00,199,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/APEUSDT_LONG.json,2026-08-20T23:18:23.678605+00:00,235,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/API3USDT_SHORT.json,2026-08-20T23:18:23.677428+00:00,240,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/APO_LONG.json,2026-08-20T23:18:23.499778+00:00,225,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ARKMUSDT_SHORT.json,2026-08-20T23:18:23.732233+00:00,239,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ARM_LONG.json,2026-08-20T23:18:10.345452+00:00,229,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ARPAUSDT_LONG.json,2026-08-20T23:18:23.702086+00:00,236,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ARPAUSDT_SHORT.json,2026-08-20T23:18:23.595666+00:00,239,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ARUSDT_SHORT.json,2026-08-20T23:18:23.640578+00:00,235,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ASC_SHORT.json,2026-08-20T23:18:23.402662+00:00,226,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ASTERUSDT_LONG.json,2026-08-20T23:18:23.593075+00:00,236,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ATI_SHORT.json,2026-08-20T23:18:23.323302+00:00,199,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ATOMUSDT_LONG.json,2026-08-20T23:18:23.595228+00:00,232,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/AVAX_SHORT.json,2026-08-20T23:18:23.351190+00:00,230,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/AVGO_LONG.json,2026-08-20T23:18:10.640193+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/AXON_LONG.json,2026-08-20T23:18:23.403201+00:00,226,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/AXTI_SHORT.json,2026-08-20T23:18:23.659688+00:00,230,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/A_SHORT.json,2026-08-20T23:18:23.741318+00:00,224,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/BABA_SHORT.json,2026-08-20T23:18:23.582451+00:00,228,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/BANDUSDT_SHORT.json,2026-08-20T23:18:23.298756+00:00,206,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/BATUSDT_SHORT.json,2026-08-20T23:18:10.672074+00:00,204,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/BBUSDT_LONG.json,2026-08-20T23:18:23.517908+00:00,200,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/BCHUSDC_SHORT.json,2026-08-20T23:18:23.594046+00:00,237,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/BEATUSDT_LONG.json,2026-08-20T23:18:23.681981+00:00,237,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/BNB_LONG.json,2026-08-20T23:18:23.582161+00:00,225,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/BOIL_LONG.json,2026-08-20T23:18:23.235150+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/BTC_LONG.json,2026-08-20T23:18:23.397830+00:00,226,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/C98USDT_SHORT.json,2026-08-20T23:18:23.350634+00:00,205,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/CALM_LONG.json,2026-08-20T23:18:23.403991+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/CAT_SHORT.json,2026-08-20T23:18:23.593586+00:00,228,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/CDE_LONG.json,2026-08-20T23:18:23.301869+00:00,225,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/CENX_LONG.json,2026-08-20T23:18:23.389050+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/CHRD_LONG.json,2026-08-20T23:18:23.403081+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/CMC_LONG.json,2026-08-20T23:18:10.493159+00:00,234,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/COIN_SHORT.json,2026-08-20T23:18:10.645252+00:00,226,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/COMPUSDT_SHORT.json,2026-08-20T23:18:23.398503+00:00,206,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/CORN_SHORT.json,2026-08-20T23:18:23.284297+00:00,200,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/CRM_LONG.json,2026-08-20T23:18:23.512392+00:00,226,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/CRM_SHORT.json,2026-08-20T23:18:23.420646+00:00,228,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/CRVUSDC_LONG.json,2026-08-20T23:18:23.403651+00:00,229,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/CVX_LONG.json,2026-08-20T23:18:10.619045+00:00,224,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/DAL_SHORT.json,2026-08-20T23:18:10.649889+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/DBA_LONG.json,2026-08-20T23:18:23.439240+00:00,225,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/DE_.json,2026-08-20T23:18:23.703207+00:00,114,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/DE_SHORT.json,2026-08-20T23:18:10.632877+00:00,197,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/DHR_LONG.json,2026-08-20T23:18:23.497785+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/DHR_SHORT.json,2026-08-20T23:18:23.402766+00:00,226,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/DHT_SHORT.json,2026-08-20T23:18:23.241131+00:00,199,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/DNN_SHORT.json,2026-08-20T23:18:23.402869+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/DVN_.json,2026-08-20T23:18:23.679931+00:00,115,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/EGLDUSDT_SHORT.json,2026-08-20T23:18:10.692859+00:00,205,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ENJUSDT_SHORT.json,2026-08-20T23:18:10.683498+00:00,203,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ENSUSDT_LONG.json,2026-08-20T23:18:23.581711+00:00,201,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ETCUSDT_SHORT.json,2026-08-20T23:18:23.403748+00:00,204,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ETHD_LONG.json,2026-08-20T23:18:23.403542+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/FANG_.json,2026-08-20T23:18:23.640943+00:00,116,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/FANG_SHORT.json,2026-08-20T23:18:23.234471+00:00,201,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/FCX_.json,2026-08-20T23:18:23.689538+00:00,115,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/FCX_SHORT.json,2026-08-20T23:18:10.671531+00:00,200,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/FILUSDC_LONG.json,2026-08-20T23:18:23.674999+00:00,201,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/FLR_SHORT.json,2026-08-20T23:18:23.388626+00:00,225,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/GILD_SHORT.json,2026-08-20T23:18:23.690545+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/GLD_SHORT.json,2026-08-20T23:18:23.311771+00:00,226,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/GM_SHORT.json,2026-08-20T23:18:23.306062+00:00,199,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/HAL_LONG.json,2026-08-20T23:18:23.497556+00:00,227,1,ok
