field,classification,connected_crypto,connected_tradier,source_venue_applicability,family,lifecycle_consumers,exact_native_tf_crypto,exact_native_tf_tradier,required_npz_arrays,timeframe_applicability,v12_causal_read_sites,integrated_contract_sites,classification_reason,current_quickconfig_presence_not_used_as_credit,prior_vector_census_not_used_as_credit,prior_live_census_not_used_as_credit,engine_sha256
ASYMMETRIC_STOPS_ENABLED,UNCONNECTED,False,False,BOTH,ASYMMETRIC_STOPS_ENABLED,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,True,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ASYMMETRIC_WINNER_GAIN_PCT,UNCONNECTED,False,False,BOTH,ASYMMETRIC_WINNER_GAIN,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ATR_PARITY_TARGET_RISK_PCT,UNCONNECTED,False,False,BOTH,ATR_PARITY_TARGET,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""atr_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ATR_TRAIL_FILTER_TF,UNCONNECTED,False,False,BOTH,VEC_ATR_TRAIL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""atr_15m"",""atr_1h"",""atr_1m"",""atr_3m"",""atr_4h"",""atr_D"",""close_15m"",""close_1h"",""close_1m"",""close_3m"",""close_4h"",""close_D"",""high_15m"",""high_1h"",""high_1m"",""high_3m"",""high_4h"",""high_D"",""low_15m"",""low_1h"",""low_1m"",""low_3m"",""low_4h"",""low_D""]","[""1m"",""3m"",""15m"",""1h"",""4h"",""D""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ATR_TRAIL_MIN_TFS,UNCONNECTED,False,False,BOTH,VEC_ATR_TRAIL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""atr_{tf}"",""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ATR_TRAIL_SWEEP_ENABLED,REJECTED_INERT,False,False,BOTH,EXIT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""atr_{tf}"",""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],v12_exit_reduce_gap_batch4=REJECTED_CENSUS_ONLY,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENTATION_COOLDOWN_MINUTES,UNCONNECTED,False,False,BOTH,AUGMENTATION_COOLDOWN_MINUTES,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENTED_POSITIONS_GUARD_FLOOR_MULT,CONNECTED_BOTH,True,True,BOTH,AUGMENT,AUGMENT|ENTRY|REENTRY,native=3m,native=5m,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],"[""v12_reentry_augment_gap_batch3:data/reports/V12_REENTRY_AUGMENT_GAP_BATCH3_CONTRACT.csv""]",trusted direct lifecycle read and/or imported+consumed SOURCE_EXACT contract applies to both venues,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENT_AT_LOSS_ENABLED,REJECTED_INERT,False,False,BOTH,AUGMENT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],v12_exit_reduce_gap_batch4=REJECTED_CENSUS_ONLY,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENT_ENABLED,UNCONNECTED,False,False,BOTH,AUGMENT_ENABLED,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENT_LEVELS_PCT,UNCONNECTED,False,False,BOTH,AUGMENT_LEVELS_PCT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENT_ONLY_WHEN_PROFITABLE,CONNECTED_BOTH,True,True,BOTH,AUGMENT,AUGMENT,native=3m,native=5m,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],"[""v12_reentry_augment_gap_batch:data/reports/V12_REENTRY_AUGMENT_GAP_BATCH_CONTRACT.csv""]",trusted direct lifecycle read and/or imported+consumed SOURCE_EXACT contract applies to both venues,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENT_PYRAMID_TRADIER,VENUE_SPECIFIC_BY_SOURCE,False,False,TRADIER,AUGMENT_PYRAMID_TRADIER,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],source scope is TRADIER; no trusted frozen-engine causal integration,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENT_WT_4H_BOUNCE_ENABLED,UNCONNECTED,False,False,BOTH,S2_BTC_BEST_EXTRA,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_4h"",""high_4h"",""low_4h"",""wt1_4h"",""wt2_4h""]","[""4h""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
