field,classification,connected_crypto,connected_tradier,source_venue_applicability,family,lifecycle_consumers,exact_native_tf_crypto,exact_native_tf_tradier,required_npz_arrays,timeframe_applicability,v12_causal_read_sites,integrated_contract_sites,classification_reason,current_quickconfig_presence_not_used_as_credit,prior_vector_census_not_used_as_credit,prior_live_census_not_used_as_credit,engine_sha256
BTC_TECH_EXIT_DC_BREACH_TF,VENUE_SPECIFIC_BY_SOURCE,False,False,BOTH,BTC_TECH_EXIT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_15m"",""dc_basis_15m"",""dc_high_15m"",""dc_low_15m"",""high_15m"",""low_15m""]","[""15m""]",[],[],source scope is BOTH; no trusted frozen-engine causal integration,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BTC_TOTAL_NOTIONAL_USD_MAX,VENUE_SPECIFIC_BY_SOURCE,False,False,BOTH,BTC_TOTAL_NOTIONAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],source scope is BOTH; no trusted frozen-engine causal integration,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BTC_TREND_MODE_ENABLED,VENUE_SPECIFIC_BY_SOURCE,False,False,BOTH,S2_BTC_BEST_CORE,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],source scope is BOTH; no trusted frozen-engine causal integration,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BTC_WEEKLY_LOSS_PCT_FLOOR,VENUE_SPECIFIC_BY_SOURCE,False,False,BOTH,BTC_WEEKLY_LOSS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],source scope is BOTH; no trusted frozen-engine causal integration,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BT_ALL_TF_AGAINST_CLOSE_ENABLED,UNCONNECTED,False,False,BOTH,BT_ALL_TF,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BT_DC_BB_D_BREAK_REVERSE_ENABLED,UNCONNECTED,False,False,BOTH,BT_DC_BB,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""bb_lower_D"",""bb_pct_b_D"",""bb_upper_D"",""dc_basis_D"",""dc_high_D"",""dc_low_D""]","[""D""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BT_RIDICULOUS_HOLD_GUARD_ENABLED,UNCONNECTED,False,False,BOTH,BT_RIDICULOUS_HOLD,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BT_RIDICULOUS_HOLD_HOURS,UNCONNECTED,False,False,BOTH,BT_RIDICULOUS_HOLD,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BT_RIDICULOUS_LOSS_PCT,UNCONNECTED,False,False,BOTH,BT_RIDICULOUS_LOSS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BT_UNDERWATER_HEDGE_OR_CLOSE_ENABLED,UNCONNECTED,False,False,BOTH,BT_UNDERWATER_HEDGE,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BT_WT15M_AGAINST_FORCE_HEDGE_ENABLED,UNCONNECTED,False,False,BOTH,BT_WT15M_AGAINST,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""wt1_{tf}"",""wt2_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BT_WT_CROSS_LADDER_ENABLED,UNCONNECTED,False,False,BOTH,VEC_BT_WT_CROSS_LADDER,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""wt1_{tf}"",""wt2_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BT_WT_CROSS_LADDER_FILTER_TF,UNCONNECTED,False,False,BOTH,VEC_BT_WT_CROSS_LADDER,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""wt1_15m"",""wt1_1h"",""wt1_1m"",""wt1_3m"",""wt1_4h"",""wt1_D"",""wt2_15m"",""wt2_1h"",""wt2_1m"",""wt2_3m"",""wt2_4h"",""wt2_D""]","[""1m"",""3m"",""15m"",""1h"",""4h"",""D""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BT_WT_CROSS_LADDER_MIN_TFS,UNCONNECTED,False,False,BOTH,VEC_BT_WT_CROSS_LADDER,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""wt1_{tf}"",""wt2_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
B_MAIN_ENTRY_GATE_ENABLED,DEFERRED,False,False,BOTH,ENTRY,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],blocked=PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN;next_100_contract=NOT_INTEGRATED,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CANDLE_PATTERN_STOPS_ENABLED,UNCONNECTED,False,False,BOTH,VEC_CANDLE_PATTERN_STOPS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CANDLE_PATTERN_STOPS_FILTER_TF,UNCONNECTED,False,False,BOTH,VEC_CANDLE_PATTERN_STOPS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_15m"",""close_1h"",""close_1m"",""close_3m"",""close_4h"",""close_D"",""high_15m"",""high_1h"",""high_1m"",""high_3m"",""high_4h"",""high_D"",""low_15m"",""low_1h"",""low_1m"",""low_3m"",""low_4h"",""low_D""]","[""1m"",""3m"",""15m"",""1h"",""4h"",""D""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CANDLE_PATTERN_STOPS_MIN_TFS,UNCONNECTED,False,False,BOTH,VEC_CANDLE_PATTERN_STOPS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CHANNEL_REENTRY_STOP_ENABLED,CONNECTED_BOTH,True,True,BOTH,REENTRY,EXIT,native=3m,native=5m,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],"[""v12_reentry_augment_filter_gap_batch4:data/reports/V12_REENTRY_AUGMENT_FILTER_GAP_BATCH4_CONTRACT.csv""]",trusted direct lifecycle read and/or imported+consumed SOURCE_EXACT contract applies to both venues,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CIRCUIT_BREAKER_ACCOUNT_HALT_MIN,UNCONNECTED,False,False,BOTH,CIRCUIT_BREAKER_ACCOUNT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CIRCUIT_BREAKER_ACCOUNT_LOSSES,UNCONNECTED,False,False,BOTH,CIRCUIT_BREAKER_ACCOUNT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CIRCUIT_BREAKER_COOLDOWN,UNCONNECTED,False,False,BOTH,GLOBAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CIRCUIT_BREAKER_SYMBOL_HALT_MIN,UNCONNECTED,False,False,BOTH,CIRCUIT_BREAKER_SYMBOL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CIRCUIT_BREAKER_SYMBOL_LOSSES,UNCONNECTED,False,False,BOTH,CIRCUIT_BREAKER_SYMBOL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CIRCUIT_SHARPE_GATES_ENABLED,UNCONNECTED,False,False,BOTH,VEC_CIRCUIT_SHARPE_GATES,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CIRCUIT_SHARPE_GATES_FILTER_TF,UNCONNECTED,False,False,BOTH,VEC_CIRCUIT_SHARPE_GATES,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""1m"",""3m"",""15m"",""1h"",""4h"",""D""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CIRCUIT_SHARPE_GATES_MIN_TFS,UNCONNECTED,False,False,BOTH,VEC_CIRCUIT_SHARPE_GATES,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
COMMISSION_BUFFER_PCT,UNCONNECTED,False,False,BOTH,GLOBAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
COMPLETED_CANDLE_SNAPSHOT_DIRECT_ENABLED,UNCONNECTED,False,False,BOTH,COMPLETED_CANDLE_SNAPSHOT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CONNORS_RSI2_EXIT_SMA_BARS_DAILY,UNCONNECTED,False,False,BOTH,CONNORS_RSI2_EXIT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}"",""rsi_{tf}"",""sma_{period}_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CONNORS_RSI2_PRIORITY_OVERRIDE_ENABLED,UNCONNECTED,False,False,BOTH,CONNORS_RSI2_PRIORITY,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""rsi_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,True,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CONNORS_RSI2_TIME_STOP_BARS_DAILY,UNCONNECTED,False,False,BOTH,CONNORS_RSI2_TIME,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}"",""rsi_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CONSOLIDATED_KLINES_CACHE,UNCONNECTED,False,False,BOTH,CONSOLIDATED_KLINES_CACHE,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
COOLDOWN_LOCKS_ENABLED,UNCONNECTED,False,False,BOTH,VEC_COOLDOWN_LOCKS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
COOLDOWN_LOCKS_FILTER_TF,UNCONNECTED,False,False,BOTH,VEC_COOLDOWN_LOCKS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""1m"",""3m"",""15m"",""1h"",""4h"",""D""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
COOLDOWN_LOCKS_MIN_TFS,UNCONNECTED,False,False,BOTH,VEC_COOLDOWN_LOCKS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
COUNTER_TREND_CRYPTO,VENUE_SPECIFIC_BY_SOURCE,False,False,CRYPTO,GLOBAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],source scope is CRYPTO; no trusted frozen-engine causal integration,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CRASH_MULT_GRADIENT_ENABLED,UNCONNECTED,False,False,BOTH,GLOBAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CRASH_MULT_GRADIENT_MAX,UNCONNECTED,False,False,BOTH,GLOBAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CROSSES_FILE,UNCONNECTED,False,False,BOTH,CROSSES_FILE,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CRYPTO_FH_MOMENTUM_DC_MAX_LONG,VENUE_SPECIFIC_BY_SOURCE,False,False,CRYPTO,CRYPTO_FH_MOMENTUM,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""dc_basis_{tf}"",""dc_high_{tf}"",""dc_low_{tf}""]","[""ANY_AVAILABLE""]",[],[],source scope is CRYPTO; no trusted frozen-engine causal integration,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CRYPTO_FH_MOMENTUM_MAX_POSITIONS,VENUE_SPECIFIC_BY_SOURCE,False,False,CRYPTO,GLOBAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],source scope is CRYPTO; no trusted frozen-engine causal integration,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CRYPTO_FH_MOMENTUM_MIN_MOVE_PCT,VENUE_SPECIFIC_BY_SOURCE,False,False,CRYPTO,CRYPTO_FH_MOMENTUM,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],source scope is CRYPTO; no trusted frozen-engine causal integration,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CRYPTO_FH_MOMENTUM_POSITION_SIZE_MULT,VENUE_SPECIFIC_BY_SOURCE,False,False,CRYPTO,SIZING,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],source scope is CRYPTO; no trusted frozen-engine causal integration,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CRYPTO_SPIKE_FADE_COOLDOWN_SEC,VENUE_SPECIFIC_BY_SOURCE,False,False,CRYPTO,GLOBAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],source scope is CRYPTO; no trusted frozen-engine causal integration,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CRYPTO_SPIKE_FADE_K_EXHAUSTION,VENUE_SPECIFIC_BY_SOURCE,False,False,CRYPTO,GLOBAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],source scope is CRYPTO; no trusted frozen-engine causal integration,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CRYPTO_SPIKE_FADE_LOOKBACK_BARS,VENUE_SPECIFIC_BY_SOURCE,False,False,CRYPTO,CRYPTO_SPIKE_FADE,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],source scope is CRYPTO; no trusted frozen-engine causal integration,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CRYPTO_SPIKE_FADE_MAX_POSITIONS,VENUE_SPECIFIC_BY_SOURCE,False,False,CRYPTO,GLOBAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],source scope is CRYPTO; no trusted frozen-engine causal integration,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CRYPTO_SPIKE_FADE_THRESHOLD_PCT,VENUE_SPECIFIC_BY_SOURCE,False,False,CRYPTO,FILTER,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],source scope is CRYPTO; no trusted frozen-engine causal integration,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
CYCLE_TP_TIERED_LEVELS,UNCONNECTED,False,False,BOTH,CYCLE_TP_TIERED,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
DAEMON_PRICE_CROSS_PCT,UNCONNECTED,False,False,BOTH,DAEMON_PRICE_CROSS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
DAEMON_PRICE_CROSS_REENTRY_MAX_AGE_HOURS,UNCONNECTED,False,False,BOTH,DAEMON_PRICE_CROSS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,True,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
DAEMON_PRICE_CROSS_REENTRY_VEC_ENABLED,UNCONNECTED,False,False,BOTH,DAEMON_PRICE_CROSS,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,True,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
DAEMON_REENTRY_SHORT_WT_XUNDER_GATE_ENABLED,CONNECTED_CRYPTO,True,False,BOTH,REENTRY,REENTRY,native=3m;required=3m,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}"",""wt1_{tf}"",""wt2_{tf}""]","[""ANY_AVAILABLE""]",[],"[""v12_reentry_augment_gap_batch3:data/reports/V12_REENTRY_AUGMENT_GAP_BATCH3_CONTRACT.csv""]",trusted causal route is crypto-native/source-scoped; no Tradier connection credit,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
DAEMON_REENTRY_STALE_EXIT_ENABLED,CONNECTED_BOTH,True,True,BOTH,REENTRY,EXIT,native=3m,native=5m,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],"[""v12_reentry_augment_gap_batch3:data/reports/V12_REENTRY_AUGMENT_GAP_BATCH3_CONTRACT.csv""]",trusted direct lifecycle read and/or imported+consumed SOURCE_EXACT contract applies to both venues,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
DATA_DIR,UNCONNECTED,False,False,BOTH,GLOBAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
DATA_READY_FLAG_FILE,UNCONNECTED,False,False,BOTH,DATA_READY_FLAG,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
DATA_READY_TIMEOUT_SECONDS,UNCONNECTED,False,False,BOTH,DATA_READY_TIMEOUT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
DAYS_PLOT,UNCONNECTED,False,False,BOTH,DAYS_PLOT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
DC4_STOP_GR_SCORE_MIN_IND,UNCONNECTED,False,False,BOTH,DC4_STOP_GR,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
DC4_STOP_GR_SCORE_MIN_TFS,UNCONNECTED,False,False,BOTH,DC4_STOP_GR,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
DC_BB_CROSSBACK_HYSTERESIS_PCT,DEFERRED,False,False,BOTH,ENTRY,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""bb_lower_{tf}"",""bb_pct_b_{tf}"",""bb_upper_{tf}"",""close_{tf}"",""dc_basis_{tf}"",""dc_high_{tf}"",""dc_low_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],blocked=PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN;next_100_contract=NOT_INTEGRATED,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
DC_BB_D_BREAK_REVERSE_ENABLED,UNCONNECTED,False,False,BOTH,DC_BB_D,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""bb_lower_D"",""bb_pct_b_D"",""bb_upper_D"",""dc_basis_D"",""dc_high_D"",""dc_low_D""]","[""D""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,True,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
