switch,candidate,filter,opt,baseline,gain,delta,trades,valid,F_filling,recipe
ATR_LONG_WINDOW,125,,,-2.0853,-2.0853,0,0,False,False,
ATR_LONG_WINDOW,150,,,-2.0853,-2.0853,0,0,False,False,
BTC_RZ_WT_DC_MULTIFACTOR,0,,,-2.0853,-2.0853,0,0,False,False,
BTC_RZ_WT_DC_MULTIFACTOR,0.5,,,-2.0853,-2.0853,0,0,False,False,
BTC_RZ_WT_DC_MULTIFACTOR,1.0,,,-2.0853,-2.0853,0,0,False,False,
BTC_RZ_WT_DC_MULTIFACTOR,2.0,,,-2.0853,-2.0853,0,0,False,False,
BTC_TECH_EXIT_WT_MIN_TFS,0,,,-2.0853,-2.0853,0,0,False,False,
BTC_TECH_EXIT_WT_MIN_TFS,0.5,,,-2.0853,-2.0853,0,0,False,False,
BTC_TECH_EXIT_WT_MIN_TFS,1.0,,,-2.0853,-2.0853,0,0,False,False,
BTC_TECH_EXIT_WT_MIN_TFS,2.0,,,-2.0853,-2.0853,0,0,False,False,
ENTRY_PRIMARY_TF,OFF,,,-2.0853,-2.0853,0,0,False,False,
ENTRY_PRIMARY_TF,D,,,-2.0853,-2.0853,0,0,False,False,
ENTRY_PRIMARY_TF,4h,,,-2.0853,-2.0853,0,0,False,False,
ENTRY_PRIMARY_TF,1h,,,-2.0853,-2.0853,0,0,False,False,
ENTRY_PRIMARY_TF,15m,,,-2.0853,-2.0853,0,0,False,False,
ENTRY_SCORE_THRESHOLD,9.0,,,-2.0853,-2.0853,0,0,False,False,
ENTRY_SCORE_THRESHOLD,13.5,,,-2.0853,-2.0853,0,0,False,False,
ENTRY_SCORE_THRESHOLD,18.0,,,-2.0853,-2.0853,0,0,False,False,
ENTRY_SCORE_THRESHOLD,22.5,,,-2.0853,-2.0853,0,0,False,False,
ENTRY_SCORE_THRESHOLD,27.0,,,-2.0853,-2.0853,0,0,False,False,
EXIT_SCORER_DC_EXTREME,0.2,,,-2.0853,-2.0853,0,0,False,False,
EXIT_SCORER_DC_EXTREME,0.3,,,-2.0853,-2.0853,0,0,False,False,
EXIT_SCORER_DC_EXTREME,0.4,,,-2.0853,-2.0853,0,0,False,False,
EXIT_SCORER_DC_EXTREME,0.5,,,-2.0853,-2.0853,0,0,False,False,
EXIT_SCORER_DC_EXTREME,0.6,,,-2.0853,-2.0853,0,0,False,False,
E_1_EXIT_DELTA_THR,0,,,-2.0853,-2.0853,0,0,False,False,
E_1_EXIT_DELTA_THR,0.5,,,-2.0853,-2.0853,0,0,False,False,
E_1_EXIT_DELTA_THR,1.0,,,-2.0853,-2.0853,0,0,False,False,
E_1_EXIT_DELTA_THR,2.0,,,-2.0853,-2.0853,0,0,False,False,
HAIKU_ENTRY_GATE_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
