field,operational_field,approved_debug_artifact_excluded,historical_missing_from_baseline_quickconfig,present_in_current_quickconfig,current_growth_since_baseline,authoritative_type,authoritative_default,authoritative_grid,authoritative_grid_source,authoritative_definition_selected,authoritative_definition_sites,inventory_sources,inventory_groups,catalog_present,family,required_npz_arrays,required_npz_arrays_basis,side_applicability,venue_applicability,timeframe_applicability,existing_vector_read,existing_vector_read_sites,rejected_vector_census_sites,existing_live_read,existing_live_read_sites,rejected_live_census_sites,recommended_disjoint_vector_tranche
BTC_DIVERGENCE_LOOKBACK_BARS,True,False,True,False,False,int,5,[5],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""int"",""default"":5,""line"":3910,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}","[{""annotation"":""int"",""default"":5,""line"":3910,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,BTC_DIVERGENCE_LOOKBACK,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",True,"[""vec_paths/btc_dedicated.py:169:_compute_divergence_counts:getattr""]",[],False,[],[],11_CROSS_CUTTING_OTHER
BTC_DIVERGENCE_MIN_TF,True,False,True,False,False,str,4h,"[""1h"",""4h"",""D""]",CURATED_OPTIMIZATION_WORKBOOK,"{""annotation"":""str"",""default"":""4h"",""line"":4013,""literal_default_available"":true,""source"":""config.py"",""type"":""str""}","[{""annotation"":""str"",""default"":""4h"",""line"":4013,""literal_default_available"":true,""source"":""config.py"",""type"":""str""}]","[""ENGINE_AUTO_WIRED"",""ENTRY_SWITCHES_ALL"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D"",""S2_BTC_BEST_CORE""]",False,S2_BTC_BEST_CORE,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""1h"",""4h"",""D""]",True,"[""vec_paths/btc_dedicated.py:170:_compute_divergence_counts:getattr""]",[],False,[],[],11_CROSS_CUTTING_OTHER
BTC_DIVERGENCE_REQUIRE_D_CONFIRM_BARS,True,False,True,False,False,int,2,[2],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""int"",""default"":2,""line"":4019,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}","[{""annotation"":""int"",""default"":2,""line"":4019,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,BTC_DIVERGENCE_REQUIRE,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""D""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
BTC_ENTRY_DIV_ONLY_ENABLED,True,False,True,False,False,bool,False,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":false,""line"":3918,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":3918,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":3220,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_ENTRY_DIV,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",True,"[""v12_wide_engine.py:2693:simulate_one_symbol:getattr""]",[],False,[],[],01_ENTRY_SIGNALS
BTC_ENTRY_DIV_ONLY_MIN_INDS,True,False,True,False,False,int,3,[3],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""int"",""default"":3,""line"":3919,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}","[{""annotation"":""int"",""default"":3,""line"":3919,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_ENTRY_DIV,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],01_ENTRY_SIGNALS
BTC_ENTRY_PRIMARY_BLOCK_OPPOSING_DIV,True,False,True,False,False,bool,True,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":true,""line"":3917,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":true,""line"":3917,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_ENTRY_PRIMARY,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],01_ENTRY_SIGNALS
BTC_ENTRY_PRIMARY_REQUIRE_ACCEL_RAMP,True,False,True,False,False,bool,True,"[true,false]",CURATED_OPTIMIZATION_WORKBOOK,"{""annotation"":""bool"",""default"":true,""line"":3916,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":true,""line"":3916,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED"",""ENTRY_SWITCHES_ALL"",""RECENT_RESULTS_5D"",""REENTRIES_ALL""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D"",""S2_BTC_BEST_REENTRY""]",False,S2_BTC_BEST_REENTRY,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",True,"[""vec_paths/btc_dedicated.py:306:build_btc_long_entry_mask:getattr"",""vec_paths/btc_dedicated.py:340:build_btc_short_entry_mask:getattr""]",[],False,[],[],03_REENTRY_CAUSAL_STATE
BTC_ENTRY_PRIMARY_REQUIRE_RZ,True,False,True,False,False,bool,True,"[true,false]",CURATED_OPTIMIZATION_WORKBOOK,"{""annotation"":""bool"",""default"":true,""line"":3915,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":true,""line"":3915,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED"",""ENTRY_SWITCHES_ALL"",""RECENT_RESULTS_5D"",""REENTRIES_ALL""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D"",""S2_BTC_BEST_REENTRY""]",False,S2_BTC_BEST_REENTRY,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",True,"[""vec_paths/btc_dedicated.py:297:build_btc_long_entry_mask:getattr"",""vec_paths/btc_dedicated.py:332:build_btc_short_entry_mask:getattr""]",[],False,[],[],03_REENTRY_CAUSAL_STATE
BTC_FIB_LOOKBACK_4H,True,False,True,False,False,int,200,[200],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""int"",""default"":200,""line"":3887,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}","[{""annotation"":""int"",""default"":200,""line"":3887,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,BTC_FIB_LOOKBACK,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""4h""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
BTC_FIB_LOOKBACK_D,True,False,True,False,False,int,180,[180],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""int"",""default"":180,""line"":3888,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}","[{""annotation"":""int"",""default"":180,""line"":3888,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,BTC_FIB_LOOKBACK,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""D""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
BTC_FIB_LOOKBACK_M,True,False,True,False,False,int,24,[24],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""int"",""default"":24,""line"":3890,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}","[{""annotation"":""int"",""default"":24,""line"":3890,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,BTC_FIB_LOOKBACK,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
BTC_FIB_LOOKBACK_W,True,False,True,False,False,int,104,[104],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""int"",""default"":104,""line"":3889,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}","[{""annotation"":""int"",""default"":104,""line"":3889,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,BTC_FIB_LOOKBACK,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""W""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
BTC_FIB_LOOKBACK_Y,True,False,True,False,False,int,5,[5],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""int"",""default"":5,""line"":3891,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}","[{""annotation"":""int"",""default"":5,""line"":3891,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,BTC_FIB_LOOKBACK,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
BTC_FIB_RECOMPUTE_ON_NEW_HL,True,False,True,False,False,bool,True,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":true,""line"":3892,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":true,""line"":3892,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,BTC_FIB_RECOMPUTE,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
BTC_FOLLOW_THROUGH_MIN_MOVE_PCT,True,False,True,False,False,float,0.3,"[0.05,0.5,1.0]",CURATED_OPTIMIZATION_WORKBOOK,"{""annotation"":""float"",""default"":0.3,""line"":3974,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}","[{""annotation"":""float"",""default"":0.3,""line"":3974,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}]","[""ENGINE_AUTO_WIRED"",""ENTRY_SWITCHES_ALL"",""RECENT_RESULTS_5D"",""REENTRIES_ALL""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D"",""S2_BTC_BEST_REENTRY""]",False,S2_BTC_BEST_REENTRY,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],03_REENTRY_CAUSAL_STATE
BTC_FOLLOW_THROUGH_REENTRY_ENABLED,True,False,True,False,False,bool,True,"[true,false]",CURATED_OPTIMIZATION_WORKBOOK,"{""annotation"":""bool"",""default"":true,""line"":3973,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":true,""line"":3973,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":3221,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED"",""ENTRY_SWITCHES_ALL"",""RECENT_RESULTS_5D"",""REENTRIES_ALL""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D"",""S2_BTC_BEST_REENTRY""]",False,S2_BTC_BEST_REENTRY,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",True,"[""v12_wide_engine.py:2700:simulate_one_symbol:getattr""]",[],False,[],[],03_REENTRY_CAUSAL_STATE
BTC_GUARANTEED_REENTRY_ENABLED,True,False,True,False,False,bool,True,"[true,false]",CURATED_OPTIMIZATION_WORKBOOK,"{""annotation"":""bool"",""default"":true,""line"":3938,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":true,""line"":3938,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":3222,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED"",""ENTRY_SWITCHES_ALL"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D"",""S2_BTC_BEST_RISK""]",False,S2_BTC_BEST_RISK,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",True,"[""v12_wide_engine.py:2707:simulate_one_symbol:getattr""]",[],False,[],[],03_REENTRY_CAUSAL_STATE
BTC_GUARANTEED_REENTRY_MAX_AGE_BARS,True,False,True,False,False,int,480,[480],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""int"",""default"":480,""line"":3939,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}","[{""annotation"":""int"",""default"":480,""line"":3939,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_GUARANTEED_REENTRY,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],03_REENTRY_CAUSAL_STATE
BTC_GUARANTEED_REENTRY_MIN_GAP_BARS,True,False,True,False,False,int,5,"[1,10,20]",CURATED_OPTIMIZATION_WORKBOOK,"{""annotation"":""int"",""default"":5,""line"":3940,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}","[{""annotation"":""int"",""default"":5,""line"":3940,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}]","[""ENGINE_AUTO_WIRED"",""ENTRY_SWITCHES_ALL"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D"",""S2_BTC_BEST_RISK""]",False,S2_BTC_BEST_RISK,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],03_REENTRY_CAUSAL_STATE
BTC_GUARANTEED_REENTRY_REQUIRE_RZ_BOUNCE,True,False,True,False,False,bool,True,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":true,""line"":3941,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":true,""line"":3941,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_GUARANTEED_REENTRY,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],03_REENTRY_CAUSAL_STATE
BTC_GUARANTEED_REENTRY_SIZE_MULT,True,False,True,False,False,float,1.0,[1.0],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""float"",""default"":1.0,""line"":3942,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}","[{""annotation"":""float"",""default"":1.0,""line"":3942,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_GUARANTEED_REENTRY,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],03_REENTRY_CAUSAL_STATE
BTC_HARD_BLOCK_OTHER_ACCOUNTS,True,False,True,False,False,bool,False,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":false,""line"":3877,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":3877,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED"",""FILTER""]",False,FILTER,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""ez_positions_quick.py:1927:_btc_dedicated_account_blocked:getattr""]",[],10_EXTERNAL_STATE_INPUTS
BTC_HARD_LOSS_USD_PER_TRADE,True,False,True,False,False,float,90.0,"[3.75,5.4,10.0]",CURATED_OPTIMIZATION_WORKBOOK,"{""annotation"":""float"",""default"":90.0,""line"":3948,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}","[{""annotation"":""float"",""default"":90.0,""line"":3948,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}]","[""ENGINE_AUTO_WIRED"",""ENTRY_SWITCHES_ALL"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D"",""S2_BTC_BEST_RISK""]",False,S2_BTC_BEST_RISK,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
BTC_HEDGE_DC_RESISTANCE_GATE_ENABLED,True,False,True,False,False,bool,True,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":true,""line"":3929,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":true,""line"":3929,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":3223,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_HEDGE_DC,"[""dc_basis_{tf}"",""dc_high_{tf}"",""dc_low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",True,"[""v12_wide_engine.py:2714:simulate_one_symbol:getattr""]",[],False,[],[],11_CROSS_CUTTING_OTHER
BTC_HEDGE_MIN_HOLD_BARS,True,False,True,False,False,int,10,[10],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""int"",""default"":10,""line"":3927,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}","[{""annotation"":""int"",""default"":10,""line"":3927,""literal_default_available"":true,""source"":""config.py"",""type"":""int""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_HEDGE_MIN,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],09_TIMING_POSITION_LIFECYCLE
BTC_HEDGE_NEVER_CLOSE_AT_LOSS,True,False,True,False,False,bool,True,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":true,""line"":3932,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":true,""line"":3932,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_HEDGE_NEVER,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],06_EXIT_SIGNALS_FILTERS
BTC_HEDGE_REQUIRE_4OF5_WT_TFS,True,False,True,False,False,bool,True,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":true,""line"":3931,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":true,""line"":3931,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_HEDGE_REQUIRE,"[""wt1_{tf}"",""wt2_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
BTC_HEDGE_SAMESYM_CLOSE_REQUIRE_NONNEG_GAIN,True,False,True,False,False,bool,True,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":true,""line"":4000,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":true,""line"":4000,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_HEDGE_SAMESYM,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],06_EXIT_SIGNALS_FILTERS
BTC_HEDGE_SAMESYM_CLOSE_REQUIRE_WT_3M_AND_1H,True,False,True,False,False,bool,True,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":true,""line"":4001,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":true,""line"":4001,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_HEDGE_SAMESYM,"[""close_1h"",""close_3m"",""high_1h"",""high_3m"",""low_1h"",""low_3m"",""wt1_1h"",""wt1_3m"",""wt2_1h"",""wt2_3m""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""3m"",""1h""]",False,[],[],False,[],[],06_EXIT_SIGNALS_FILTERS
BTC_HEDGE_SAMESYM_ENABLED,True,False,True,False,False,bool,False,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":false,""line"":3979,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":3979,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":3224,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_HEDGE_SAMESYM,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",True,"[""v12_wide_engine.py:2721:simulate_one_symbol:getattr""]",[],False,[],[],11_CROSS_CUTTING_OTHER
BTC_HEDGE_SAMESYM_HEDGE_HARD_LOSS_PCT,True,False,True,False,False,float,-2.0,[-2.0],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""float"",""default"":-2.0,""line"":4002,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}","[{""annotation"":""float"",""default"":-2.0,""line"":4002,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_HEDGE_SAMESYM,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
BTC_HEDGE_SAMESYM_NOTIONAL_PCT,True,False,True,False,False,float,1.0,[1.0],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""float"",""default"":1.0,""line"":3999,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}","[{""annotation"":""float"",""default"":1.0,""line"":3999,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,BTC_HEDGE_SAMESYM,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
