field,historical_venues,stocks_1yr_rows,stocks_1yr_metric_count,stocks_1yr_nonzero,stocks_1yr_delta_min,stocks_1yr_delta_max,crypto_1yr_rows,crypto_1yr_metric_count,crypto_1yr_nonzero,crypto_1yr_delta_min,crypto_1yr_delta_max,current_classification,current_connected_crypto,current_connected_tradier,current_lifecycle_consumers,in_beam_diagram_overlap,historical_evidence_status,reuse_decision,current_connection_sites,engine_replay_required
R1_USE_DC_4BAR_DEFAULT,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
R1_USE_DC_4BAR_DELTA,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
REDIS_CHANNEL_POSITIONS,CRYPTO_1YR,,,,,,133,133,133,-1.0,4253.2544,UNCONNECTED,False,False,,true,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
REDIS_CHANNEL_POSITIONS_DEFAULT,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
REDIS_CHANNEL_POSITIONS_DELTA,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
RED_ZONE_TRADIER_MIN_OI_AT_WALL,CRYPTO_1YR,,,,,,133,133,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
RED_ZONE_TRADIER_MIN_OI_AT_WALL_DEFAULT,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
RED_ZONE_TRADIER_MIN_OI_AT_WALL_DELTA,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
RED_ZONE_TRADIER_STALE_MAX_HOURS,CRYPTO_1YR,,,,,,133,133,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
RED_ZONE_TRADIER_STALE_MAX_HOURS_DEFAULT,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
RED_ZONE_TRADIER_STALE_MAX_HOURS_DELTA,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
REENTRY2_DC_BREAK_ENABLED,CRYPTO_1YR,,,,,,133,133,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
REENTRY2_DC_BREAK_ENABLED_DEFAULT,CRYPTO_1YR,,,,,,133,12,11,0.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
REENTRY2_DC_BREAK_ENABLED_DELTA,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
REENTRY_GR_HLHH_MODE,"CRYPTO_1YR,STOCKS_1YR",31,31,4,0.0,877.15,133,133,133,-1.0,4253.2544,CONNECTED_TRADIER,False,True,REENTRY,true,historical_metric_values,CURRENTLY_CONNECTED_NO_REIMPLEMENT,"[""v12_reentry_augment_gap_batch2:data/reports/V12_REENTRY_AUGMENT_GAP_BATCH2_CONTRACT.csv""]",yes
REENTRY_GR_MIN_TFS,"CRYPTO_1YR,STOCKS_1YR",31,31,4,0.0,877.15,133,133,133,-1.0,4253.2544,CONNECTED_TRADIER,False,True,REENTRY,true,historical_metric_values,CURRENTLY_CONNECTED_NO_REIMPLEMENT,"[""v12_reentry_augment_gap_batch2:data/reports/V12_REENTRY_AUGMENT_GAP_BATCH2_CONTRACT.csv""]",yes
REENTRY_MANDATORY,CRYPTO_1YR,,,,,,133,133,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
REENTRY_MANDATORY_DEFAULT,CRYPTO_1YR,,,,,,133,1,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
REENTRY_MANDATORY_DELTA,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
