switch,value,mean_delta_vs_bh,n_keys_positive,verdict,best_value_for_switch,best_value_mean_delta,BNBUSDC_LONG,BNBUSDC_SHORT,BTCDOMUSDT_LONG,BTCDOMUSDT_SHORT,BTCUSDC_LONG,BTCUSDC_SHORT,DOGEUSDC_LONG,DOGEUSDC_SHORT,ETHUSDC_LONG,ETHUSDC_SHORT,HYPEUSDT_LONG,HYPEUSDT_SHORT,SOLUSDC_LONG,SOLUSDC_SHORT,WLDUSDC_LONG,WLDUSDC_SHORT,XRPUSDC_LONG,XRPUSDC_SHORT,ZECUSDC_LONG,ZECUSDC_SHORT
BB_MAX_D,0.05,1.8615,10,POSITIVE,0.2,2.2025,-25.709,21.955,-1.785,0.921,-32.651,23.337,9.738,-8.303,183.322,-144.453,-8.709,7.532,191.793,-171.236,-21.308,19.234,-37.604,31.866,-3.58,2.869
LRB_MAX_1h,0.35,1.8581,10,POSITIVE,0.65,1.944,-19.046,14.146,-1.747,0.652,-25.372,17.382,10.183,-9.804,161.368,-123.745,-6.606,4.964,154.307,-131.425,-16.26,13.786,-30.222,25.358,-2.949,2.192
RSI_MAX_1h,65,1.8468,10,POSITIVE,50,3.215,-5.638,2.012,-1.071,0.141,-7.75,1.94,2.776,-0.957,52.812,-17.078,-2.122,0.811,35.239,-15.191,-5.33,2.139,-8.994,3.691,-0.879,0.384
MFI_MAX_1h,50,1.7825,10,POSITIVE,50,1.7825,-13.983,10.515,-1.483,0.604,-20.02,11.219,6.566,-6.226,120.779,-82.765,-4.842,3.521,112.443,-92.433,-11.929,9.411,-22.853,17.766,-2.295,1.656
LRB_MAX_1h,0.5,1.7772,10,POSITIVE,0.65,1.944,-14.611,10.124,-1.577,0.514,-20.552,12.32,7.876,-7.1,123.221,-87.132,-4.708,3.174,111.463,-88.486,-12.515,9.727,-23.018,17.346,-1.971,1.448
DCPOS_MAX_D,0.8,1.7738,9,POSITIVE,0.35,2.0518,-8.217,3.738,-0.536,-0.21,-15.597,5.92,2.112,-1.449,77.731,-40.92,-4.229,2.913,55.88,-33.801,-4.629,2.217,-11.149,6.316,-1.308,0.694
DCPOS_MAX_D,0.2,1.7716,10,POSITIVE,0.35,2.0518,-26.095,21.944,-1.68,0.679,-34.43,25.101,11.766,-10.764,197.836,-162.752,-8.52,7.305,191.441,-168.11,-18.641,16.107,-40.316,35.254,-3.589,2.897
BB_MAX_1h,1.1,1.7643,8,POSITIVE,0.65,3.608,-6.009,0.77,-1.111,-0.113,-8.405,0.579,2.875,-0.561,41.478,-5.697,-1.238,-0.023,31.677,-8.398,-4.683,1.311,-8.78,1.998,-0.454,0.07
SIZE_SLOPE_D,0.5,1.7502,11,POSITIVE,12.0,42.0037,4.578,-1.053,0.761,0.018,4.252,-4.791,-0.8,4.441,-16.518,31.337,2.274,-0.544,-23.345,24.462,6.887,-1.692,6.76,-2.554,0.94,-0.41
LRB_MAX_4h,0.8,1.7312,10,POSITIVE,0.5,2.0933,-7.329,3.816,-1.193,0.433,-9.71,3.503,2.112,-1.101,55.372,-24.709,-0.892,0.649,50.717,-29.04,-6.667,4.043,-11.785,6.644,-0.567,0.327
BB_MAX_D,0.65,1.7068,10,POSITIVE,0.2,2.2025,-13.608,8.97,-1.484,0.362,-13.831,7.766,3.335,-2.1,88.799,-57.075,-4.259,2.609,91.949,-67.804,-13.918,10.513,-19.482,14.047,-2.354,1.702
RSI_MAX_D,50,1.6989,10,POSITIVE,50,1.6989,-17.129,12.882,-1.45,0.442,-16.996,10.642,3.96,-2.869,100.134,-70.184,-7.969,6.555,110.673,-86.156,-16.119,13.956,-24.631,18.819,-2.547,1.965
SIZE_SLOPE_1h,0.5,1.688,10,POSITIVE,12.0,40.5115,5.905,-5.111,0.6,-0.341,6.205,-7.143,-0.994,4.51,-31.051,46.858,1.774,-1.158,-34.838,43.484,5.432,-2.229,9.845,-8.33,0.834,-0.493
BB_MAX_D,0.8,1.6833,10,POSITIVE,0.2,2.2025,-10.017,5.478,-1.413,0.306,-11.682,5.363,2.486,-1.447,72.113,-40.499,-2.478,0.861,68.088,-44.619,-9.903,6.905,-14.943,9.682,-1.92,1.305
DCPOS_MAX_4h,0.95,1.6825,8,POSITIVE,0.35,3.9318,-2.986,-0.348,-0.324,-0.21,-9.552,0.096,1.029,0.141,30.662,1.331,-1.696,0.162,21.311,-0.08,-1.95,-0.015,-3.239,-0.276,-0.489,0.082
RSI_MAX_4h,65,1.6601,10,POSITIVE,50,3.8215,-6.687,2.093,-1.231,0.089,-8.139,1.747,2.073,-0.395,48.746,-17.562,-2.668,1.034,41.464,-16.497,-6.378,2.547,-11.079,4.635,-1.111,0.521
MFI_MAX_4h,35,1.6357,10,POSITIVE,50,2.3764,-22.368,18.514,-1.791,0.877,-23.665,17.895,10.214,-9.49,172.252,-139.645,-7.675,6.546,171.034,-152.374,-18.981,16.477,-33.917,29.422,-3.265,2.653
MFI_MAX_4h,65,1.6091,10,POSITIVE,50,2.3764,-7.857,4.638,-1.228,0.429,-9.312,4.216,2.405,-1.908,66.168,-33.864,-2.665,2.247,55.146,-38.607,-5.583,3.674,-13.787,8.627,-1.46,0.902
MFI_MAX_1h,35,1.5348,10,POSITIVE,50,1.7825,-21.262,18.539,-1.699,0.894,-26.967,20.667,10.598,-10.517,174.739,-142.801,-7.184,5.994,171.489,-156.28,-16.871,15.614,-33.929,30.376,-3.289,2.585
RSI_MIN_15m,35,1.5229,10,POSITIVE,50,2.81,-6.233,2.645,-0.278,0.239,-12.636,3.469,3.004,-1.534,53.506,-24.103,-1.572,0.415,39.156,-16.933,-3.852,1.275,-9.177,3.655,-0.834,0.246
DCPOS_MAX_1h,0.95,1.4785,6,POSITIVE,0.35,3.4281,-3.846,-0.383,-0.427,-0.191,-10.397,0.515,1.156,-0.036,30.807,0.136,-1.702,-0.016,21.322,-1.035,-2.128,-0.028,-3.75,-0.015,-0.495,0.083
RSI_MIN_15m,65,1.4585,10,POSITIVE,50,2.81,-26.206,23.401,-1.477,0.875,-34.741,27.769,13.323,-13.875,210.506,-184.893,-8.271,6.693,205.707,-182.436,-19.695,17.564,-40.574,36.205,-3.608,2.903
MFI_MAX_1h,65,1.4548,10,POSITIVE,50,1.7825,-7.167,4.33,-1.121,0.43,-9.136,5.158,3.437,-2.733,67.491,-38.705,-2.513,1.462,51.24,-36.617,-6.563,3.706,-11.008,7.733,-1.125,0.797
BB_MAX_D,0.95,1.4485,10,POSITIVE,0.2,2.2025,-5.892,2.801,-1.175,0.289,-7.529,2.188,1.632,-0.883,50.719,-22.747,-1.463,0.492,42.782,-24.16,-6.173,3.575,-10.982,6.067,-1.49,0.918
SIZE_SLOPE_15m,1.0,1.4169,10,POSITIVE,12.0,17.0033,10.041,-11.64,1.339,-0.864,11.498,-14.49,-4.888,6.147,-69.893,87.265,2.886,-2.357,-66.664,77.682,9.387,-6.304,16.832,-17.936,1.38,-1.082
LRB_MAX_4h,0.2,1.3517,10,POSITIVE,0.5,2.0933,-24.022,20.084,-1.823,0.818,-31.531,22.134,13.143,-13.383,189.887,-159.643,-8.678,7.56,186.196,-166.014,-19.92,17.448,-36.86,32.286,-3.535,2.886
WT_DIR_D,inv,1.3383,10,POSITIVE,inv,1.3383,-14.596,10.731,-1.544,0.685,-16.728,11.693,6.408,-5.759,104.556,-80.106,-4.26,2.908,114.123,-94.684,-11.656,9.814,-22.282,17.859,-1.58,1.184
LRB_MAX_1h,0.2,1.3381,10,POSITIVE,0.65,1.944,-22.769,18.736,-1.789,0.797,-32.379,23.309,12.198,-12.21,189.281,-156.331,-7.665,6.112,183.812,-166.28,-19.321,16.603,-36.46,31.799,-3.434,2.753
STOCH_MAX_4h,35,1.3046,10,POSITIVE,35,1.3046,-17.992,14.777,-1.493,0.764,-23.605,17.693,8.977,-8.717,147.702,-120.65,-4.949,4.239,143.525,-127.155,-14.596,11.845,-27.682,24.0,-2.64,2.05
STOCH_MAX_4h,50,1.2866,10,POSITIVE,35,1.3046,-13.746,11.144,-1.259,0.6,-19.589,14.223,7.227,-6.55,119.522,-93.567,-3.872,3.346,114.463,-100.047,-11.305,9.144,-21.605,18.238,-2.261,1.625
RSI_MAX_D,35,1.2373,10,POSITIVE,50,1.6989,-25.761,22.763,-1.615,0.926,-30.179,24.265,11.496,-11.532,194.161,-166.745,-8.817,7.8,192.579,-178.654,-21.469,19.797,-40.245,36.553,-3.76,3.183
WT_LEVEL_MAX_4h,0,1.2369,10,POSITIVE,0,1.2369,-14.967,12.608,-1.366,0.787,-15.912,13.588,5.228,-5.051,114.107,-89.62,-4.64,3.967,107.452,-95.761,-13.639,11.899,-22.625,19.112,-2.195,1.767
LRB_MAX_D,0.2,1.2077,6,POSITIVE,0.2,1.2077,-25.475,23.444,-1.459,0.849,-32.147,26.365,,,196.338,-179.133,,,189.161,-181.009,,,-41.32,38.879,,
LRB_MAX_D,0.65,1.1726,6,POSITIVE,0.2,1.2077,-7.042,5.968,-0.916,0.394,-5.968,4.592,,,56.376,-41.957,,,45.44,-40.255,,,-13.822,11.261,,
DCPOS_MIN_15m,0.95,1.1619,10,POSITIVE,0.35,3.1561,-28.075,24.876,-1.758,1.236,-37.079,30.308,14.453,-14.918,224.445,-201.908,-8.718,6.945,217.012,-195.111,-21.505,18.432,-43.518,38.825,-3.923,3.218
LRB_MAX_1h,0.8,1.1593,10,POSITIVE,0.65,1.944,-5.323,2.784,-1.078,0.351,-7.597,2.948,2.603,-1.671,42.986,-21.302,-1.842,0.784,43.184,-26.157,-6.154,3.733,-10.856,6.129,-0.83,0.495
LRB_MAX_D,0.35,1.1412,6,POSITIVE,0.2,1.2077,-22.879,20.844,-1.331,0.66,-29.407,23.555,,,170.605,-153.361,,,174.322,-166.554,,,-33.438,30.678,,
DCPOS_MAX_1h,0.05,1.1403,10,POSITIVE,0.35,3.4281,-28.752,24.484,-2.035,0.881,-37.802,29.289,14.545,-14.866,225.99,-199.537,-8.522,7.19,217.691,-198.318,-21.316,18.976,-43.737,39.358,-3.892,3.179
STOCH_MAX_1h,20,1.1376,10,POSITIVE,20,1.1376,-24.008,21.674,-1.551,0.905,-32.364,25.496,12.189,-12.122,190.173,-164.551,-7.258,5.956,183.5,-169.787,-17.773,16.185,-36.459,33.145,-3.205,2.607
STOCH_MAX_1h,35,1.1341,10,POSITIVE,20,1.1376,-19.197,16.93,-1.323,0.711,-27.684,20.455,9.874,-9.965,158.3,-130.741,-5.99,4.928,149.478,-137.744,-14.281,12.465,-29.372,26.541,-2.683,1.981
STOCH_MAX_4h,20,1.1279,10,POSITIVE,35,1.3046,-22.825,18.928,-1.643,0.907,-28.433,22.276,11.52,-12.304,183.41,-155.758,-6.824,5.588,174.715,-160.346,-18.125,15.773,-34.712,30.985,-3.093,2.518
WT_LEVEL_MAX_4h,-40,1.1273,10,POSITIVE,0,1.2369,-19.191,16.726,-1.593,0.874,-23.074,19.473,8.211,-8.188,151.579,-126.848,-6.692,5.749,146.212,-134.23,-17.993,15.319,-29.38,26.061,-2.84,2.371
WT_LEVEL_MAX_1h,-20,1.0959,10,POSITIVE,-20,1.0959,-16.684,14.078,-1.403,0.82,-21.067,16.73,7.672,-7.648,136.612,-114.147,-5.485,4.106,130.478,-117.535,-13.618,12.339,-25.633,22.81,-2.516,2.01
WT_LEVEL_MAX_1h,-40,1.0947,10,POSITIVE,-20,1.0959,-18.962,16.729,-1.487,0.875,-23.923,19.582,9.071,-9.336,155.635,-133.129,-6.21,5.136,150.66,-137.136,-16.147,13.973,-29.472,26.73,-2.968,2.273
DCPOS_MAX_4h,0.05,1.0823,10,POSITIVE,0.35,3.9318,-28.853,25.514,-1.99,0.948,-37.882,29.702,14.794,-14.74,226.868,-202.258,-8.672,7.126,219.711,-200.911,-21.815,19.032,-44.043,39.829,-3.913,3.2
DCPOS_MIN_15m,0.05,1.0739,10,POSITIVE,0.35,3.1561,-2.7,0.265,-0.119,0.054,-8.445,0.435,0.814,-0.134,22.721,-2.354,-0.795,0.023,18.533,-1.552,-1.889,0.296,-3.661,0.432,-0.484,0.039
BB_MAX_D,1.1,1.0232,10,POSITIVE,0.2,2.2025,-2.782,0.976,-0.718,0.184,-4.101,0.945,1.191,-0.495,29.637,-9.662,-0.965,0.185,22.627,-10.635,-2.72,1.03,-7.304,3.499,-0.977,0.549
MFI_MIN_15m,50,1.0069,10,POSITIVE,50,1.0069,-16.318,13.669,-0.742,0.461,-18.637,16.304,8.58,-8.456,130.807,-115.073,-5.056,3.452,124.196,-105.986,-11.091,9.044,-25.228,20.623,-1.986,1.575
WT_LEVEL_MAX_4h,-20,0.9952,10,POSITIVE,0,1.2369,-17.216,14.351,-1.461,0.831,-20.727,16.6,6.346,-6.605,132.188,-109.766,-5.588,4.703,129.004,-116.273,-15.68,13.5,-26.308,22.482,-2.557,2.081
STOCH_MAX_1h,80,0.9919,10,POSITIVE,20,1.1376,-6.847,4.528,-0.531,0.169,-8.092,5.394,3.532,-2.639,60.818,-40.118,-2.375,1.308,48.217,-38.542,-4.932,2.746,-9.375,6.907,-0.87,0.54
STOCH_MAX_1h,50,0.9862,10,POSITIVE,20,1.1376,-14.742,12.099,-1.152,0.529,-20.185,15.04,7.586,-7.304,126.67,-101.325,-4.842,3.865,113.72,-106.081,-10.758,9.612,-22.344,19.843,-1.994,1.488
STOCH_MAX_1h,65,0.9753,10,POSITIVE,20,1.1376,-10.899,8.082,-0.901,0.382,-11.978,11.233,5.234,-5.266,95.416,-73.68,-3.68,2.392,79.541,-71.208,-7.905,5.563,-15.72,13.267,-1.43,1.064
STOCH_MAX_4h,65,0.9739,10,POSITIVE,35,1.3046,-10.346,8.154,-1.04,0.447,-15.205,10.394,5.266,-4.682,79.688,-62.923,-3.066,2.595,84.744,-69.094,-7.92,6.222,-16.169,12.957,-1.74,1.196
MFI_MAX_1h,80,0.9481,10,POSITIVE,50,1.7825,-2.209,1.091,-0.399,0.173,-2.686,1.437,1.278,-0.618,25.691,-6.332,-0.429,0.344,9.676,-5.786,-2.359,1.585,-2.931,1.627,-0.348,0.157
WT_LEVEL_MAX_1h,-60,0.9098,10,POSITIVE,-20,1.0959,-22.037,19.687,-1.571,0.955,-26.691,22.27,10.52,-11.396,177.417,-155.46,-7.004,6.084,170.624,-159.853,-18.003,15.908,-33.749,31.203,-3.268,2.56
LRB_MAX_1h,0.05,0.8589,10,POSITIVE,0.65,1.944,-25.851,22.994,-1.775,1.019,-35.098,27.392,13.651,-14.113,208.583,-184.194,-8.654,7.561,203.898,-191.927,-20.984,18.906,-40.371,36.7,-3.764,3.205
LRB_MAX_D,0.5,0.8523,6,POSITIVE,0.2,1.2077,-9.799,8.534,-1.043,0.425,-14.324,9.577,,,91.031,-77.888,,,68.216,-61.812,,,-18.302,15.613,,
LRB_MAX_4h,0.05,0.8419,10,POSITIVE,0.5,2.0933,-26.94,24.212,-1.798,1.004,-35.125,27.48,14.079,-14.978,208.847,-186.184,-8.817,7.8,205.478,-192.142,-20.922,18.82,-41.074,37.691,-3.789,3.195
STOCH_MAX_D,35,0.8344,10,POSITIVE,35,0.8344,-18.465,16.796,-1.384,1.007,-23.012,19.241,9.036,-9.475,141.538,-123.377,-5.967,5.391,142.086,-132.395,-17.821,16.087,-28.353,26.314,-2.605,2.045
RSI_MAX_D,65,0.8316,10,POSITIVE,50,1.6989,-7.146,4.393,-1.042,0.364,-7.622,4.069,1.27,-0.973,48.981,-30.032,-3.059,2.052,38.917,-27.255,-7.356,5.275,-10.629,6.984,-1.649,1.089
STOCH_MAX_D,65,0.8251,10,POSITIVE,35,0.8344,-9.942,8.948,-0.657,0.356,-13.732,10.437,5.193,-5.14,87.126,-70.828,-4.376,3.597,89.731,-81.243,-7.753,7.097,-15.165,13.255,-1.856,1.454
LRB_MAX_D,0.05,0.7975,6,POSITIVE,0.2,1.2077,-27.743,26.006,-1.599,1.017,-36.203,30.806,,,224.51,-213.233,,,212.637,-204.538,,,-43.987,41.897,,
DCPOS_MAX_D,0.95,0.756,9,POSITIVE,0.35,2.0518,-2.678,0.587,-0.068,-0.124,-2.989,0.204,0.254,-0.042,17.346,-3.619,-0.548,0.241,14.398,-5.469,-1.246,0.548,-2.221,0.679,-0.236,0.102
MFI_MAX_D,50,0.735,10,POSITIVE,50,0.735,-16.622,13.554,-1.345,0.728,-16.407,13.39,5.672,-4.746,103.16,-86.571,-6.884,6.233,115.521,-105.231,-16.553,14.643,-23.524,20.192,-2.597,2.086
WT_LEVEL_MAX_4h,-60,0.7231,10,POSITIVE,0,1.2369,-21.767,19.402,-1.644,0.959,-28.741,22.36,9.532,-10.053,167.927,-147.676,-7.594,6.616,165.498,-154.8,-18.337,16.067,-33.124,30.306,-3.148,2.679
MFI_MAX_4h,20,0.721,10,POSITIVE,50,2.3764,-27.126,24.521,-1.806,1.191,-35.289,28.011,13.032,-13.761,211.334,-189.639,-8.685,7.67,205.483,-194.704,-21.179,19.336,-41.225,37.809,-3.765,3.213
MFI_MIN_15m,65,0.7202,10,POSITIVE,50,1.0069,-23.306,21.082,-1.209,0.786,-31.444,25.587,11.785,-12.798,185.403,-169.043,-7.732,5.632,182.472,-165.521,-16.789,14.251,-36.751,32.633,-3.157,2.523
SIZE_SLOPE_15m,0.5,0.7084,10,POSITIVE,12.0,17.0033,5.021,-5.82,0.669,-0.432,5.749,-7.245,-2.444,3.073,-34.946,43.632,1.443,-1.178,-33.332,38.841,4.693,-3.152,8.416,-8.968,0.69,-0.541
EMA_DIST_1h,-0.07,0.6992,9,POSITIVE,-0.07,0.6992,-1.494,0.729,0.0,0.0,-6.575,2.413,1.103,-0.532,23.639,-9.111,-0.479,0.224,14.877,-8.926,-1.688,1.385,-3.407,2.055,-0.68,0.451
SMA200_DIST_15m,-0.07,0.6984,9,POSITIVE,-0.07,0.6984,-2.04,1.097,-0.002,0.0,-6.93,2.465,1.499,-0.631,26.663,-13.703,-0.597,0.514,20.022,-12.661,-2.143,1.907,-4.312,3.041,-0.8,0.579
LRB_MAX_1h,0.95,0.694,10,POSITIVE,0.65,1.944,-2.527,1.041,-0.764,0.276,-3.585,1.104,1.331,-0.636,20.071,-6.316,-1.09,0.216,17.725,-8.212,-3.533,1.978,-5.734,2.755,-0.402,0.182
LRB_MAX_4h,0.95,0.675,10,POSITIVE,0.5,2.0933,-3.912,1.858,-0.733,0.3,-3.239,0.864,0.968,-0.494,21.445,-8.115,-0.576,0.363,17.97,-7.698,-4.251,2.386,-7.523,4.046,-0.316,0.158
STOCH_MAX_D,50,0.6734,10,POSITIVE,35,0.8344,-13.405,11.55,-1.113,0.798,-18.289,14.948,7.352,-7.646,108.566,-91.408,-5.003,4.432,114.698,-107.858,-14.987,13.292,-21.522,19.471,-2.103,1.694
EMA_DIST_4h,-0.07,0.6692,10,POSITIVE,-0.07,0.6692,-3.504,2.869,-0.069,0.072,-9.255,4.448,3.774,-2.963,51.66,-36.235,-0.735,0.414,42.217,-36.881,-3.232,3.044,-7.563,5.515,-0.993,0.801
EMA_DIST_D,-0.2,0.662,7,POSITIVE,-0.2,0.662,-0.958,0.842,0.0,0.0,-6.682,2.24,2.455,-1.692,38.719,-23.789,0.0,0.0,24.078,-20.892,0.0,0.0,-1.887,0.966,-0.631,0.471
WT1_CROSS,off,0.6618,10,POSITIVE,off,0.6618,-45.109,45.751,-8.507,8.94,-64.143,64.059,21.231,-19.495,315.862,-308.832,-8.847,9.705,260.509,-260.366,-20.758,21.879,-54.662,55.732,-3.501,3.787
SMA200_DIST_1h,-0.12,0.6541,10,POSITIVE,-0.12,0.6541,-1.532,0.967,-0.003,0.001,-6.929,2.803,1.998,-0.985,31.388,-17.571,-0.501,0.223,22.355,-17.996,-1.952,2.501,-4.195,2.687,-0.743,0.566
MFI_MIN_15m,35,0.6454,10,POSITIVE,50,1.0069,-8.791,6.483,-0.33,0.221,-9.787,7.934,4.471,-3.588,60.409,-52.413,-2.434,1.229,60.706,-44.513,-6.109,3.94,-13.12,8.964,-0.967,0.603
EMA_DIST_4h,-0.12,0.6383,8,POSITIVE,-0.07,0.6692,-1.084,0.605,-0.001,0.0,-6.571,2.393,1.468,-0.701,26.58,-11.816,-0.006,0.0,16.443,-13.022,-1.645,1.766,-3.083,1.645,-0.626,0.421
SMA200_DIST_1h,-0.07,0.6344,10,POSITIVE,-0.12,0.6541,-4.638,3.923,-0.114,0.119,-10.323,5.683,4.388,-4.176,59.215,-45.477,-1.531,1.176,49.89,-43.668,-3.271,3.252,-9.234,7.664,-1.173,0.983
MFI_MAX_D,35,0.6116,10,POSITIVE,50,0.735,-23.332,21.331,-1.648,1.095,-25.811,22.866,10.151,-10.078,171.959,-157.758,-8.644,7.621,173.238,-164.255,-19.571,18.144,-34.796,32.222,-3.271,2.769
STOCH_MAX_4h,90,0.6055,10,POSITIVE,35,1.3046,-3.33,1.989,-0.44,0.115,-4.43,2.057,2.123,-1.215,26.405,-14.232,-1.55,1.161,22.399,-15.837,-1.812,1.132,-5.333,3.223,-0.677,0.362
STOCH_MAX_4h,80,0.5988,10,POSITIVE,35,1.3046,-6.663,4.787,-0.753,0.301,-10.722,5.96,3.092,-2.497,48.012,-35.496,-2.521,1.924,48.927,-38.155,-3.629,2.698,-9.975,7.141,-1.155,0.7
SMA200_DIST_4h,-0.12,0.5968,9,POSITIVE,-0.12,0.5968,-3.593,3.436,-0.111,0.096,-9.953,5.84,6.583,-5.793,64.304,-51.059,0.0,0.0,54.529,-50.599,-3.678,3.699,-7.785,6.146,-1.147,1.021
WT_LEVEL_MAX_1h,0,0.5934,10,POSITIVE,-20,1.0959,-14.31,11.636,-1.338,0.798,-18.601,13.583,6.349,-6.19,106.062,-93.67,-4.8,3.486,110.02,-96.129,-11.58,10.219,-22.081,18.924,-2.165,1.655
SMA200_DIST_15m,-0.12,0.5878,9,POSITIVE,-0.07,0.6984,-0.574,0.268,0.0,0.0,-6.233,1.975,0.5,-0.248,15.841,-1.443,-0.153,0.064,5.215,-2.194,-1.009,0.916,-1.941,0.893,-0.441,0.32
MFI_MAX_D,65,0.5863,10,POSITIVE,50,0.735,-9.066,6.873,-0.927,0.448,-7.0,4.716,2.081,-1.766,55.34,-39.485,-2.512,1.616,45.467,-38.504,-13.984,11.62,-12.296,9.545,-1.713,1.273
SMA200_DIST_4h,-0.2,0.572,9,POSITIVE,-0.12,0.5968,-1.205,0.931,-0.006,0.001,-6.85,2.441,2.623,-1.957,32.804,-19.28,0.0,0.0,27.644,-24.101,-1.625,1.287,-2.164,1.09,-0.752,0.559
STOCH_MAX_D,20,0.5655,10,POSITIVE,35,0.8344,-23.121,21.52,-1.602,1.107,-30.829,25.235,11.198,-11.785,183.194,-167.477,-7.218,6.453,173.258,-164.042,-19.883,18.028,-34.278,32.093,-3.213,2.672
WT_LEVEL_MAX_4h,-80,0.5624,10,POSITIVE,0,1.2369,-24.121,22.323,-1.68,1.04,-31.655,26.074,10.999,-12.013,190.833,-172.385,-8.564,7.534,186.426,-178.728,-19.307,17.239,-36.94,34.594,-3.459,3.038
STOCH_MAX_D,80,0.5571,10,POSITIVE,35,0.8344,-6.744,5.492,-0.313,0.103,-9.5,6.28,3.399,-3.648,59.028,-45.489,-3.832,2.867,56.915,-51.266,-4.517,4.648,-10.013,8.121,-1.57,1.18
EMA_DIST_1h,-0.12,0.5245,8,POSITIVE,-0.07,0.6992,-0.506,0.166,0.0,0.0,-6.228,1.942,0.465,-0.178,14.238,-1.004,0.0,0.0,3.664,-0.686,-0.44,0.436,-1.597,0.355,-0.391,0.254
WT_LEVEL_MAX_1h,20,0.5159,10,POSITIVE,-20,1.0959,-11.644,9.385,-1.198,0.67,-12.862,10.988,5.245,-4.892,84.842,-74.169,-4.01,2.725,88.966,-78.645,-9.704,8.356,-18.342,15.079,-1.847,1.376
WT_LEVEL_MAX_4h,20,0.506,10,POSITIVE,0,1.2369,-12.288,10.173,-1.331,0.777,-13.656,10.435,4.316,-4.055,85.358,-74.353,-3.844,3.015,85.59,-74.491,-11.663,9.959,-19.075,15.643,-1.903,1.513
WT_LEVEL_MAX_1h,-80,0.4869,10,POSITIVE,-20,1.0959,-24.558,22.372,-1.7,1.09,-29.931,26.084,12.474,-13.603,196.286,-178.268,-7.925,6.971,188.685,-183.492,-19.825,17.92,-37.267,35.036,-3.533,2.921
RSI_MAX_4h,20,0.4856,10,POSITIVE,50,3.8215,-28.407,26.375,-1.8,1.263,-37.154,31.475,14.206,-15.008,221.889,-204.388,-8.817,7.8,216.896,-210.002,-21.859,20.346,-43.311,40.78,-3.894,3.323
EMA_DIST_15m,-0.07,0.4801,8,POSITIVE,-0.07,0.4801,-0.49,0.102,0.0,0.0,-6.216,1.945,0.395,-0.04,13.55,-0.629,-0.019,0.0,3.071,-0.444,-0.666,0.373,-1.493,0.403,-0.43,0.19
MFI_MAX_1h,20,0.476,10,POSITIVE,50,1.7825,-26.974,25.131,-1.781,1.201,-35.007,28.976,13.542,-14.24,213.054,-195.091,-8.606,7.514,208.841,-202.555,-21.124,19.344,-41.531,39.362,-3.774,3.239
ADX_MIN_4h,20,0.4677,9,POSITIVE,20,0.4677,-5.734,5.336,-0.048,-0.095,-5.788,5.118,2.947,-3.566,61.837,-51.726,-2.069,1.759,48.145,-47.141,-1.789,2.424,-8.853,8.791,-1.043,0.848
WT_LEVEL_MAX_1h,40,0.4669,10,POSITIVE,-20,1.0959,-9.02,6.918,-1.078,0.617,-10.198,8.664,3.77,-3.351,65.843,-54.808,-3.315,2.14,69.222,-60.47,-7.673,6.049,-14.834,11.25,-1.43,1.042
MFI_MAX_D,20,0.4559,10,POSITIVE,50,0.735,-26.962,25.144,-1.74,1.238,-32.724,29.287,13.877,-15.008,218.081,-203.76,-8.726,7.685,209.451,-202.395,-21.558,19.799,-42.714,40.659,-3.841,3.325
EMA_DIST_4h,0.0,0.4549,10,POSITIVE,-0.07,0.6692,-14.871,13.819,-0.607,0.476,-23.627,19.496,10.264,-11.005,136.315,-123.679,-4.226,3.444,121.092,-116.596,-7.66,7.591,-22.905,21.892,-1.665,1.551
LRB_MAX_D,0.8,0.4541,6,POSITIVE,0.2,1.2077,-4.943,3.882,-0.877,0.481,-3.399,2.511,,,24.829,-19.876,,,25.593,-20.711,,,-10.799,8.758,,
WT_LEVEL_MIN_15m,40,0.4411,10,POSITIVE,40,0.4411,-20.916,19.859,-0.954,0.71,-28.569,23.912,10.758,-12.076,168.735,-160.113,-6.322,5.594,163.178,-153.11,-14.758,14.971,-31.954,30.304,-2.857,2.43
WT_LEVEL_MAX_D,-20,0.4408,10,POSITIVE,-20,0.4408,-19.335,17.745,-1.288,0.837,-18.571,16.301,5.116,-5.27,111.491,-101.014,-8.561,7.556,121.633,-113.966,-15.343,14.15,-26.054,23.763,-2.75,2.375
STOCH_MIN_15m,65,0.4369,10,POSITIVE,65,0.4369,-19.797,17.438,-1.147,0.91,-23.918,20.81,9.607,-10.691,154.408,-144.061,-5.757,5.183,148.8,-139.14,-14.993,13.674,-29.323,27.223,-2.731,2.243
LRB_MIN_D,1.1,0.4349,6,POSITIVE,1.1,0.4349,-28.682,27.362,-1.792,1.337,-37.49,32.863,,,226.164,-216.369,,,218.939,-215.3,,,-44.101,42.288,,
STOCH_MIN_15m,50,0.4345,10,POSITIVE,65,0.4369,-14.431,12.84,-0.959,0.709,-18.516,16.491,6.61,-7.932,118.39,-108.52,-4.718,3.911,112.818,-105.088,-11.563,10.475,-22.281,20.978,-2.192,1.668
ADX_MIN_D,20,0.4329,9,POSITIVE,20,0.4329,-5.578,5.935,-0.089,-0.001,-6.871,5.251,0.982,-0.905,21.409,-15.761,-1.31,0.938,50.165,-46.105,-1.59,1.944,-13.371,13.681,-0.489,0.424
