switch,value,mean_delta_vs_bh,n_keys_positive,verdict,best_value_for_switch,best_value_mean_delta,BNBUSDC_LONG,BNBUSDC_SHORT,BTCDOMUSDT_LONG,BTCDOMUSDT_SHORT,BTCUSDC_LONG,BTCUSDC_SHORT,DOGEUSDC_LONG,DOGEUSDC_SHORT,ETHUSDC_LONG,ETHUSDC_SHORT,HYPEUSDT_LONG,HYPEUSDT_SHORT,SOLUSDC_LONG,SOLUSDC_SHORT,WLDUSDC_LONG,WLDUSDC_SHORT,XRPUSDC_LONG,XRPUSDC_SHORT,ZECUSDC_LONG,ZECUSDC_SHORT
SIZE_SLOPE_15m,5.0,7.0847,10,POSITIVE,12.0,17.0033,50.203,-58.2,6.693,-4.319,57.488,-72.452,-24.441,30.733,-349.463,436.325,14.431,-11.786,-333.319,388.412,46.937,-31.518,84.164,-89.68,6.899,-5.412
SIZE_SLOPE_D,2.0,7.0007,11,POSITIVE,12.0,42.0037,18.313,-4.211,3.042,0.071,17.007,-19.164,-3.199,17.765,-66.071,125.347,9.097,-2.178,-93.381,97.849,27.549,-6.769,27.043,-10.215,3.76,-1.641
SIZE_SLOPE_1h,2.0,6.752,10,POSITIVE,12.0,40.5115,23.619,-20.444,2.401,-1.366,24.822,-28.57,-3.976,18.039,-124.202,187.434,7.096,-4.631,-139.355,173.936,21.729,-8.916,39.381,-33.319,3.333,-1.971
SIZE_SLOPE_15m,3.0,4.2509,10,POSITIVE,12.0,17.0033,30.122,-34.92,4.016,-2.591,34.493,-43.471,-14.665,18.44,-209.678,261.795,8.658,-7.072,-199.991,233.047,28.162,-18.911,50.498,-53.808,4.14,-3.247
WT_DIR_15m,on,4.186,10,POSITIVE,on,4.186,-18.582,11.558,-0.97,0.589,-25.339,14.445,9.475,-6.248,145.961,-86.124,-5.663,2.737,142.127,-80.462,-14.235,7.563,-28.388,16.733,-2.728,1.271
BB_MAX_4h,0.35,4.1109,10,POSITIVE,0.35,4.1109,-20.013,10.703,-2.127,0.157,-28.819,11.602,9.479,-6.176,154.776,-81.593,-6.224,3.732,147.005,-93.635,-15.782,10.917,-29.342,18.609,-2.907,1.856
BB_MAX_4h,0.2,4.1028,10,POSITIVE,0.35,4.1109,-23.013,14.127,-2.137,0.268,-31.3,13.959,11.227,-8.015,176.469,-102.544,-6.88,4.411,166.842,-114.833,-17.651,12.713,-33.246,22.685,-3.267,2.241
SIZE_SLOPE_4h,1.0,4.0061,10,POSITIVE,12.0,48.0725,13.644,-7.554,0.958,-0.639,11.965,-14.537,-0.644,9.395,-59.561,90.057,4.409,-0.022,-66.842,84.566,10.335,-2.045,19.901,-13.664,1.237,-0.837
BB_MAX_4h,0.65,4.0031,10,POSITIVE,0.35,4.1109,-14.566,6.076,-2.015,0.017,-21.663,5.221,6.123,-2.994,120.273,-48.421,-4.697,2.65,108.655,-58.38,-11.906,7.5,-22.187,11.4,-2.251,1.227
DCPOS_MAX_4h,0.35,3.9318,10,POSITIVE,0.35,3.9318,-22.872,13.773,-1.95,0.105,-31.029,14.435,10.707,-7.724,171.237,-100.59,-6.366,4.126,163.034,-111.581,-16.102,11.188,-34.376,23.642,-2.973,1.952
