field,historical_venues,stocks_1yr_metric_count,crypto_1yr_metric_count,historical_delta_min,historical_delta_max,current_classification,current_connection_sites,reuse_decision,engine_replay_required,inventory_engine_sha256
PROXIMITY_TOP_MAX_DROP_PCT,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
PROXIMITY_TOP_MAX_DROP_PCT_DEFAULT,CRYPTO_1YR,,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
PYRAMID_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
PYRAMID_ENABLED_DEFAULT,CRYPTO_1YR,,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
PYRAMID_MAX_DC_POS_15M_SHORT,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
PYRAMID_MAX_DC_POS_15M_SHORT_DEFAULT,CRYPTO_1YR,,1,0.25,0.25,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
PYRAMID_SIZE_MULT,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
PYRAMID_SIZE_MULT_DEFAULT,CRYPTO_1YR,,1,0.0,0.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
R1_USE_DC_4BAR,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REDIS_CHANNEL_POSITIONS,CRYPTO_1YR,,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
RED_ZONE_TRADIER_MIN_OI_AT_WALL,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
RED_ZONE_TRADIER_STALE_MAX_HOURS,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REENTRY2_DC_BREAK_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REENTRY2_DC_BREAK_ENABLED_DEFAULT,CRYPTO_1YR,,12,0.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REENTRY_GR_HLHH_MODE,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,CONNECTED_TRADIER,"[""v12_reentry_augment_gap_batch2:data/reports/V12_REENTRY_AUGMENT_GAP_BATCH2_CONTRACT.csv""]",CURRENTLY_CONNECTED_NO_REIMPLEMENT,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
REENTRY_GR_MIN_TFS,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,CONNECTED_TRADIER,"[""v12_reentry_augment_gap_batch2:data/reports/V12_REENTRY_AUGMENT_GAP_BATCH2_CONTRACT.csv""]",CURRENTLY_CONNECTED_NO_REIMPLEMENT,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
REENTRY_MANDATORY,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REENTRY_MANDATORY_DEFAULT,CRYPTO_1YR,,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REENTRY_MEAN_REV_ENABLED,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
REENTRY_MEAN_REV_TOLERANCE_PCT,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
REENTRY_MEAN_REV_WINDOW_BARS,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
REENTRY_PULL1_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REENTRY_PULL1_ENABLED_DEFAULT,CRYPTO_1YR,,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REENTRY_PULL2_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REENTRY_PULL2_ENABLED_DEFAULT,CRYPTO_1YR,,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REENTRY_PULL4_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REENTRY_PULL4_ENABLED_DEFAULT,CRYPTO_1YR,,7,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REENTRY_TIER1_SIZE_MULT_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REENTRY_TIER2_MAX_MINUTES_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REENTRY_TIER2_MAX_MINUTES_TRADIER_DEFAULT,CRYPTO_1YR,,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REGIME_GATE_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REGIME_MIN_DWELL_BARS,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REGIME_RANGING_EXIT_GAIN_MIN,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REGIME_RANGING_NOLOSS_MIN,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
REQUIRE_ABOVE_SMA50_D,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
REQUIRE_D_TREND,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
REQUIRE_W_TREND,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
REVERSE_ON_EXIT_ENABLED,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
RSI2_MEAN_REVERSION_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,CONNECTED_BOTH,"[""v12_quick_engine.py:5714:compute_reentry_blocks""]",CURRENTLY_CONNECTED_NO_REIMPLEMENT,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
RSI2_MEAN_REVERSION_ENABLED_DEFAULT,CRYPTO_1YR,,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
RSI_ENTRY_GATE_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
RSI_ENTRY_GATE_ENABLED_DEFAULT,CRYPTO_1YR,,7,42.5,42.5,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
RSI_EXIT_LONG_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
RSI_EXIT_LONG_TRADIER_DEFAULT,CRYPTO_1YR,,7,58.0,58.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
RSI_EXIT_SHORT_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
RZ_CASCADE_AT_RZ_BAND_PCT,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
RZ_CASCADE_EXIT_ANY_TF,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
RZ_CASCADE_EXIT_MIN_REV_TFS,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
RZ_CASCADE_HIGH_LOOKBACK,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
RZ_CASCADE_MIN_TF_ALIGN,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
RZ_CASCADE_REQUIRE_NEW_HIGH,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
RZ_CASCADE_USE_W_M,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
RZ_CASCADE_VEL_MIN,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
RZ_CASCADE_WT_DELTA_MIN,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
RZ_EXIT_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
RZ_TWO_PHASE_EXIT_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SATOSHIT_ENTRY_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SATOSHIT_ENTRY_ENABLED_DEFAULT,CRYPTO_1YR,,3,0.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SATOSHIT_EXIT_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SATOSHIT_HTF_RVOL_1H_MIN_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SATOSHIT_LONG_MFI_MAX_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SATOSHIT_LONG_RSI_MAX_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SATOSHIT_SHORT_BB_PCTB_MIN,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SCALP_STOP_PCT,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SECTOR_LS_RATIO_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SHORT_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
SHORT_ENABLED_DEFAULT,CRYPTO_1YR,,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SHORT_STRUCT_EXIT_TF,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,DEFERRED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
SMA200_DIST_ENTRY_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SMFI_MAX_PER_SIDE,CRYPTO_1YR,,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
SMFI_MAX_PER_SIDE_DEFAULT,CRYPTO_1YR,,1,11.25,11.25,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SPY_REGIME_BLOCK_LONGS_BELOW,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SPY_REGIME_BLOCK_SHORTS_ABOVE,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SPY_REGIME_GATE_ENABLED,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
SQUEEZE_FIRE_BONUS_SCORE,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SRS_K_EXIT_1H,CRYPTO_1YR,,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
STDEV_BB_RZ_EXIT_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
STDEV_BOUNCE_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
STDEV_BOUNCE_PCTB_SHORT,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
STDEV_BREAKOUT_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
STDEV_MACRO_ENTRY_VETO_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
STDEV_MACRO_R4_EXIT_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
STDEV_MACRO_R4_EXIT_ENABLED_DEFAULT,CRYPTO_1YR,,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
STDEV_REJECT_EXIT_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
STDEV_REJECT_EXIT_RETURN,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
STDEV_REJECT_EXIT_RETURN_DEFAULT,CRYPTO_1YR,,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
STOCH_CROSS_3M_EXIT_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
STOCH_CROSS_3M_EXIT_ENABLED_DEFAULT,CRYPTO_1YR,,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
STOCH_CROSS_ENTRY_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
SWING_EXIT_TFS,CRYPTO_1YR,,133,-1.0,4253.2544,REJECTED_INERT,,REJECTED_INERT_REVIEW_ONLY,no,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
SWING_MAX_POSITION_SIZE,CRYPTO_1YR,,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
SYMBOL_PERF_MIN_MULT,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TF_FOCUS_WEIGHT,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TF_FOCUS_WEIGHT_DEFAULT,CRYPTO_1YR,,1,0.0,0.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TIME_ZONE_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_DC_DAYTRADE_MAX_HOLD_MINUTES,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_DC_DAYTRADE_REQUIRE_1H_EXPANSION,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_DC_DAYTRADE_REQUIRE_1H_EXPANSION_DEFAULT,CRYPTO_1YR,,8,0.00375,0.005,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_DC_DAYTRADE_STOP_PCT,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_DC_DAYTRADE_STOP_PCT_DEFAULT,CRYPTO_1YR,,7,0.005,0.005,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_DC_DAYTRADE_TARGET_PCT,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_DC_DAYTRADE_TARGET_PCT_DEFAULT,CRYPTO_1YR,,7,0.0,0.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_ENTRY_SCORE_THRESHOLD,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_FH_MOMENTUM_MFI_CONFIRM,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_FH_MOMENTUM_MIN_MOVE_PCT,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_RATIO_REQUIRE_MIN_GAIN,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_REENTRY_ANTI_CHURN_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_REENTRY_ANTI_CHURN_ENABLED_DEFAULT,CRYPTO_1YR,,5,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_RSI2_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_RSI2_EXIT_THRESHOLD_SHORT,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_STOCH_ENTRY_LONG_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_STOCH_EXTREME_LONG_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRADIER_WT_EXIT_TFS_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRAILING_AUG_ENABLED_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRAILING_AUG_ENABLED_TRADIER_DEFAULT,CRYPTO_1YR,,7,0.0,0.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRA_MIN_HOLD_MINUTES,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRC_CLENOW_POSITION_SIZE,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRC_MAX_DAILY_LOSS_PCT,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
TRC_MINERVINI_LONG_BUDGET,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
