diagram_group,field,diagram_values,diagram_paired_to,diagram_duplicate,inventory_present,connection_status,connected_crypto,connected_tradier,lifecycle_consumers,native_tf_crypto,native_tf_tradier,crystallizer_source_of_truth
LEFTOVER_3_MISC,BREAKEVEN_EXIT_AFTER_BARS_TF,1,LEFTOVER_3_MISC,false,true,CONNECTED_TRADIER,False,True,EXIT|STOP,N/A_NOT_CONNECTED,native=5m;required=5m|15m,current_inventory_contracts
LEFTOVER_3_MISC,BTC_FIB_RECOMPUTE_ON_NEW_HL,2,LEFTOVER_3_MISC,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_3_MISC,CT_15M_MOMENTUM_GATE_ENABLED,2,LEFTOVER_3_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_3_MISC,EMA_DIST_SIZING_MULT,2,LEFTOVER_3_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_3_MISC,FOLLOW_THROUGH_REENTRY_ENABLED,2,LEFTOVER_3_MISC,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_3_MISC,K3M_FLOOR,3,LEFTOVER_3_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_3_MISC,LONG_ENABLED,2,LEFTOVER_3_MISC,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_3_MISC,LR_BAND_SLOPE_FLIP_MIN_PCT_DAY,2,LEFTOVER_3_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_3_MISC,MODE,1,LEFTOVER_3_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_3_MISC,PARABOLIC_PROTECTION_ENABLED,2,LEFTOVER_3_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_3_MISC,PENNY_STOCK_LONG_BLOCK_ENABLED,2,LEFTOVER_3_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_3_MISC,REDIS_CHANNEL_POSITIONS,1,LEFTOVER_3_MISC,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_3_MISC,REGIME_GATE_ENABLED,2,LEFTOVER_3_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_3_MISC,SHORT_ENABLED,2,LEFTOVER_3_MISC,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_3_MISC,STOCH_CROSS_3M_EXIT_ENABLED,2,LEFTOVER_3_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_3_MISC,TRADIER_DC_DAYTRADE_STOP_PCT,2,LEFTOVER_3_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_3_MISC,TRADIER_REENTRY_ANTI_CHURN_ENABLED,2,LEFTOVER_3_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_3_MISC,TRC_CLENOW_POSITION_SIZE,3,LEFTOVER_3_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_3_MISC,TR_MFI4H_LONG_ENABLED,2,LEFTOVER_3_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_3_MISC,WT_DC_ENTRY_K5M_MAX_LONG,3,LEFTOVER_3_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,ATR_ADAPTIVE_SIZING_TARGET_PCT,2,—,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,BREAKEVEN_EXIT_REQUIRE_WT15M_STRUCTURE,2,LEFTOVER_4_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,BTC_HEDGE_SAMESYM_CLOSE_REQUIRE_WT_3M_AND_1H,2,LEFTOVER_4_MISC,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_4_MISC,CT_MFI_15M_LONG_MIN,3,LEFTOVER_4_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_SIDE,1,LEFTOVER_4_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,FUNDING_GATE_LONG_MAX,3,LEFTOVER_4_MISC,false,true,CONNECTED_CRYPTO,True,False,ENTRY,native=3m;required=15m|1h|4h|D,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_4_MISC,K_ZONE_ENTRY_BONUS_TRADIER,3,LEFTOVER_4_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,LONG_STRUCT_EXIT_TF,1,LEFTOVER_4_MISC,false,true,DEFERRED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_4_MISC,MACD_ZERO_CROSS_TF,1,LEFTOVER_4_MISC,false,true,CONNECTED_BOTH,True,True,ENTRY|REENTRY,native=3m;required=1h,native=5m;required=1h,current_inventory_contracts
LEFTOVER_4_MISC,MOMENTUM_FADE_VOL_MIN_TRADIER,3,LEFTOVER_4_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,PARABOLIC_RSI_4H_MIN,3,LEFTOVER_4_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,PROXIMITY_TOP_GATE_ENABLED,2,LEFTOVER_4_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,RED_ZONE_TRADIER_MIN_OI_AT_WALL,3,LEFTOVER_4_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,REGIME_MIN_DWELL_BARS,3,LEFTOVER_4_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,SHORT_STRUCT_EXIT_TF,1,LEFTOVER_4_MISC,false,true,DEFERRED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_4_MISC,SWING_EXIT_TFS,1,LEFTOVER_4_MISC,false,true,REJECTED_INERT,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_4_MISC,TRADIER_DC_DAYTRADE_TARGET_PCT,3,LEFTOVER_4_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,TRADIER_RSI2_ENABLED,2,LEFTOVER_4_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,TRC_MAX_DAILY_LOSS_PCT,3,LEFTOVER_4_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,VOLUME_CONFIRMATION_ENABLED,2,LEFTOVER_4_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_4_MISC,WT_DC_ENTRY_K5M_MIN_SHORT,3,LEFTOVER_4_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_5_MISC,AUGMENTATION_COOLDOWN_MINUTES,3,—,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_5_MISC,BREAKOUT_MULTI_LUNG_COOLDOWN_BARS,3,LEFTOVER_5_MISC,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_5_MISC,BTC_RZ_AS_BOOST_ENABLED,2,LEFTOVER_5_MISC,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_5_MISC,CT_WT_VELOCITY_1H_MIN,3,LEFTOVER_5_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_5_MISC,EZ_REENTRY_PRICE_CROSS_GUARANTEE_ENABLED,2,LEFTOVER_5_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_5_MISC,FUNDING_GATE_SHORT_MIN,3,LEFTOVER_5_MISC,false,true,CONNECTED_CRYPTO,True,False,ENTRY,native=3m;required=15m|1h|4h|D,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_5_MISC,LH_HL_FILTER_DC_THRESHOLD_PCT,3,LEFTOVER_5_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_5_MISC,LR_BAND_E02_EXIT_ENABLED,2,LEFTOVER_5_MISC,false,true,CONNECTED_BOTH,True,True,EXIT|REENTRY|STOP,native=3m;required=4h,native=5m;required=4h,current_inventory_contracts
LEFTOVER_5_MISC,MAX_ORDER_VALUE_MEN,3,LEFTOVER_5_MISC,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_5_MISC,MTF_ARROW_SIZE_GAIN,3,LEFTOVER_5_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_5_MISC,PARTIAL_PROFIT_LOCK_ARM_GAIN_PCT,3,LEFTOVER_5_MISC,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_5_MISC,PROXIMITY_TOP_MAX_DROP_PCT,3,LEFTOVER_5_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_5_MISC,RED_ZONE_TRADIER_STALE_MAX_HOURS,3,LEFTOVER_5_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_5_MISC,REGIME_RANGING_NOLOSS_MIN,3,LEFTOVER_5_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_5_MISC,SMA200_DIST_ENTRY_ENABLED,2,LEFTOVER_5_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_5_MISC,SYMBOL_PERF_MIN_MULT,3,LEFTOVER_5_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_5_MISC,TRADIER_ENTRY_SCORE_THRESHOLD,3,LEFTOVER_5_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_5_MISC,TRADIER_STOCH_EXTREME_LONG_TRADIER,3,LEFTOVER_5_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_5_MISC,TRC_MINERVINI_LONG_BUDGET,3,LEFTOVER_5_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_5_MISC,VWAP_BOUNCE_ENTRY_ENABLED,2,LEFTOVER_5_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_5_MISC,WT_DC_EXIT_ENABLED,2,LEFTOVER_5_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,AUGMENTATION_COOLDOWN_SECONDS,3,—,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,BREAKOUT_TF_SIZE_MULT_D,2,LEFTOVER_6_MISC,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_6_MISC,BTC_RZ_PROXIMITY_PCT,3,LEFTOVER_6_MISC,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_6_MISC,DC_EDGE_SIZING_PERIOD,2,LEFTOVER_6_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,FAST_CUT_LOSS_THRESHOLD,3,LEFTOVER_6_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,GAP_FILL_STOP_MULT,3,LEFTOVER_6_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,LIGHT_MODE,2,LEFTOVER_6_MISC,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_6_MISC,LR_BAND_ENTRY_ENABLED,2,LEFTOVER_6_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,MAX_POSITION_SIZE_MEN,3,LEFTOVER_6_MISC,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_6_MISC,MTF_ENTRY_REQUIRE_GR_FILTER,2,LEFTOVER_6_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,PARTIAL_PROFIT_LOCK_BE_BUFFER_PCT,3,LEFTOVER_6_MISC,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_6_MISC,PYRAMID_MAX_DC_POS_15M_SHORT,2,LEFTOVER_6_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,REENTRY_PULL4_ENABLED,2,LEFTOVER_6_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,RZ_EXIT_ENABLED,2,LEFTOVER_6_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,SMFI_MAX_PER_SIDE,3,LEFTOVER_6_MISC,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
LEFTOVER_6_MISC,TIME_ZONE_ENABLED,2,LEFTOVER_6_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,TRADIER_FH_MOMENTUM_MFI_CONFIRM,2,LEFTOVER_6_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,TRADIER_WT_EXIT_TFS_TRADIER,1,LEFTOVER_6_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,TRC_ROTATION_POSITION_SIZE,3,LEFTOVER_6_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,WT_3M_FORCE_OPEN_SIZE_USD,3,LEFTOVER_6_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
LEFTOVER_6_MISC,WT_EXIT_MIN_TFS,3,LEFTOVER_6_MISC,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
S2_BTC_BEST_CORE,BTC_DEDICATED_ENABLED,2,—,false,true,CONNECTED_CRYPTO,True,False,EXIT,native=3m,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_CORE,BTC_TREND_MODE_ENABLED,2,S2_BTC_BEST_CORE,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_CORE,BTC_RZ_AS_BOOST_ENABLED,2,S2_BTC_BEST_CORE,true,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_CORE,BTC_DIVERGENCE_BLOCK_AGAINST,2,S2_BTC_BEST_CORE,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_CORE,BTC_DIVERGENCE_EXIT_AGAINST,2,S2_BTC_BEST_CORE,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_CORE,BTC_DIVERGENCE_MIN_TF,3,S2_BTC_BEST_CORE,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_BREAKOUT,BTC_BREAKOUT_ENTRY_ENABLED,2,—,false,true,DEFERRED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_BREAKOUT,BTC_BREAKOUT_BLOCK_OPPOSING_DIV,2,S2_BTC_BEST_BREAKOUT,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_BREAKOUT,BTC_BREAKOUT_REQUIRE_HTF_ALIGNED,2,S2_BTC_BEST_BREAKOUT,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_BREAKOUT,BTC_BREAKOUT_HTF_MIN_ALIGNED,3,S2_BTC_BEST_BREAKOUT,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_BREAKOUT,BTC_BREAKOUT_ACCEL_MIN_TFS,3,S2_BTC_BEST_BREAKOUT,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_BREAKOUT,BTC_BREAKOUT_MIN_HOLD_BARS,3,S2_BTC_BEST_BREAKOUT,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_BREAKOUT,BTC_BREAKOUT_COOLDOWN_BARS,3,S2_BTC_BEST_BREAKOUT,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_REENTRY,BTC_REVERSE_ON_EXIT_ENABLED,2,—,false,true,CONNECTED_CRYPTO,True,False,ENTRY|REENTRY,native=3m,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_REENTRY,BTC_FOLLOW_THROUGH_REENTRY_ENABLED,2,S2_BTC_BEST_REENTRY,false,true,CONNECTED_CRYPTO,True,False,REENTRY,native=3m;required=3m|15m|1h|4h|D,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_REENTRY,BTC_FOLLOW_THROUGH_MIN_MOVE_PCT,3,S2_BTC_BEST_REENTRY,false,true,CONNECTED_CRYPTO,True,False,REENTRY,native=3m;required=3m|15m|1h|4h|D,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_REENTRY,BTC_ACCEL_RAMP_MIN_TFS,3,S2_BTC_BEST_REENTRY,false,true,CONNECTED_CRYPTO,True,False,ENTRY|REENTRY,native=3m;required=3m|15m|1h|4h|D,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_REENTRY,BTC_ACCEL_RAMP_REQUIRE_POSITIVE,2,S2_BTC_BEST_REENTRY,false,true,CONNECTED_CRYPTO,True,False,ENTRY|REENTRY,native=3m;required=3m|15m|1h|4h|D,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_REENTRY,BTC_ENTRY_PRIMARY_REQUIRE_RZ,2,S2_BTC_BEST_REENTRY,false,true,CONNECTED_CRYPTO,True,False,ENTRY|REENTRY,native=3m;required=3m|15m|1h|4h|D,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_REENTRY,BTC_ENTRY_PRIMARY_REQUIRE_ACCEL_RAMP,2,S2_BTC_BEST_REENTRY,false,true,CONNECTED_CRYPTO,True,False,ENTRY|REENTRY,native=3m;required=3m|15m|1h|4h|D,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_RISK,BTC_RISK_PATH,3,—,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_RISK,BTC_HARD_LOSS_USD_PER_TRADE,3,S2_BTC_BEST_RISK,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_RISK,BTC_BREAKOUT_HARD_LOSS_USD_PER_TRADE,2,S2_BTC_BEST_RISK,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_RISK,BTC_GUARANTEED_REENTRY_ENABLED,2,S2_BTC_BEST_RISK,false,true,CONNECTED_CRYPTO,True,False,REENTRY,native=3m;required=3m|15m|1h|4h|D,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_RISK,BTC_GUARANTEED_REENTRY_MIN_GAP_BARS,3,S2_BTC_BEST_RISK,false,true,CONNECTED_CRYPTO,True,False,REENTRY,native=3m;required=3m|15m|1h|4h|D,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_RISK,BTC_RZ_USE_FIB,2,S2_BTC_BEST_RISK,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_RISK,BTC_RZ_USE_ROUND,2,S2_BTC_BEST_RISK,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_RISK,BTC_RZ_USE_WT_DC,2,S2_BTC_BEST_RISK,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_RISK,BTC_RZ_PROXIMITY_PCT,3,S2_BTC_BEST_RISK,true,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_GATES,FUNDING_GATE_ENABLED,2,—,true,true,CONNECTED_CRYPTO,True,False,ENTRY,native=3m;required=15m|1h|4h|D,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_GATES,ENTRY_SCORE_THRESHOLD,3,S2_BTC_BEST_GATES,true,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
S2_BTC_BEST_GATES,DC_LOW4_BYPASS_USE_STANDARD,2,S2_BTC_BEST_GATES,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_GATES,MIN_POSITION_SIZE,3,S2_BTC_BEST_GATES,true,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
S2_BTC_BEST_GATES,RZ_BOT_BB_THRESHOLD,3,S2_BTC_BEST_GATES,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
S2_BTC_BEST_EXTRA,RZ_BREAKOUT_ENTRY_ENABLED,2,—,true,true,CONNECTED_BOTH,True,True,ENTRY|REENTRY,native=3m,native=5m,current_inventory_contracts
S2_BTC_BEST_EXTRA,EXIT_SCORER_DC_EXTREME,3,S2_BTC_BEST_EXTRA,true,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
S2_BTC_BEST_EXTRA,REENTRY_RALLY_K15M_MAX,3,S2_BTC_BEST_EXTRA,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
S2_BTC_BEST_EXTRA,HEDGE_DC_SHORT_REJECT_DCP,3,S2_BTC_BEST_EXTRA,true,true,CONNECTED_BOTH,True,True,HEDGE,native=3m;required=15m|1h|4h,native=5m;required=15m|1h|4h,current_inventory_contracts
S2_BTC_BEST_EXTRA,HEDGE_DETERIORATING_GAIN_WINDOW_BARS,3,S2_BTC_BEST_EXTRA,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_EXTRA,AUGMENT_WT_4H_BOUNCE_ENABLED,2,S2_BTC_BEST_EXTRA,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_MISSING_14,BTC_RZ_WT_DC_MULTIFACTOR,2,—,false,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_MISSING_14,BTC_TREND_MODE_ENABLED,2,S2_BTC_BEST_MISSING_14,true,true,VENUE_SPECIFIC_BY_SOURCE,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_MISSING_14,DC_LOW4_BYPASS_USE_STANDARD,2,S2_BTC_BEST_MISSING_14,true,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_MISSING_14,DYNAMIC_SCORE_AUGMENT_ENABLED,2,S2_BTC_BEST_MISSING_14,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_MISSING_14,HEDGE_DETERIORATING_GAIN_WINDOW_BARS,3,S2_BTC_BEST_MISSING_14,true,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_MISSING_14,INTRADAY_SESSION_FORCE_EXIT_UTC,3,S2_BTC_BEST_MISSING_14,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_MISSING_14,PARTIAL_EXIT_FRAC,3,S2_BTC_BEST_MISSING_14,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
S2_BTC_BEST_MISSING_14,QUICK_REENTRY_60MIN_MIN_PCT,3,S2_BTC_BEST_MISSING_14,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
