switch_sheet,switch,switch_value,filter,filter_value,baseline_gain,switch_gain,switch_delta_vs_baseline,new_gain,delta_vs_baseline,delta_vs_switch_alone,baseline_trades,switch_trades,new_trades,delta_trades_vs_baseline,delta_trades_vs_switch,window_days,symside,valid
ENTRY_REVERSAL_BOUNCE,BB_SQUEEZE_ENTRY_ENABLED,False,ATR_TRAIL_FILTER_TF,D,0.482450,0.482450,0.000000,1.049937,0.567488,0.567488,186,186,186,0,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_SQUEEZE_ENTRY_ENABLED,False,ATR_TRAIL_FILTER_TF,4h,0.482450,0.482450,0.000000,-0.083739,-0.566189,-0.566189,186,186,181,-5,-5,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_SQUEEZE_ENTRY_ENABLED,False,ATR_TRAIL_FILTER_TF,1h,0.482450,0.482450,0.000000,-0.166073,-0.648523,-0.648523,186,186,186,0,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_SQUEEZE_ENTRY_ENABLED,False,ATR_TRAIL_FILTER_TF,15m,0.482450,0.482450,0.000000,0.482450,0.000000,0.000000,186,186,186,0,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_SQUEEZE_ENTRY_ENABLED,False,BANDAID_OFF_LOSER_RECOVER_PCT,0,0.482450,0.482450,0.000000,0.482450,0.000000,0.000000,186,186,186,0,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,15m,ADX_RANGING_THRESHOLD,20,0.482450,0.482450,0.000000,-0.467584,-0.950034,-0.950034,186,186,182,-4,-4,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,15m,ADX_RANGING_THRESHOLD,25,0.482450,0.482450,0.000000,0.099654,-0.382796,-0.382796,186,186,182,-4,-4,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,15m,ADX_RANGING_THRESHOLD,15,0.482450,0.482450,0.000000,0.110801,-0.371649,-0.371649,186,186,185,-1,-1,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,15m,ADX_RANGING_THRESHOLD,10,0.482450,0.482450,0.000000,0.099654,-0.382796,-0.382796,186,186,182,-4,-4,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,15m,ATR_TRAIL_FILTER_TF,OFF,0.482450,0.482450,0.000000,0.482450,0.000000,0.000000,186,186,186,0,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,15m,ATR_TRAIL_FILTER_TF,D,0.482450,0.482450,0.000000,1.049937,0.567488,0.567488,186,186,186,0,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,15m,ATR_TRAIL_FILTER_TF,4h,0.482450,0.482450,0.000000,-0.083739,-0.566189,-0.566189,186,186,181,-5,-5,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,15m,ATR_TRAIL_FILTER_TF,1h,0.482450,0.482450,0.000000,-0.166073,-0.648523,-0.648523,186,186,186,0,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,15m,ATR_TRAIL_FILTER_TF,15m,0.482450,0.482450,0.000000,0.482450,0.000000,0.000000,186,186,186,0,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,15m,BANDAID_OFF_LOSER_RECOVER_PCT,0,0.482450,0.482450,0.000000,0.482450,0.000000,0.000000,186,186,186,0,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,OFF,ADX_RANGING_THRESHOLD,20,0.482450,0.099654,-0.382796,0.099654,-0.382796,0.000000,186,182,182,-4,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,OFF,ADX_RANGING_THRESHOLD,25,0.482450,0.099654,-0.382796,-0.331334,-0.813784,-0.430988,186,182,186,0,4,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,OFF,ADX_RANGING_THRESHOLD,15,0.482450,0.099654,-0.382796,0.099654,-0.382796,0.000000,186,182,182,-4,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,OFF,ADX_RANGING_THRESHOLD,10,0.482450,0.099654,-0.382796,2.345931,1.863481,2.246277,186,182,189,3,7,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,OFF,ATR_TRAIL_FILTER_TF,OFF,0.482450,0.099654,-0.382796,-0.423095,-0.905545,-0.522749,186,182,186,0,4,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,OFF,ATR_TRAIL_FILTER_TF,D,0.482450,0.099654,-0.382796,-0.083739,-0.566189,-0.183394,186,182,181,-5,-1,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,OFF,ATR_TRAIL_FILTER_TF,4h,0.482450,0.099654,-0.382796,-0.151278,-0.633728,-0.250932,186,182,186,0,4,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,OFF,ATR_TRAIL_FILTER_TF,1h,0.482450,0.099654,-0.382796,-0.166073,-0.648523,-0.265727,186,182,186,0,4,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,OFF,ATR_TRAIL_FILTER_TF,15m,0.482450,0.099654,-0.382796,0.099654,-0.382796,0.000000,186,182,182,-4,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,BB_PULLBACK_GATE_TF,OFF,BANDAID_OFF_LOSER_RECOVER_PCT,0,0.482450,0.099654,-0.382796,0.099654,-0.382796,0.000000,186,182,182,-4,0,30,SNDK_LONG,True
