switch,value,mean_delta,n_keys_positive,verdict,best_value_for_switch,best_value_mean_delta,ARM_LONG,AXTI_SHORT,HAO_SHORT,MNTS_SHORT,MU_LONG,NVDA_LONG,ROKU_LONG,TTD_SHORT,tim_ARM_LONG,tim_AXTI_SHORT,tim_HAO_SHORT,tim_MNTS_SHORT,tim_MU_LONG,tim_NVDA_LONG,tim_ROKU_LONG,tim_TTD_SHORT
WT_LEVEL_MAX_D,-20,-1.4472,1,REDO_FUNCTION,20,-0.9725,-8.909,-0.077,-1.109,-0.581,-1.412,-3.417,7.275,-3.348,18.0,60.3,40.5,45.9,11.6,15.8,17.9,23.3
RSI_MAX_1h,60,-1.467,1,REDO_FUNCTION,80,-0.2755,-6.064,-0.668,-1.583,-0.801,-0.794,-2.247,0.843,-0.422,40.3,56.4,42.0,43.2,35.0,36.1,41.7,37.5
BB_MAX_1h,0.9,-1.4674,1,REDO_FUNCTION,1.0,-1.2519,-5.965,-0.659,-1.487,-0.778,-0.812,-2.482,0.544,-0.1,43.9,56.6,44.5,42.8,39.7,40.6,41.2,37.5
DCPOS_MAX_1h,0.7,-1.5016,1,REDO_FUNCTION,1.0,0.0,-6.971,-0.867,-0.458,-0.826,-0.94,-2.868,1.3,-0.383,36.9,49.6,38.9,42.5,31.5,31.6,35.2,31.4
DCPOS_MAX_15m,0.7,-1.5091,1,REDO_FUNCTION,1.0,0.0,-2.788,-1.797,-2.713,-2.149,-0.475,-1.383,2.484,-3.252,42.1,30.1,29.0,36.3,36.1,38.0,36.4,24.5
STOCH_MIN_4h,30,-1.5304,1,REDO_FUNCTION,10,-0.7977,-3.559,-2.097,-1.834,-3.581,-0.51,-1.918,3.649,-2.393,33.4,24.6,25.7,14.8,35.5,33.9,36.7,31.0
WT_LEVEL_MAX_1h,20,-1.5305,1,REDO_FUNCTION,20,-1.5305,-6.552,-1.159,-2.389,-1.054,-0.878,-2.365,4.459,-2.306,30.9,42.5,36.4,41.3,27.0,26.9,29.2,30.0
EMA_DIST_15m,-0.02,-1.5386,1,REDO_FUNCTION,-0.05,-0.8173,-2.166,-1.535,-4.341,-1.834,-0.277,-0.926,0.646,-1.876,46.7,48.4,34.8,30.6,45.6,46.5,47.7,43.8
RSI_MAX_D,60,-1.5396,1,REDO_FUNCTION,80,-0.7604,-5.79,-1.649,-0.13,-3.867,-0.984,-1.76,2.298,-0.435,37.0,40.9,37.0,29.4,29.7,34.5,37.3,36.8
RSI_MIN_15m,45,-1.5538,1,REDO_FUNCTION,30,-0.4486,-5.974,-1.259,-2.275,-1.428,-0.736,-2.989,4.269,-2.038,31.1,49.6,39.3,34.1,30.6,26.8,36.7,36.5
SMA200_DIST_15m,-0.05,-1.5825,1,REDO_FUNCTION,-0.1,-0.8839,-2.358,-1.433,-4.278,-2.128,-0.322,-0.951,0.444,-1.634,45.3,27.3,29.5,20.2,46.0,47.5,47.6,42.1
EMA_DIST_1h,-0.05,-1.586,1,REDO_FUNCTION,-0.05,-1.586,-1.867,-1.418,-4.793,-2.096,-0.281,-0.748,0.006,-1.491,47.7,33.0,29.6,21.0,47.0,47.8,48.9,43.6
DCPOS_MAX_4h,0.5,-1.5886,1,REDO_FUNCTION,1.0,0.0,-7.924,-0.509,-0.54,-0.224,-1.299,-3.987,3.686,-1.912,27.0,51.3,38.4,45.8,21.7,20.1,26.1,24.7
STOCH_MAX_1h,70,-1.5986,1,REDO_FUNCTION,90,-0.5594,-4.347,-2.127,-2.504,-1.791,-0.661,-2.278,2.802,-1.883,36.1,45.4,34.5,39.5,34.1,31.7,33.6,28.6
MFI_MIN_15m,40,-1.6081,1,REDO_FUNCTION,30,-0.9384,-5.275,-1.654,-2.812,-1.597,-0.838,-2.932,4.07,-1.827,30.2,37.3,29.6,31.0,27.4,27.9,30.3,32.8
ADX_MIN_D,25,-1.6252,1,REDO_FUNCTION,10,-0.1407,-5.503,-0.7,-0.545,-3.749,-0.638,-3.207,4.611,-3.271,26.3,51.7,36.1,12.1,27.7,20.5,28.8,23.7
XCONF_EMA_15m,on,-1.628,1,REDO_FUNCTION,on,-1.628,-4.856,-1.56,-3.592,-2.878,-0.52,-1.916,5.429,-3.131,79.0,89.4,81.1,92.5,77.8,74.7,78.0,75.5
XCONF_RSI_4h,on,-1.6374,1,REDO_FUNCTION,on,-1.6374,-3.858,-3.038,-6.39,-4.175,-0.323,-0.878,7.562,-1.999,78.6,98.7,94.7,99.7,79.4,77.8,80.9,73.6
BB_MAX_15m,0.8,-1.6443,1,REDO_FUNCTION,1.0,-1.0744,-2.304,-1.831,-3.678,-2.845,-0.349,-1.082,2.248,-3.313,48.3,48.1,30.7,34.9,43.7,44.0,38.5,27.3
STOCH_MIN_1h,40,-1.6469,1,REDO_FUNCTION,10,-0.4894,-4.46,-1.97,-1.951,-2.519,-0.676,-2.312,4.573,-3.86,29.5,36.0,31.8,23.5,28.4,28.5,30.6,28.2
BB_MAX_1h,0.8,-1.6565,1,REDO_FUNCTION,1.0,-1.2519,-7.041,-0.703,-1.644,-0.98,-0.947,-2.978,1.234,-0.193,39.0,50.3,42.8,41.4,33.6,34.8,36.2,33.1
MFI_MIN_D,30,-1.6604,1,REDO_FUNCTION,30,-1.6604,-1.246,-1.796,-4.994,-3.349,-0.215,-0.837,1.129,-1.975,46.1,44.7,24.5,19.6,44.3,45.0,46.2,36.7
MFI_MIN_1h,40,-1.6912,1,REDO_FUNCTION,30,-1.2761,-3.832,-2.36,-3.133,-2.966,-0.511,-1.793,4.735,-3.67,32.0,35.9,31.4,18.4,32.7,31.1,31.8,29.7
VOL_BAND_D,3.0,-1.7084,2,REDO_FUNCTION,0.5,-1.0438,-1.108,-2.968,-5.258,-3.081,-0.46,2.923,-4.348,0.633,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
WT_LEVEL_MAX_4h,-20,-1.7407,1,REDO_FUNCTION,20,-1.1125,-8.378,-0.487,-3.555,-0.297,-1.328,-3.09,6.901,-3.692,20.2,53.3,24.9,46.3,14.4,15.9,18.9,20.5
XCONF_RSI_D,on,-1.7481,1,REDO_FUNCTION,on,-1.7481,-4.0,-3.41,-7.534,-3.173,-0.442,-0.996,8.184,-2.614,78.4,100.0,100.0,73.0,80.8,79.7,83.9,77.2
XCONF_STOCH_15m,on,-1.7546,1,REDO_FUNCTION,on,-1.7546,-5.988,-1.525,-3.051,-1.836,-0.807,-2.916,6.121,-4.035,79.5,87.5,83.1,81.2,79.7,79.3,77.8,78.5
BB_MAX_4h,0.5,-1.7637,1,REDO_FUNCTION,1.0,-0.5644,-8.346,-0.449,-1.613,-1.094,-1.306,-3.666,4.274,-1.91,26.4,51.5,32.9,39.4,21.9,20.6,24.0,24.4
VOL_BAND_D,1.0,-1.7706,1,REDO_FUNCTION,0.5,-1.0438,-2.668,-2.552,-4.589,-2.816,-0.592,0.622,-0.917,-0.653,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
STOCH_MAX_4h,70,-1.771,1,REDO_FUNCTION,90,-1.0099,-4.549,-2.169,-3.229,-2.981,-0.694,-1.966,3.186,-1.766,35.9,37.1,24.3,31.3,30.5,31.3,36.8,34.3
MFI_MIN_4h,40,-1.7831,1,REDO_FUNCTION,30,-1.0448,-3.418,-2.839,-1.467,-3.56,-0.477,-2.068,2.434,-2.87,36.1,20.6,31.7,10.3,37.0,35.7,35.0,33.5
STOCH_MIN_15m,40,-1.7974,1,REDO_FUNCTION,10,-0.574,-6.007,-2.04,-3.293,-1.996,-0.766,-2.428,4.875,-2.724,30.0,50.6,26.7,38.0,27.9,24.0,29.7,33.1
WT_LEVEL_MAX_D,-40,-1.8036,1,REDO_FUNCTION,20,-0.9725,-9.974,-0.077,-2.332,-0.581,-1.571,-4.216,8.277,-3.955,13.0,60.3,29.7,45.9,8.2,9.2,11.7,18.3
DCPOS_MAX_D,0.3,-1.8115,1,REDO_FUNCTION,1.0,0.0,-10.466,-0.643,-0.669,-0.329,-1.571,-5.1,6.842,-2.556,17.0,51.0,26.3,44.4,13.1,9.0,14.5,18.5
WT_LEVEL_MAX_15m,20,-1.8157,1,REDO_FUNCTION,20,-1.8157,-4.9,-1.518,-3.756,-2.093,-0.728,-2.147,3.437,-2.821,38.1,37.2,29.6,37.2,31.9,33.9,34.9,26.1
VOL_BAND_D,2.0,-1.8482,1,REDO_FUNCTION,0.5,-1.0438,-2.083,-2.896,-5.232,-3.185,-0.562,1.726,-2.494,-0.06,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
BB_MAX_1h,0.7,-1.8976,1,REDO_FUNCTION,1.0,-1.2519,-7.755,-0.907,-2.113,-1.103,-1.037,-3.343,1.805,-0.728,34.3,43.6,37.6,39.2,30.3,29.7,32.3,27.9
WT_DIR_1h,on,-1.902,1,REDO_FUNCTION,on,-1.902,-4.485,-2.578,-4.192,-2.559,-0.598,-1.981,7.395,-6.218,23.0,43.9,27.4,26.8,23.5,18.4,23.9,28.1
RSI_MIN_1h,45,-1.9085,1,REDO_FUNCTION,30,-0.6661,-2.665,-2.529,-4.568,-3.447,-0.405,-1.57,5.173,-5.257,33.0,25.0,31.9,12.3,32.7,32.5,35.1,29.8
SMA200_DIST_1h,-0.1,-1.916,1,REDO_FUNCTION,-0.1,-1.916,-2.229,-2.232,-5.39,-3.391,-0.236,-0.922,0.493,-1.421,46.9,25.4,27.8,10.6,46.4,47.7,49.0,40.4
ADX_MIN_4h,25,-1.9232,1,REDO_FUNCTION,10,-0.1244,-4.858,-2.927,-0.173,-5.151,-0.743,-2.799,5.05,-3.785,26.6,23.2,41.0,3.0,27.2,20.8,25.1,22.0
XCONF_DC_D,on,-1.9579,1,REDO_FUNCTION,on,-1.9579,-4.193,-3.059,-7.341,-4.64,-0.401,-1.056,7.273,-2.246,78.6,99.3,91.7,100.0,79.9,78.3,80.7,74.7
BB_MAX_15m,0.7,-1.9858,1,REDO_FUNCTION,1.0,-1.0744,-3.322,-2.064,-4.293,-3.424,-0.532,-1.354,3.013,-3.91,44.2,30.7,25.3,27.5,38.0,39.8,33.0,23.1
STOCH_MIN_4h,40,-1.9925,1,REDO_FUNCTION,10,-0.7977,-4.86,-2.194,-3.031,-3.887,-0.681,-2.433,4.302,-3.156,28.9,23.4,22.1,12.0,30.0,29.3,31.1,25.3
STOCH_MAX_15m,60,-2.0066,1,REDO_FUNCTION,90,-0.5743,-4.409,-1.593,-4.478,-3.167,-0.67,-1.941,3.383,-3.178,34.4,24.1,25.3,19.4,34.1,35.3,36.7,23.3
XCONF_STOCH_D,on,-2.007,1,REDO_FUNCTION,on,-2.007,-3.694,-3.41,-4.873,-4.64,-0.51,-1.653,5.905,-3.181,73.7,100.0,86.5,100.0,72.2,72.1,74.4,74.5
XCONF_DC_15m,on,-2.0249,1,REDO_FUNCTION,on,-2.0249,-6.642,-1.564,-4.066,-2.941,-0.771,-2.575,6.589,-4.229,83.3,88.3,94.1,93.9,83.5,78.6,78.5,79.2
XCONF_RSI_15m,on,-2.0315,1,REDO_FUNCTION,on,-2.0315,-6.778,-1.436,-3.788,-2.842,-0.752,-2.719,6.335,-4.272,82.4,91.1,90.7,94.2,83.2,77.5,77.4,80.9
WT_DIR_4h,on,-2.0359,1,REDO_FUNCTION,on,-2.0359,-4.676,-2.822,-2.738,-3.309,-0.711,-2.58,6.075,-5.526,26.6,23.2,30.9,20.2,25.8,26.2,26.9,23.1
WT_DIR_D,on,-2.0687,1,REDO_FUNCTION,on,-2.0687,-5.53,-2.28,-3.266,-2.02,-0.756,-3.112,5.731,-5.317,25.3,38.9,29.5,38.3,26.5,25.2,27.3,24.5
ADX_MIN_D,30,-2.0853,1,REDO_FUNCTION,10,-0.1407,-7.695,-1.021,-0.614,-5.449,-1.01,-4.044,7.442,-4.291,15.4,50.2,35.7,2.0,17.7,15.5,16.1,18.3
WT_LEVEL_MAX_4h,-40,-2.0868,1,REDO_FUNCTION,20,-1.1125,-9.645,-0.998,-4.162,-0.297,-1.482,-3.707,7.834,-4.237,15.5,50.2,16.2,46.3,10.1,12.2,12.6,15.4
DCPOS_MAX_1h,0.5,-2.0969,1,REDO_FUNCTION,1.0,0.0,-8.997,-1.452,-1.314,-1.67,-1.246,-3.94,3.285,-1.441,28.0,38.8,30.8,38.3,24.1,23.5,24.5,22.5
STOCH_MAX_1h,60,-2.0973,1,REDO_FUNCTION,90,-0.5594,-5.831,-2.344,-3.684,-2.488,-0.788,-2.818,3.807,-2.632,31.1,42.5,21.1,36.6,29.7,27.6,29.4,25.4
WT_LEVEL_MAX_1h,0,-2.1026,1,REDO_FUNCTION,20,-1.5305,-7.555,-1.41,-4.706,-1.289,-0.998,-2.764,5.054,-3.153,27.6,40.2,23.3,39.9,22.7,23.2,24.6,24.7
STOCH_MIN_D,10,-2.1254,1,REDO_FUNCTION,10,-2.1254,-2.046,-3.89,-4.391,-5.641,-0.163,-0.665,1.358,-1.565,44.1,2.4,21.6,0.0,43.6,43.8,45.6,38.9
MFI_MIN_15m,50,-2.129,1,REDO_FUNCTION,30,-0.9384,-7.579,-2.015,-3.302,-2.151,-1.148,-3.855,5.856,-2.838,24.2,27.8,24.3,26.8,21.6,21.6,24.9,26.9
STOCH_MAX_4h,60,-2.1534,1,REDO_FUNCTION,90,-1.0099,-5.683,-2.584,-3.523,-3.983,-0.829,-2.492,4.499,-2.632,31.7,34.2,19.6,26.6,26.8,27.2,30.5,28.6
XCONF_EMA_1h,on,-2.1916,1,REDO_FUNCTION,on,-2.1916,-4.896,-2.298,-6.067,-3.636,-0.588,-1.87,5.159,-3.337,76.9,92.1,84.8,97.2,78.7,75.7,77.8,75.8
MFI_MIN_1h,50,-2.2288,1,REDO_FUNCTION,30,-1.2761,-5.13,-2.925,-4.111,-3.837,-0.71,-2.487,6.535,-5.165,26.0,21.8,27.1,14.9,26.2,24.5,24.6,23.7
WT_DIR_15m,on,-2.238,1,REDO_FUNCTION,on,-2.238,-8.99,-1.84,-3.631,-1.947,-1.212,-4.152,6.684,-2.816,14.5,40.3,31.2,35.9,12.4,9.6,25.9,35.5
ADX_MIN_15m,25,-2.265,1,REDO_FUNCTION,10,-0.057,-7.051,-2.252,-3.842,-3.106,-0.96,-2.917,6.414,-4.406,19.2,26.1,17.2,18.3,19.4,20.6,17.0,16.7
STOCH_MAX_D,90,-2.2721,1,REDO_FUNCTION,90,-2.2721,-2.317,-3.89,-5.984,-5.384,-0.264,-0.954,1.449,-0.833,43.9,2.4,6.7,2.8,41.5,40.1,45.2,39.7
WT_LEVEL_MAX_15m,0,-2.2848,1,REDO_FUNCTION,20,-1.8157,-6.032,-1.945,-4.3,-3.43,-0.974,-2.771,4.717,-3.543,31.1,23.6,15.7,31.7,24.3,29.3,28.8,19.5
RSI_MIN_15m,50,-2.2936,1,REDO_FUNCTION,30,-0.4486,-7.804,-2.182,-3.631,-2.053,-1.005,-3.913,5.692,-3.453,19.4,32.5,29.5,20.9,22.8,19.2,27.6,28.7
DCPOS_MAX_4h,0.3,-2.2974,1,REDO_FUNCTION,1.0,0.0,-10.438,-1.662,-1.179,-1.467,-1.579,-5.092,6.015,-2.977,17.8,42.3,22.9,38.2,13.6,11.5,16.4,15.1
EMA_DIST_1h,-0.02,-2.3045,1,REDO_FUNCTION,-0.05,-1.586,-3.789,-2.523,-5.038,-3.48,-0.55,-2.022,1.599,-2.633,38.4,22.7,26.7,9.4,39.5,41.0,41.1,36.0
XCONF_WT_15m,on,-2.3061,1,REDO_FUNCTION,on,-2.3061,-7.806,-1.539,-3.651,-2.478,-0.939,-3.21,5.97,-4.796,87.2,91.6,94.1,86.8,84.9,84.6,75.1,87.7
RSI_MIN_4h,40,-2.3331,1,REDO_FUNCTION,30,-1.4104,-1.711,-3.471,-7.012,-4.584,-0.178,-0.7,2.974,-3.983,41.0,14.1,18.1,8.6,41.7,41.8,43.0,32.0
DCPOS_MAX_15m,0.5,-2.3339,1,REDO_FUNCTION,1.0,0.0,-5.16,-2.264,-4.202,-3.65,-0.811,-2.455,4.522,-4.651,32.3,21.2,18.1,18.7,28.2,30.5,26.0,17.8
BB_MAX_1h,0.5,-2.3403,1,REDO_FUNCTION,1.0,-1.2519,-9.272,-1.6,-2.833,-2.003,-1.22,-3.941,3.275,-1.128,28.0,38.9,26.0,35.6,24.6,23.2,24.3,22.9
RSI_MIN_D,30,-2.3825,1,REDO_FUNCTION,30,-2.3825,-0.697,-3.939,-8.533,-3.717,-0.049,-0.192,0.518,-2.451,48.3,5.8,0.0,30.1,47.6,46.7,50.1,39.4
MFI_MIN_D,40,-2.3942,1,REDO_FUNCTION,30,-1.6604,-2.285,-4.029,-5.009,-4.548,-0.362,-1.857,2.581,-3.645,38.9,4.8,24.1,13.7,37.8,38.7,39.6,28.3
STOCH_MIN_D,20,-2.405,1,REDO_FUNCTION,10,-2.1254,-3.49,-3.89,-4.406,-5.641,-0.438,-1.934,2.52,-1.961,37.6,2.4,21.3,0.0,37.7,36.7,39.2,35.5
RSI_MIN_1h,50,-2.4243,1,REDO_FUNCTION,30,-0.6661,-3.69,-3.15,-6.185,-4.448,-0.582,-2.312,6.949,-5.976,25.5,21.3,19.4,8.1,25.9,26.0,26.1,23.4
BB_MAX_15m,0.5,-2.4769,1,REDO_FUNCTION,1.0,-1.0744,-4.739,-2.318,-5.313,-3.91,-0.768,-2.184,4.394,-4.977,34.0,15.2,18.4,17.2,29.1,32.0,26.0,15.5
STOCH_MAX_15m,50,-2.5144,1,REDO_FUNCTION,90,-0.5743,-5.549,-2.083,-5.095,-3.88,-0.867,-2.752,4.396,-4.285,29.9,17.0,21.6,11.2,28.5,29.8,29.0,17.2
MFI_MIN_4h,50,-2.516,1,REDO_FUNCTION,30,-1.0448,-5.756,-3.578,-2.451,-4.446,-0.703,-3.328,4.593,-4.459,26.7,11.0,27.2,4.5,28.0,26.8,26.4,25.2
SMA200_DIST_1h,-0.05,-2.5214,1,REDO_FUNCTION,-0.1,-1.916,-3.761,-2.965,-5.492,-3.932,-0.483,-2.001,1.752,-3.289,39.5,13.9,25.8,3.8,40.2,43.4,42.8,34.1
WT_LEVEL_MAX_1h,-20,-2.5286,1,REDO_FUNCTION,20,-1.5305,-8.723,-1.721,-5.656,-1.883,-1.131,-3.287,6.301,-4.129,22.5,37.3,16.6,37.8,18.5,17.9,19.9,19.2
EMA_DIST_15m,0.0,-2.5826,1,REDO_FUNCTION,-0.05,-0.8173,-5.739,-2.573,-4.902,-3.152,-0.778,-3.221,4.436,-4.732,22.3,29.9,26.6,11.4,25.2,23.1,26.4,24.7
SMA200_DIST_15m,0.0,-2.5856,1,REDO_FUNCTION,-0.1,-0.8839,-5.713,-2.763,-4.659,-3.793,-0.84,-3.47,4.876,-4.323,25.3,16.4,17.9,11.0,27.0,25.6,26.2,21.7
ADX_MIN_4h,30,-2.6214,1,REDO_FUNCTION,10,-0.1244,-7.751,-3.71,-1.293,-5.46,-1.032,-4.112,7.053,-4.666,16.0,16.1,36.0,1.9,20.2,11.1,16.8,17.5
XCONF_EMA_4h,on,-2.6228,1,REDO_FUNCTION,on,-2.6228,-5.864,-3.156,-7.687,-4.235,-0.652,-2.233,6.31,-3.465,79.2,98.9,94.9,99.0,81.5,79.2,82.8,76.7
STOCH_MAX_1h,50,-2.6283,1,REDO_FUNCTION,90,-0.5594,-7.053,-2.493,-5.538,-3.394,-0.998,-3.321,4.835,-3.064,27.4,31.9,17.8,30.0,25.0,23.7,25.3,22.4
STOCH_MAX_4h,50,-2.6349,1,REDO_FUNCTION,90,-1.0099,-6.708,-3.038,-4.651,-4.245,-0.998,-3.224,5.421,-3.636,27.7,26.8,18.0,24.9,23.8,22.7,26.7,24.0
STOCH_MIN_D,30,-2.675,1,REDO_FUNCTION,10,-2.1254,-4.895,-3.89,-4.54,-5.641,-0.661,-2.785,3.6,-2.588,32.9,2.4,20.8,0.0,33.9,32.2,34.2,31.8
STOCH_MAX_D,80,-2.6883,1,REDO_FUNCTION,90,-2.2721,-3.754,-3.89,-7.474,-5.384,-0.48,-1.547,2.257,-1.234,38.4,2.4,5.9,2.8,36.0,35.4,41.3,35.1
RSI_MIN_D,40,-2.7074,1,REDO_FUNCTION,30,-2.3825,-1.763,-4.408,-8.533,-3.717,-0.141,-0.861,2.342,-4.578,40.6,0.0,0.0,30.1,42.9,43.4,44.4,29.8
MFI_MIN_1h,60,-2.7205,1,REDO_FUNCTION,30,-1.2761,-6.764,-3.206,-5.004,-4.187,-0.959,-3.436,7.911,-6.119,17.4,15.9,20.8,8.1,18.2,17.7,16.8,17.0
ADX_MIN_D,40,-2.7435,1,REDO_FUNCTION,10,-0.1407,-10.195,-2.819,-0.605,-5.641,-1.442,-5.603,10.118,-5.761,5.5,28.9,31.7,0.0,7.8,4.5,1.4,9.0
RSI_MIN_15m,55,-2.7584,1,REDO_FUNCTION,30,-0.4486,-9.189,-2.57,-5.006,-2.697,-1.278,-4.645,7.606,-4.288,9.7,23.3,16.1,10.9,14.3,12.4,16.5,21.0
EMA_DIST_1h,0.0,-2.7873,1,REDO_FUNCTION,-0.05,-1.586,-6.026,-3.046,-4.899,-4.355,-0.827,-3.463,4.563,-4.245,25.1,14.9,21.1,5.4,26.7,25.7,25.7,22.0
RSI_MIN_4h,45,-2.7909,1,REDO_FUNCTION,30,-1.4104,-3.003,-4.122,-7.487,-5.194,-0.318,-1.469,4.357,-5.091,34.6,8.5,8.0,5.6,36.0,34.4,36.1,27.1
SMA200_DIST_4h,-0.1,-2.7966,1,REDO_FUNCTION,-0.1,-2.7966,-3.158,-2.896,-8.38,-3.325,-0.258,-1.354,0.98,-3.982,41.5,14.2,10.9,10.1,42.6,45.3,45.6,26.1
XCONF_EMA_D,on,-2.8019,1,REDO_FUNCTION,on,-2.8019,-6.454,-3.352,-7.697,-3.761,-0.854,-2.558,6.622,-4.361,78.3,99.1,94.8,97.3,83.3,82.4,84.5,79.7
RSI_MIN_1h,55,-2.8379,1,REDO_FUNCTION,30,-0.6661,-5.239,-3.629,-6.693,-5.217,-0.786,-3.132,8.683,-6.69,18.3,12.6,9.1,3.8,20.5,18.5,18.1,14.8
MFI_MIN_15m,60,-2.8434,1,REDO_FUNCTION,30,-0.9384,-9.609,-2.71,-4.172,-3.354,-1.362,-4.826,7.355,-4.069,19.1,23.7,20.0,22.1,15.6,15.2,19.0,21.5
DCPOS_MAX_1h,0.3,-2.852,1,REDO_FUNCTION,1.0,0.0,-11.095,-2.134,-2.762,-2.955,-1.565,-4.979,5.276,-2.602,18.2,22.4,18.3,31.3,16.6,14.1,15.5,15.4
WT_LEVEL_MAX_15m,-20,-2.8559,1,REDO_FUNCTION,20,-1.8157,-7.765,-2.507,-5.53,-3.993,-1.172,-3.418,6.114,-4.576,22.8,14.7,9.5,18.1,19.6,24.1,23.2,13.7
ADX_MIN_15m,30,-2.8774,1,REDO_FUNCTION,10,-0.057,-9.054,-2.816,-4.854,-3.883,-1.216,-3.904,8.086,-5.378,13.2,21.0,13.6,13.2,12.0,12.4,11.7,10.9
RSI_MIN_D,45,-2.8829,1,REDO_FUNCTION,30,-2.3825,-2.643,-4.408,-8.533,-3.717,-0.306,-1.655,3.596,-5.397,36.1,0.0,0.0,30.1,37.5,37.7,36.7,25.0
MFI_MIN_D,50,-2.9005,1,REDO_FUNCTION,30,-1.6604,-3.582,-4.408,-5.408,-5.311,-0.6,-3.067,4.601,-5.429,32.1,0.0,22.0,2.7,30.6,26.5,28.8,19.5
SMA200_DIST_D,-0.1,-2.9158,1,REDO_FUNCTION,-0.1,-2.9158,-2.824,-2.584,-8.38,-3.234,-0.356,-1.041,0.38,-5.287,41.7,15.8,10.9,10.6,39.0,45.3,48.4,18.5
STOCH_MAX_D,70,-2.9193,1,REDO_FUNCTION,90,-2.2721,-4.907,-3.89,-7.938,-5.384,-0.629,-2.043,3.307,-1.87,31.6,2.4,5.1,2.8,31.2,29.4,35.8,31.7
STOCH_MIN_D,40,-2.9443,1,REDO_FUNCTION,10,-2.1254,-5.97,-3.89,-4.626,-5.641,-0.848,-3.352,4.346,-3.573,28.0,2.4,20.0,0.0,29.3,28.0,29.5,26.8
EMA_DIST_D,-0.05,-2.9866,1,REDO_FUNCTION,-0.05,-2.9866,-3.721,-3.73,-8.403,-3.657,-0.363,-2.073,2.095,-4.041,38.0,4.2,10.9,5.1,41.2,42.7,40.4,24.4
WT_LEVEL_MAX_1h,-40,-3.0193,1,REDO_FUNCTION,20,-1.5305,-9.663,-2.544,-6.031,-3.015,-1.316,-4.027,7.478,-5.036,16.9,34.4,11.5,29.2,14.7,14.1,14.5,14.4
STOCH_MAX_D,60,-3.0198,1,REDO_FUNCTION,90,-2.2721,-5.652,-4.255,-7.947,-5.384,-0.755,-2.434,4.84,-2.571,28.8,0.8,4.6,2.8,26.6,26.0,31.0,27.0
MFI_MIN_4h,60,-3.0411,1,REDO_FUNCTION,30,-1.0448,-7.493,-3.972,-3.377,-5.641,-1.052,-4.171,6.975,-5.598,18.3,7.6,24.8,0.0,20.3,17.7,16.7,16.3
SMA200_DIST_4h,-0.05,-3.0813,1,REDO_FUNCTION,-0.1,-2.7966,-3.998,-3.184,-8.403,-3.848,-0.388,-2.002,2.135,-4.962,37.5,10.5,10.9,4.0,40.7,41.3,39.8,22.0
SMA200_DIST_D,-0.05,-3.1059,1,REDO_FUNCTION,-0.1,-2.9158,-3.641,-3.053,-8.403,-3.537,-0.454,-1.51,1.407,-5.656,37.6,12.5,10.9,5.6,33.9,42.8,42.5,17.4
SMA200_DIST_1h,0.0,-3.1086,1,REDO_FUNCTION,-0.1,-1.916,-5.865,-3.709,-5.681,-4.682,-0.799,-3.425,4.019,-4.727,27.8,8.1,14.6,1.8,28.9,28.9,26.5,22.8
EMA_DIST_4h,-0.05,-3.1281,1,REDO_FUNCTION,-0.05,-3.1281,-3.787,-4.021,-8.403,-4.413,-0.382,-1.899,1.373,-3.493,40.5,2.2,10.9,2.4,42.6,43.7,43.1,32.3
RSI_MIN_4h,50,-3.1299,1,REDO_FUNCTION,30,-1.4104,-4.332,-4.32,-7.563,-5.598,-0.495,-2.359,5.695,-6.067,27.1,5.9,6.0,0.3,30.1,29.5,27.7,22.0
STOCH_MAX_D,50,-3.1369,1,REDO_FUNCTION,90,-2.2721,-6.208,-4.408,-7.946,-5.384,-0.902,-2.76,5.798,-3.285,25.8,0.0,3.9,2.8,22.1,22.3,26.5,22.9
RSI_MIN_D,50,-3.1584,1,REDO_FUNCTION,30,-2.3825,-3.825,-4.408,-8.533,-4.059,-0.443,-2.468,4.876,-6.407,28.5,0.0,0.0,25.2,32.5,29.1,30.1,19.5
RSI_MIN_1h,60,-3.1919,1,REDO_FUNCTION,30,-0.6661,-6.834,-3.802,-6.948,-5.311,-1.045,-3.911,9.571,-7.255,12.4,4.1,2.9,2.8,15.0,12.9,10.1,8.9
DCPOS_MAX_15m,0.3,-3.2084,1,REDO_FUNCTION,1.0,0.0,-7.061,-3.298,-6.321,-4.758,-1.148,-3.468,6.385,-5.998,23.1,11.1,10.9,5.5,18.5,22.5,16.2,9.4
RSI_MIN_15m,60,-3.2545,1,REDO_FUNCTION,30,-0.4486,-10.514,-3.179,-5.82,-3.579,-1.462,-5.262,9.097,-5.317,4.7,9.4,4.8,7.4,8.0,6.7,7.6,13.9
SMA200_DIST_D,0.0,-3.3075,1,REDO_FUNCTION,-0.1,-2.9158,-4.987,-3.514,-8.506,-4.01,-0.521,-2.189,3.128,-5.861,31.7,4.7,6.8,3.5,29.3,38.9,35.4,15.2
EMA_DIST_D,-0.02,-3.308,1,REDO_FUNCTION,-0.05,-2.9866,-4.868,-4.091,-8.585,-3.701,-0.449,-2.766,3.013,-5.017,32.4,2.6,10.0,4.1,38.1,36.9,33.8,20.7
