switch,value,mean_delta,n_keys_positive,verdict,best_value_for_switch,best_value_mean_delta,ARM_LONG,AXTI_SHORT,HAO_SHORT,MNTS_SHORT,MU_LONG,NVDA_LONG,ROKU_LONG,TTD_SHORT,tim_ARM_LONG,tim_AXTI_SHORT,tim_HAO_SHORT,tim_MNTS_SHORT,tim_MU_LONG,tim_NVDA_LONG,tim_ROKU_LONG,tim_TTD_SHORT
ADX_MIN_1h,10,-0.0083,4,RETUNE,20,0.006,-0.004,0.002,0.017,-0.072,-0.003,0.003,0.012,-0.021,52.6,61.0,47.7,46.5,49.3,49.0,51.8,46.4
ADX_MIN_1h,30,-0.0126,2,RETUNE,20,0.006,-0.251,-0.052,-0.049,-0.123,-0.019,-0.17,0.546,0.017,49.3,59.7,42.7,46.0,46.9,46.6,50.2,45.0
ADX_MIN_1h,25,-0.0141,2,RETUNE,20,0.006,-0.116,-0.028,-0.092,-0.102,-0.015,-0.05,0.214,0.076,50.6,60.2,46.8,46.2,48.2,47.7,51.2,45.8
ADX_MIN_15m,10,-0.057,1,REDO_FUNCTION,10,-0.057,-0.239,-0.009,-0.128,-0.078,-0.026,-0.077,0.195,-0.094,50.1,60.8,39.3,46.4,47.4,46.0,48.9,42.5
ADX_MIN_1h,40,-0.0674,1,RETUNE,20,0.006,-0.655,-0.171,-0.373,-0.275,-0.135,-0.468,1.835,-0.297,46.6,49.7,40.2,43.4,45.1,43.7,45.0,42.0
ADX_MIN_4h,10,-0.1244,4,REDO_FUNCTION,10,-0.1244,-0.025,-0.073,0.017,-1.035,-0.003,0.01,0.107,0.007,52.7,60.7,47.7,42.2,50.0,49.0,51.6,46.4
ADX_MIN_D,10,-0.1407,3,REDO_FUNCTION,10,-0.1407,-0.021,-0.256,0.007,-0.86,-0.009,0.003,0.052,-0.042,52.5,59.6,44.1,45.1,49.4,49.0,51.7,46.0
RSI_MAX_15m,80,-0.2223,1,REDO_FUNCTION,80,-0.2223,-0.026,-0.185,-1.284,-0.252,-0.042,-0.028,0.043,-0.004,52.6,60.2,44.3,46.1,49.8,49.0,51.8,45.9
VOL_BAND_1h,0.5,-0.2558,2,RETUNE,3.0,0.6181,-1.074,-0.064,0.878,0.132,-0.088,-0.136,-0.875,-0.819,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
RSI_MAX_1h,80,-0.2755,1,REDO_FUNCTION,80,-0.2755,-0.618,-0.062,-0.549,-0.498,-0.105,-0.237,0.007,-0.142,52.4,60.5,44.7,45.9,48.9,48.6,51.6,46.0
XCONF_WT_1h,on,-0.3225,1,REDO_FUNCTION,on,-0.3225,-3.294,-0.612,-2.102,-1.969,-0.376,-0.941,8.081,-1.367,77.1,79.8,78.3,79.5,75.5,75.1,79.5,74.9
ADX_MIN_D,15,-0.3255,2,REDO_FUNCTION,10,-0.1407,-0.807,-0.382,0.017,-1.214,-0.067,-0.361,0.623,-0.413,47.2,54.6,42.9,44.2,46.3,44.6,48.9,42.8
VOL_BAND_1h,1.0,-0.3761,2,RETUNE,3.0,0.6181,-1.645,-0.128,1.86,0.266,-0.127,-0.113,-1.747,-1.375,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
RSI_MAX_4h,80,-0.3847,2,REDO_FUNCTION,80,-0.3847,-0.607,-0.528,0.017,-1.565,-0.076,-0.185,0.051,-0.185,51.9,53.2,42.9,42.8,48.2,48.1,51.7,45.9
ADX_MIN_4h,15,-0.4129,2,REDO_FUNCTION,10,-0.1244,-0.518,-0.061,0.006,-2.549,-0.118,-0.284,0.748,-0.527,49.7,60.5,47.6,31.1,45.6,45.0,47.0,40.9
ADX_MIN_15m,15,-0.4269,1,REDO_FUNCTION,10,-0.057,-1.627,-0.73,-0.95,-0.876,-0.192,-0.437,2.485,-1.088,38.0,44.1,33.9,37.2,39.0,38.7,38.2,36.3
XCONF_RSI_1h,on,-0.4342,1,REDO_FUNCTION,on,-0.4342,-2.592,-1.462,-3.069,-2.662,-0.261,-0.598,8.143,-0.973,76.4,89.6,82.6,94.6,77.7,74.9,76.9,73.0
RSI_MIN_15m,30,-0.4486,1,REDO_FUNCTION,30,-0.4486,-1.598,-0.249,-0.163,-0.113,-0.228,-1.214,0.626,-0.65,48.9,59.9,44.5,46.1,45.8,44.2,49.8,45.1
STOCH_MIN_1h,10,-0.4894,1,REDO_FUNCTION,10,-0.4894,-0.82,-0.761,-0.338,-1.048,-0.126,-0.633,1.076,-1.265,46.9,56.7,42.0,43.9,44.6,43.4,45.4,42.6
RSI_MAX_15m,70,-0.5453,1,REDO_FUNCTION,80,-0.2223,-0.59,-0.443,-1.863,-0.512,-0.137,-0.308,0.12,-0.629,52.1,58.1,43.5,44.8,48.1,47.8,50.6,43.1
STOCH_MAX_1h,90,-0.5594,1,REDO_FUNCTION,90,-0.5594,-1.662,-0.79,-0.699,-1.148,-0.281,-0.682,0.806,-0.019,48.7,57.0,42.5,43.9,44.7,43.4,44.4,40.3
BB_MAX_4h,1.0,-0.5644,2,REDO_FUNCTION,1.0,-0.5644,-2.678,-0.008,-0.716,0.0,-0.5,-1.106,0.383,0.11,48.1,56.2,45.7,46.6,43.0,44.3,45.5,40.1
BB_MAX_D,1.0,-0.5709,1,REDO_FUNCTION,1.0,-0.5709,-3.267,0.0,-0.097,0.0,-0.342,-1.504,0.656,-0.013,47.3,61.1,47.2,46.6,46.1,41.0,43.9,42.6
STOCH_MIN_15m,10,-0.574,1,REDO_FUNCTION,10,-0.574,-1.34,-0.511,-1.4,-1.018,-0.186,-0.62,0.974,-0.491,48.0,59.1,42.9,45.5,44.5,42.3,46.7,45.3
STOCH_MAX_15m,90,-0.5743,1,REDO_FUNCTION,90,-0.5743,-0.883,-0.779,-1.032,-0.882,-0.131,-0.557,0.579,-0.909,50.6,47.9,38.6,43.5,47.7,46.3,50.0,41.9
DCPOS_MAX_D,0.9,-0.5752,2,REDO_FUNCTION,1.0,0.0,-3.445,0.0,-0.017,0.0,-0.64,-1.405,0.695,0.21,46.3,61.1,47.6,46.6,40.1,41.1,46.0,42.0
DCPOS_MAX_4h,0.9,-0.5971,3,REDO_FUNCTION,1.0,0.0,-3.048,-0.015,0.017,0.0,-0.658,-1.728,0.24,0.415,46.4,60.9,47.4,46.6,39.1,40.3,46.8,41.6
XCONF_WT_D,on,-0.647,1,REDO_FUNCTION,on,-0.647,-3.478,-1.59,-1.709,-1.883,-0.35,-1.175,6.871,-1.862,78.5,81.2,55.1,61.7,76.3,75.5,76.6,72.2
DCPOS_MAX_15m,0.9,-0.6576,1,REDO_FUNCTION,1.0,0.0,-1.114,-0.988,-0.696,-0.808,-0.135,-0.371,0.618,-1.767,50.3,53.3,36.0,42.7,46.8,45.8,44.3,36.1
RSI_MAX_1h,70,-0.6581,1,REDO_FUNCTION,80,-0.2755,-2.496,-0.043,-0.968,-0.539,-0.406,-0.931,-0.02,0.138,48.7,60.1,44.4,45.6,43.6,44.6,48.5,43.7
RSI_MAX_4h,70,-0.663,1,REDO_FUNCTION,80,-0.3847,-2.299,-0.528,-0.103,-1.565,-0.404,-0.774,0.555,-0.186,48.2,53.2,42.4,42.8,41.9,44.0,48.5,44.9
RSI_MIN_1h,30,-0.6661,1,REDO_FUNCTION,30,-0.6661,-0.47,-1.043,-1.258,-1.213,-0.064,-0.409,1.299,-2.171,47.8,53.2,39.8,44.3,46.6,46.6,48.8,41.6
BB_MAX_D,0.9,-0.7444,1,REDO_FUNCTION,1.0,-0.5709,-4.415,0.0,-0.096,0.0,-0.665,-1.96,1.357,-0.176,44.2,61.1,47.1,46.6,39.8,35.9,40.0,39.1
RSI_MAX_D,80,-0.7604,1,REDO_FUNCTION,80,-0.7604,-0.532,-1.649,-0.13,-3.717,-0.129,-0.116,0.319,-0.129,51.2,40.9,37.0,30.1,47.1,47.3,50.7,45.3
XCONF_WT_4h,on,-0.7617,1,REDO_FUNCTION,on,-0.7617,-3.609,-1.751,-1.961,-2.254,-0.262,-1.069,7.041,-2.229,77.2,84.5,72.3,81.6,74.4,72.2,74.3,72.9
XCONF_DC_1h,on,-0.7701,1,REDO_FUNCTION,on,-0.7701,-3.174,-1.179,-4.895,-2.492,-0.257,-1.038,8.208,-1.334,77.0,88.0,84.6,88.6,77.4,74.4,76.7,72.4
STOCH_MIN_4h,10,-0.7977,1,REDO_FUNCTION,10,-0.7977,-1.023,-1.394,-1.037,-3.002,-0.122,-0.446,1.21,-0.568,46.0,47.9,34.8,31.6,44.0,44.0,47.2,41.3
STOCH_MIN_1h,20,-0.8083,1,REDO_FUNCTION,10,-0.4894,-1.783,-1.356,-0.833,-1.418,-0.301,-1.05,2.451,-2.176,40.4,48.5,39.9,29.7,39.8,38.1,39.6,36.4
EMA_DIST_15m,-0.05,-0.8173,1,REDO_FUNCTION,-0.05,-0.8173,-0.565,-0.475,-3.74,-0.852,-0.053,-0.034,0.085,-0.904,51.7,59.1,40.1,43.7,49.5,48.9,51.6,45.8
DCPOS_MAX_1h,0.9,-0.8174,1,REDO_FUNCTION,1.0,0.0,-3.708,-0.128,-0.408,-0.046,-0.584,-1.632,-0.254,0.221,47.8,59.3,46.9,45.2,41.7,42.3,44.6,41.1
VOL_BAND_4h,0.5,-0.8195,1,REDO_FUNCTION,0.5,-0.8195,-1.289,-1.095,-2.124,-1.268,-0.286,0.243,-0.427,-0.31,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
