ts,type,price,qty,pnl_pct,reason
2025-07-21T04:12:00+00:00,OPEN,3770.60595703125,0.0023868842981755733,0.0,WT_PRICE_BREAKOUT_REENTRY_LONG
2025-07-21T05:00:00+00:00,CLOSE,3756.389892578125,0.0023868842981755733,-0.37702333829435414,R1_DC_LOW4_EMERGENCY_via_LH_LL_3M_g-0.38_age48.0m
2025-07-21T05:54:00+00:00,OPEN,3786.77392578125,0.0023766933009028435,0.0,WT_PRICE_BREAKOUT_REENTRY_LONG
2025-07-21T07:30:00+00:00,CLOSE,3789.989990234375,0.0023766933009028435,0.08492887392165861,R1_DC_LOW4_EMERGENCY_via_LH_LL_3M_g0.08_age96.0m
2025-07-21T14:27:00+00:00,OPEN,3848.238037109375,0.004677465185523033,0.0,WT_PRICE_BREAKOUT_REENTRY_LONG
2025-07-21T15:30:00+00:00,CLOSE,3820.760009765625,0.004677465185523033,-0.7140417790888598,R1_DC_LOW4_EMERGENCY_via_3xATR_3M_3.0_g-0.71_age63.0m
2025-07-22T01:39:00+00:00,OPEN,3784.9599609375,0.001426699454896152,0.0,WT_PRICE_BREAKOUT_REENTRY_LONG
2025-07-22T02:45:00+00:00,CLOSE,3739.340087890625,0.001426699454896152,-1.2052934117584528,R1_DC_LOW4_EMERGENCY_via_3xATR_3M_3.0_g-1.21_age66.0m
2025-07-22T15:54:00+00:00,OPEN,3733.498046875,0.0014463647967204452,0.0,WT_PRICE_BREAKOUT_REENTRY_LONG
2025-07-22T16:45:00+00:00,CLOSE,3719.320068359375,0.0014463647967204452,-0.3797505271897009,R1_DC_LOW4_EMERGENCY_via_LH_LL_3M_g-0.38_age51.0m
2025-07-22T23:03:00+00:00,OPEN,3737.97802734375,0.001444631372578442,0.0,WT_PRICE_BREAKOUT_REENTRY_LONG
2025-07-22T23:06:00+00:00,CLOSE,3739.3359375,0.001444631372578442,0.036327398029542365,WT_DC_EXIT_40_g0.04%
2025-07-23T22:57:00+00:00,OPEN,3624.672119140625,0.0014897900400683284,0.0,WT_PRICE_BREAKOUT_REENTRY_LONG
2025-07-24T00:00:00+00:00,CLOSE,3621.199951171875,0.0014897900400683284,-0.09579260839662423,HYBRID_STRUCT_EXIT_D
2025-07-24T03:06:00+00:00,OPEN,3656.944091796875,0.0014766429085284472,0.0,WT_PRICE_BREAKOUT_REENTRY_LONG
2025-07-24T03:45:00+00:00,CLOSE,3642.590087890625,0.0014766429085284472,-0.39251362738764267,R1_DC_LOW4_EMERGENCY_via_LH_LL_3M_g-0.39_age39.0m
2025-07-24T14:33:00+00:00,OPEN,3700.778076171875,0.002431920962408185,0.0,WT_PRICE_BREAKOUT_REENTRY_LONG
2025-07-24T14:57:00+00:00,REDUCE,3762.1298828125,0.0015199506015051156,1.6578083143015152,PPL_TP_gain1.66_62pct
2025-07-24T15:00:00+00:00,CLOSE,3768.389892578125,0.0009119703609030694,1.8269621959117417,MTF_DC_REJECT_1h_px3768.3899
2025-07-25T09:06:00+00:00,OPEN,3683.4560546875,0.002443357603624463,0.0,WT_PRICE_BREAKOUT_REENTRY_LONG
2025-07-25T10:36:00+00:00,CLOSE,3721.23193359375,0.002443357603624463,1.0255553031012028,R1_DC_LOW4_EMERGENCY_via_LH_LL_3M_g1.03_age90.0m
2025-07-25T20:18:00+00:00,OPEN,3668.5439453125,0.002453289460390806,0.0,WT_PRICE_BREAKOUT_REENTRY_LONG
2025-07-25T22:00:00+00:00,REDUCE,3724.010009765625,0.0015333059127442539,1.5119367596508428,PPL_TP_gain1.51_62pct
2025-07-25T22:15:00+00:00,CLOSE,3720.030029296875,0.0009199835476465523,1.4034473827187377,R1_DC_LOW4_EMERGENCY_via_LH_LL_3M_g1.40_age117.0m
2025-07-27T04:39:00+00:00,OPEN,3789.3720703125,0.00237506371922791,0.0,WT_PRICE_BREAKOUT_REENTRY_LONG
