timestamp,position_key,action,reason,side,position_side,price,quantity,gain_pct,is_hedge,entry_price
1773642060,ang:ATOMUSDT_LONG,QUICK_AUGMENT,QUICK_BLOWPAST_g0.9%_wt=2/3_k_run=3%,BUY,LONG,1.897800087928772,5.742047625954339,,False,
1773663840,ang:ATOMUSDT_LONG,QUICK_AUGMENT,QUICK_BLOWPAST_g1.2%_wt=2/3_k_run=6%,BUY,LONG,1.906599998474121,7.464661913740641,,False,
1773677160,ang:ATOMUSDT_LONG,QUICK_AUGMENT,QUICK_BLOWPAST_g1.1%_wt=2/3_k_run=12%,BUY,LONG,1.9100000858306885,9.704060487862833,,False,
1773684000,ang:ATOMUSDT_LONG,QUICK_AUGMENT,QUICK_MAX_GAIN_3PCT_AUGMENT_3.08%,BUY,LONG,1.9528000354766846,9.217533630168203,,False,
1773685080,ang:ATOMUSDT_LONG,QUICK_AUGMENT,QUICK_MAX_GAIN_3PCT_AUGMENT_3.10%,BUY,LONG,1.9639999866485596,9.164969512406081,,False,
1773687780,ang:ATOMUSDT_LONG,QUICK_AUGMENT,QUICK_MAX_GAIN_3PCT_AUGMENT_3.13%,BUY,LONG,1.9737999439239502,9.11946525047299,,False,
1773690480,ang:ATOMUSDT_LONG,QUICK_AUGMENT,QUICK_BLOWPAST_g2.9%_wt=2/3_k_run=6%,BUY,LONG,1.9781999588012695,18.198362526412613,,False,
1773691740,ang:ATOMUSDT_LONG,QUICK_AUGMENT,QUICK_MAX_GAIN_3PCT_AUGMENT_3.05%,BUY,LONG,1.9923999309539795,9.034330768813787,,False,
1773692640,ang:ATOMUSDT_LONG,QUICK_AUGMENT,QUICK_MAX_GAIN_3PCT_AUGMENT_3.17%,BUY,LONG,2.0004000663757324,9.678559046901263,,False,
1773708840,ang:ATOMUSDT_LONG,QUICK_AUGMENT,QUICK_BLOWPAST_g1.7%_wt=2/3_k_run=29%,BUY,LONG,1.9769999980926514,9.104704105900781,,False,
