symbol,side,mode,start,years,trades,pool_sharpe,sym_sharpe,avg_gain_trade,gain_per_yr,gain_sym_yr,max_dd_pct,n_bars,elapsed_s,config_GOLDEN_RULE_HTF_MIN_TFS,config_GOLDEN_RULE_MIN_IND,config_WT_DC_ENTRY_THRESHOLD,config_WT_DC_HTF_GATE,true_gate_GR_HTF,true_gate_WT_DC,true_gate_combined,override_file,summary_path,trades_path,agg_csv,V8_RESULT_line,is_true_gate_2of5
LLY,SHORT,tradier,2024-01-01,0.19107916951859458,1,0.0,0.0,-0.402035968692749,-2.104028239737694,-2.104028239737694,0.0,1221,1.48,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333358_60585.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333358_60585_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333358_60585.csv,V8_RESULT: pool_sharpe=0.000000 sym_sharpe=0.000000 sharpe=0.000000 pnl=-0.4020 trades=1 wins=0 losses=0,True
GDX,LONG,tradier,2024-01-01,0.23584493117347327,27,0.272439,0.0,2.5304070684696773,289.68606833626836,289.68606833626836,28.43351538894487,5198,1.93,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333360_60638.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333360_60638_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333360_60638.csv,V8_RESULT: pool_sharpe=0.272439 sym_sharpe=0.000000 sharpe=0.272439 pnl=+68.3210 trades=27 wins=0 losses=0,True
GDX,SHORT,tradier,2024-01-01,0.23584493117347327,60,0.12303,0.12303,0.7329358427400682,186.4621399560964,186.4621399560964,37.48848802699422,5198,2.71,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333362_60705.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333362_60705_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333362_60705.csv,V8_RESULT: pool_sharpe=0.123030 sym_sharpe=0.123030 sharpe=0.123030 pnl=+43.9762 trades=60 wins=0 losses=0,True
GLD,LONG,tradier,2024-01-01,0.25784280173397217,20,0.050093,0.0,0.14686449312917876,11.391785393389059,11.391785393389059,11.79024149012236,4198,2.33,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333364_60788.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333364_60788_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333364_60788.csv,V8_RESULT: pool_sharpe=0.050093 sym_sharpe=0.000000 sharpe=0.050093 pnl=+2.9373 trades=20 wins=0 losses=0,True
GLD,SHORT,tradier,2024-01-01,0.25784280173397217,61,0.344367,0.344367,1.6412801570395532,388.2911948913315,388.2911948913315,9.745140095105805,4198,2.0,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333367_60870.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333367_60870_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333367_60870.csv,V8_RESULT: pool_sharpe=0.344367 sym_sharpe=0.344367 sharpe=0.344367 pnl=+100.1181 trades=61 wins=0 losses=0,True
IBIT,LONG,tradier,2024-01-01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1230,2.37,2,5,50.0,none,False,False,False,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333369_60912.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333369_60912_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333369_60912.csv,V8_RESULT: pool_sharpe=0.000000 sym_sharpe=0.000000 sharpe=0.000000 pnl=+0.0000 trades=0 wins=0 losses=0,False
IBIT,SHORT,tradier,2024-01-01,0.16698037873602556,122,0.091606,0.091606,0.7988172362212089,583.6356556182711,583.6356556182711,46.66226744520422,1230,1.46,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333371_61006.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333371_61006_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333371_61006.csv,V8_RESULT: pool_sharpe=0.091606 sym_sharpe=0.091606 sharpe=0.091606 pnl=+97.4557 trades=122 wins=0 losses=0,True
HAO,LONG,tradier,2024-01-01,0.29133394174461935,129,0.036577,0.036577,0.5763238854382371,255.19093579114588,255.19093579114588,99.28062814689976,10839,2.17,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333372_61059.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333372_61059_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333372_61059.csv,V8_RESULT: pool_sharpe=0.036577 sym_sharpe=0.036577 sharpe=0.036577 pnl=+74.3458 trades=129 wins=0 losses=0,True
HAO,SHORT,tradier,2024-01-01,0.29133394174461935,274,-0.004238,-0.004238,-0.0750431677273169,-70.57820943949311,-70.57820943949311,99.87187739531014,10839,2.55,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333375_61116.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333375_61116_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333375_61116.csv,V8_RESULT: pool_sharpe=-0.004238 sym_sharpe=-0.004238 sharpe=-0.004238 pnl=-20.5618 trades=274 wins=0 losses=0,True
ASTS,LONG,tradier,2024-01-01,0.21438892691459427,42,0.387146,0.387146,2.9161829039300438,571.2966790204321,571.2966790204321,32.016999873247215,4938,2.13,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333377_61221.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333377_61221_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333377_61221.csv,V8_RESULT: pool_sharpe=0.387146 sym_sharpe=0.387146 sharpe=0.387146 pnl=+122.4797 trades=42 wins=0 losses=0,True
ASTS,SHORT,tradier,2024-01-01,0.21438892691459427,87,0.378578,0.378578,5.396616983765854,2189.9716759842986,2189.9716759842986,55.29873514192012,4938,2.45,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333379_61296.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333379_61296_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333379_61296.csv,V8_RESULT: pool_sharpe=0.378578 sym_sharpe=0.378578 sharpe=0.378578 pnl=+469.5057 trades=87 wins=0 losses=0,True
RBLX,LONG,tradier,2024-01-01,0.2582040459350521,32,0.527686,0.527686,2.645652027915565,327.88357202812165,327.88357202812165,10.436765176740522,5492,2.11,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333382_61393.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333382_61393_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333382_61393.csv,V8_RESULT: pool_sharpe=0.527686 sym_sharpe=0.527686 sharpe=0.527686 pnl=+84.6609 trades=32 wins=0 losses=0,True
RBLX,SHORT,tradier,2024-01-01,0.2582040459350521,55,0.064623,0.064623,1.0603246425624304,225.85957214474783,225.85957214474783,92.79352716109697,5492,3.46,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333384_61449.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333384_61449_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333384_61449.csv,V8_RESULT: pool_sharpe=0.064623 sym_sharpe=0.064623 sharpe=0.064623 pnl=+58.3179 trades=55 wins=0 losses=0,True
VT,LONG,tradier,2024-01-01,2.035477983116587,494,-0.008912,-0.008912,-0.0502780805034711,-12.202230618424775,-12.202230618424775,70.09658558059904,41824,6.0,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333387_61553.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333387_61553_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333387_61553.csv,V8_RESULT: pool_sharpe=-0.008912 sym_sharpe=-0.008912 sharpe=-0.008912 pnl=-24.8374 trades=494 wins=0 losses=0,True
VT,SHORT,tradier,2024-01-01,2.035477983116587,677,-0.039884,-0.039884,-0.1442588996535013,-47.98051164173485,-47.98051164173485,84.16444652633903,41824,5.01,2,5,50.0,none,True,True,True,/tmp/gr_wt_dc_2of5_override.json,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333393_61739.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333393_61739_trades.jsonl,/Users/niels/Documents/binance/data/sweep_results/v8_vec_sweep_1786333393_61739.csv,V8_RESULT: pool_sharpe=-0.039884 sym_sharpe=-0.039884 sharpe=-0.039884 pnl=-97.6633 trades=677 wins=0 losses=0,True
